Row Label,PrecinctCode,County,Registered Voters,Special Levy Yes,Special Levy No
Total,-1,GR,NULL,91,38
Hartline Rural S 020(*),20,GR,NULL,0,0
Marlin Rural 025(*),25,GR,NULL,0,0
Stratford 049(*),49,GR,NULL,0,0
Wilson Creek 055,55,GR,NULL,58,17
Wilson Crk Rural 056,56,GR,NULL,6,3
Coulee Cty Rur E 062(*),62,GR,NULL,0,0
