Row Label,PrecinctCode,County,Registered Voters,Jeff Chapman
Total,-1,JE,NULL,10493
101 Gardiner,101,JE,NULL,122
102 Port Discovery,102,JE,NULL,147
103 Crocker,103,JE,NULL,119
104 Cape George,104,JE,NULL,369
105 Discovery Bay,105,JE,NULL,353
106 North Jacob,106,JE,NULL,270
107 South Jacob,107,JE,NULL,359
200 Coyle,200,JE,NULL,168
201 Quilcene,201,JE,NULL,319
204 Brinnon,204,JE,NULL,375
300 Chimacum I,300,JE,NULL,229
301 Chimacum II,301,JE,NULL,139
302 Center I,302,JE,NULL,187
303 Hadlock,303,JE,NULL,339
304 Kala Point,304,JE,NULL,379
305 Irondale I,305,JE,NULL,262
306 Irondale II,306,JE,NULL,335
307 Four Corners,307,JE,NULL,226
308 Center II,308,JE,NULL,119
401 Nordland,401,JE,NULL,343
500 Port Ludlow,500,JE,NULL,342
501 Port Ludlow I,501,JE,NULL,409
502 Port Ludlow II,502,JE,NULL,254
503 Port Ludlow III,503,JE,NULL,232
504 Port Ludlow IV,504,JE,NULL,181
505 Port Ludlow V,505,JE,NULL,284
600 Hoh,600,JE,NULL,29
601 Queets,601,JE,NULL,26
700 Port Townsend,700,JE,NULL,347
701 Port Townsend,701,JE,NULL,163
702 Port Townsend,702,JE,NULL,210
703 Port Townsend,703,JE,NULL,256
704 Port Townsend,704,JE,NULL,184
705 Port Townsend,705,JE,NULL,223
706 Port Townsend,706,JE,NULL,552
707 Port Townsend,707,JE,NULL,456
708 Port Townsend,708,JE,NULL,476
709 Port Townsend,709,JE,NULL,437
710 Port Townsend,710,JE,NULL,273
