Row Label,PrecinctCode,County,Registered Voters,Christine Kilduff,Paul Wagemann
Total,-1,PI,NULL,19129,18860
28-501,28501,PI,NULL,390,276
28-502,28502,PI,NULL,434,215
28-503,28503,PI,NULL,398,236
28-504,28504,PI,NULL,355,272
28-505,28505,PI,NULL,404,327
28-506,28506,PI,NULL,413,243
28-507,28507,PI,NULL,327,178
28-508,28508,PI,NULL,154,111
28-509,28509,PI,NULL,0,0
28-515,28515,PI,NULL,397,352
28-516,28516,PI,NULL,335,327
28-517,28517,PI,NULL,360,322
28-518,28518,PI,NULL,364,243
28-519,28519,PI,NULL,365,290
28-520,28520,PI,NULL,385,220
28-521,28521,PI,NULL,388,298
28-522,28522,PI,NULL,372,309
28-523,28523,PI,NULL,324,362
28-524,28524,PI,NULL,398,337
28-525,28525,PI,NULL,384,346
28-526,28526,PI,NULL,241,239
28-527,28527,PI,NULL,398,333
28-528,28528,PI,NULL,355,302
28-529,28529,PI,NULL,270,264
28-530,28530,PI,NULL,165,113
28-531,28531,PI,NULL,293,282
28-535,28535,PI,NULL,409,285
28-536,28536,PI,NULL,346,320
28-537,28537,PI,NULL,360,315
28-538,28538,PI,NULL,311,209
28-540,28540,PI,NULL,360,374
28-541,28541,PI,NULL,278,284
28-542,28542,PI,NULL,293,316
28-543,28543,PI,NULL,221,279
28-545,28545,PI,NULL,285,286
28-546,28546,PI,NULL,242,309
28-547,28547,PI,NULL,366,349
28-548,28548,PI,NULL,260,239
28-549,28549,PI,NULL,269,306
28-550,28550,PI,NULL,225,216
28-551,28551,PI,NULL,320,406
28-552,28552,PI,NULL,355,305
28-553,28553,PI,NULL,296,332
28-554,28554,PI,NULL,233,383
28-555,28555,PI,NULL,369,332
28-556,28556,PI,NULL,254,242
28-557,28557,PI,NULL,247,237
28-558,28558,PI,NULL,201,256
28-559,28559,PI,NULL,213,324
28-560,28560,PI,NULL,277,448
28-561,28561,PI,NULL,158,212
28-562,28562,PI,NULL,133,185
28-563,28563,PI,NULL,83,87
28-565,28565,PI,NULL,202,258
28-566,28566,PI,NULL,198,282
28-567,28567,PI,NULL,225,307
28-568,28568,PI,NULL,243,307
28-570,28570,PI,NULL,6,3
28-571,28571,PI,NULL,7,5
28-572,28572,PI,NULL,258,207
28-573,28573,PI,NULL,192,127
28-574(*),28574,PI,NULL,0,0
28-575(*),28575,PI,NULL,0,0
28-576,28576,PI,NULL,259,311
28-577,28577,PI,NULL,6,11
28-578,28578,PI,NULL,38,69
28-579,28579,PI,NULL,34,38
28-580,28580,PI,NULL,33,60
28-581,28581,PI,NULL,139,147
28-582,28582,PI,NULL,92,107
28-583,28583,PI,NULL,137,184
28-584,28584,PI,NULL,116,211
28-585,28585,PI,NULL,204,342
28-586,28586,PI,NULL,191,259
28-587,28587,PI,NULL,132,196
28-588,28588,PI,NULL,182,354
28-589,28589,PI,NULL,168,358
28-590,28590,PI,NULL,3,14
