Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
Total,-1,GR,NULL,11923,7370
Airport 1 001,1,GR,NULL,153,86
Beverly 002,2,GR,NULL,27,7
Block 71 003,3,GR,NULL,378,173
Cascade Fairgrnd 004,4,GR,NULL,138,91
Coulee City 005,5,GR,NULL,137,65
Coulee Cty Rur W 006,6,GR,NULL,49,35
Electric City 007,7,GR,NULL,183,125
Ephrata 5 008,8,GR,NULL,173,104
Ephrata 2 009,9,GR,NULL,191,153
Ephrata 3 010,10,GR,NULL,139,104
Ephrata 4 011,11,GR,NULL,223,183
Ephrata 7 012,12,GR,NULL,177,123
Ephrata 9 013,13,GR,NULL,302,216
Ephrata Rural ,14,GR,NULL,187,90
George 015,15,GR,NULL,24,16
George Rural 016,16,GR,NULL,326,177
Gloyd 017,17,GR,NULL,192,92
Grand Coulee 018,18,GR,NULL,135,109
Hartline 019,19,GR,NULL,37,21
Hartline Rural S 020,20,GR,NULL,20,7
Lakeview Park 021,21,GR,NULL,201,91
Longview 022,22,GR,NULL,256,122
Mae 023,23,GR,NULL,503,313
Marlin 024,24,GR,NULL,8,9
Marlin Rural 025,25,GR,NULL,32,15
Mattawa 026,26,GR,NULL,25,17
Mattawa Rural 027,27,GR,NULL,284,176
McConihe 1 028,28,GR,NULL,134,62
Moses Lake 5 029,29,GR,NULL,179,139
Moses Lake 3 030,30,GR,NULL,309,178
Moses Lake 4 031,31,GR,NULL,155,138
Moses Lake 6 032,32,GR,NULL,263,193
Moses Lake 7 033,33,GR,NULL,252,146
Moses Lake 8 034,34,GR,NULL,322,188
Moses Lake 11 035,35,GR,NULL,381,220
Moses Lake 12 036,36,GR,NULL,211,148
North Banks Lake 037,37,GR,NULL,32,35
O Sullivan Dam 1 038,38,GR,NULL,336,150
Quincy 1 039,39,GR,NULL,141,118
Quincy 4 040,40,GR,NULL,82,56
Quincy 6 041,41,GR,NULL,234,221
Quincy Rural N 042,42,GR,NULL,132,91
Royal Camp 043,43,GR,NULL,287,168
Royal City 044,44,GR,NULL,79,34
Ruff 045,45,GR,NULL,47,9
Smyrna 1 046,46,GR,NULL,82,40
Soap Lake 1 047,47,GR,NULL,108,78
Soap Lake Rur E ,48,GR,NULL,52,41
Stratford 049,49,GR,NULL,32,13
Warden 050,50,GR,NULL,120,57
Warden Rural 051,51,GR,NULL,291,116
Soap Lake 2 052,52,GR,NULL,91,80
Westslope 1 053,53,GR,NULL,80,29
Wheeler 1 054,54,GR,NULL,150,76
Wilson Creek 055,55,GR,NULL,53,20
Wilson Crk Rural 056,56,GR,NULL,25,4
Airport 2 057,57,GR,NULL,108,84
Cascade Valley 058,58,GR,NULL,322,231
Westslope 2 059,59,GR,NULL,56,25
Smyrna 2 060,60,GR,NULL,16,8
East Wahluke 061,61,GR,NULL,75,14
Coulee Cty Rur E 062,62,GR,NULL,20,2
McConihe 2 063,63,GR,NULL,103,51
Quincy Rural S 064,64,GR,NULL,300,254
Greenfield 065,65,GR,NULL,36,18
Moses Lake 1 066,66,GR,NULL,137,86
Moses Lake 2 067,67,GR,NULL,157,104
Moses Lake 9  068,68,GR,NULL,187,154
O Sullivan Dam 2 069,69,GR,NULL,357,292
Wheeler 2 070,70,GR,NULL,418,223
Soap Lake Rur W ,71,GR,NULL,200,139
Coulee Cty Rur N 072,72,GR,NULL,46,28
Hartline Rural N 073,73,GR,NULL,28,9
Ephrata Rural E,74,GR,NULL,197,80
