Row Label,PrecinctCode,County,Registered Voters,Bill Coons ,Sam Valdez
Total,-1,WK,NULL,1254,411
01 - DEEP RIVER,1,WK,NULL,67,33
02 - GRAYS RIVER,2,WK,NULL,73,33
03 - ROSBURG / ALTOONA,3,WK,NULL,96,37
04 - SKAMOKAWA,4,WK,NULL,114,29
05 - ELOCHOMAN,5,WK,NULL,188,47
06 - ROSEDALE,6,WK,NULL,109,28
07 - COLUMBIA,7,WK,NULL,151,64
08 - EAST PUGET ISLAND,8,WK,NULL,114,35
09 - WEST PUGET ISLAND,9,WK,NULL,207,55
10 - SOUTH CATHLAMET,10,WK,NULL,84,42
11 - NORTH CATHLAMET,11,WK,NULL,51,8
