Row Label,PrecinctCode,County,Registered Voters,Norma Smith,Michael Scott
Total,-1,IS,NULL,21625,6341
C WHIDBEY 01,150,IS,NULL,365,73
C WHIDBEY 02,151,IS,NULL,591,154
C WHIDBEY 03,152,IS,NULL,574,152
COUPEVILLE,153,IS,NULL,529,195
C WHIDBEY 04,154,IS,NULL,521,210
C WHIDBEY 05,155,IS,NULL,529,173
S WHIDBEY 01,160,IS,NULL,562,205
S WHIDBEY 02,161,IS,NULL,567,153
S WHIDBEY 03,162,IS,NULL,637,178
S WHIDBEY 04,163,IS,NULL,525,145
S WHIDBEY 05,164,IS,NULL,555,204
S WHIDBEY 06,165,IS,NULL,562,145
LANGLEY,166,IS,NULL,388,110
S WHIDBEY 07,167,IS,NULL,547,168
S WHIDBEY 08,168,IS,NULL,465,135
S WHIDBEY 09,169,IS,NULL,583,166
S WHIDBEY 10,170,IS,NULL,520,189
OAK HARBOR 01,201,IS,NULL,482,99
OAK HARBOR 02,202,IS,NULL,376,80
OAK HARBOR 03,203,IS,NULL,464,96
OAK HARBOR 04,204,IS,NULL,445,131
OAK HARBOR 05,205,IS,NULL,485,106
OAK HARBOR 06,206,IS,NULL,371,117
OAK HARBOR 07,207,IS,NULL,443,161
OAK HARBOR 08,208,IS,NULL,382,121
OAK HARBOR 09,209,IS,NULL,94,46
N WHIDBEY 06,251,IS,NULL,306,69
N WHIDBEY 07,252,IS,NULL,419,97
N WHIDBEY 08,253,IS,NULL,373,50
N WHIDBEY 09,254,IS,NULL,333,63
N WHIDBEY 10,255,IS,NULL,146,27
N WHIDBEY 11,256,IS,NULL,73,27
CAMANO 01,301,IS,NULL,351,135
CAMANO 02,302,IS,NULL,519,151
CAMANO 03,303,IS,NULL,482,163
CAMANO 04,304,IS,NULL,657,179
CAMANO 05,305,IS,NULL,562,158
CAMANO 06,306,IS,NULL,491,153
CAMANO 07,307,IS,NULL,456,128
CAMANO 08,308,IS,NULL,283,157
CAMANO 09,309,IS,NULL,477,157
CAMANO 10,310,IS,NULL,356,127
CAMANO 11,311,IS,NULL,448,174
N WHIDBEY 01,351,IS,NULL,531,154
N WHIDBEY 02,352,IS,NULL,502,130
N WHIDBEY 03,353,IS,NULL,399,104
N WHIDBEY 04,354,IS,NULL,592,160
N WHIDBEY 05,355,IS,NULL,307,66
