Row Label,PrecinctCode,County,Registered Voters,Vincent Buys,Joy Monjure
Total,-1,WM,NULL,29650,21388
101,101,WM,NULL,156,297
102,102,WM,NULL,220,136
103,103,WM,NULL,248,226
104,104,WM,NULL,183,118
105,105,WM,NULL,119,128
106    ,106,WM,NULL,235,165
107,107,WM,NULL,323,230
108,108,WM,NULL,345,240
110,110,WM,NULL,280,125
111    ,111,WM,NULL,305,153
112,112,WM,NULL,158,88
113,113,WM,NULL,310,121
114,114,WM,NULL,176,87
115,115,WM,NULL,390,118
116,116,WM,NULL,270,44
117,117,WM,NULL,367,40
118,118,WM,NULL,465,91
119    ,119,WM,NULL,139,112
120,120,WM,NULL,334,123
121,121,WM,NULL,218,107
122,122,WM,NULL,208,98
123,123,WM,NULL,201,101
124    ,124,WM,NULL,217,85
125,125,WM,NULL,378,84
126    ,126,WM,NULL,383,230
127,127,WM,NULL,404,236
129,129,WM,NULL,327,164
130,130,WM,NULL,204,93
131,131,WM,NULL,369,203
132,132,WM,NULL,230,158
133,133,WM,NULL,107,241
134    ,134,WM,NULL,275,362
135,135,WM,NULL,194,238
136    ,136,WM,NULL,194,238
137,137,WM,NULL,86,266
138,138,WM,NULL,135,367
139,139,WM,NULL,238,25
140    ,140,WM,NULL,618,102
141    ,141,WM,NULL,443,155
142,142,WM,NULL,197,168
143    ,143,WM,NULL,141,174
144    ,144,WM,NULL,571,61
145    ,145,WM,NULL,453,179
146    ,146,WM,NULL,465,161
147,147,WM,NULL,326,163
148,148,WM,NULL,285,186
149,149,WM,NULL,283,111
150,150,WM,NULL,397,162
151,151,WM,NULL,390,207
152,152,WM,NULL,284,182
153,153,WM,NULL,312,171
154    ,154,WM,NULL,191,154
155,155,WM,NULL,243,105
156    ,156,WM,NULL,136,88
157,157,WM,NULL,130,107
158    ,158,WM,NULL,143,91
165    ,165,WM,NULL,159,101
166    ,166,WM,NULL,248,296
167    ,167,WM,NULL,57,37
183    ,183,WM,NULL,9,11
201    ,201,WM,NULL,349,349
202,202,WM,NULL,146,188
203,203,WM,NULL,257,244
204,204,WM,NULL,94,113
205,205,WM,NULL,135,190
206,206,WM,NULL,164,326
207,207,WM,NULL,105,220
208,208,WM,NULL,195,495
209,209,WM,NULL,137,374
210,210,WM,NULL,90,482
211,211,WM,NULL,222,232
212,212,WM,NULL,117,115
213,213,WM,NULL,213,428
214,214,WM,NULL,101,327
215,215,WM,NULL,103,405
216,216,WM,NULL,106,385
217,217,WM,NULL,206,159
218,218,WM,NULL,134,215
219,219,WM,NULL,162,263
220,220,WM,NULL,173,188
221,221,WM,NULL,267,220
222,222,WM,NULL,144,536
223,223,WM,NULL,39,283
224,224,WM,NULL,29,138
225,225,WM,NULL,94,360
227,227,WM,NULL,94,413
229,229,WM,NULL,149,309
233,233,WM,NULL,180,286
234,234,WM,NULL,225,303
267    ,267,WM,NULL,10,37
268,268,WM,NULL,13,8
301,301,WM,NULL,333,241
302,302,WM,NULL,275,301
303,303,WM,NULL,350,212
304    ,304,WM,NULL,96,95
401,401,WM,NULL,205,88
402    ,402,WM,NULL,264,127
501,501,WM,NULL,298,155
502,502,WM,NULL,243,162
503,503,WM,NULL,335,185
504,504,WM,NULL,171,92
505,505,WM,NULL,299,250
506    ,506,WM,NULL,260,209
507    ,507,WM,NULL,256,140
508    ,508,WM,NULL,292,214
509    ,509,WM,NULL,235,103
601,601,WM,NULL,603,124
602,602,WM,NULL,475,117
603,603,WM,NULL,359,92
604    ,604,WM,NULL,442,57
605,605,WM,NULL,265,54
606    ,606,WM,NULL,446,87
607    ,607,WM,NULL,420,64
608    ,608,WM,NULL,377,94
609    ,609,WM,NULL,543,89
610    ,610,WM,NULL,531,88
611    ,611,WM,NULL,360,45
701,701,WM,NULL,336,111
801,801,WM,NULL,256,91
