Row Label,PrecinctCode,County,Registered Voters,Michael J. Killian,Byron J. Pugh
Total,-1,FR,NULL,9928,3639
Pct 001,1,FR,NULL,152,44
Pct 002,2,FR,NULL,67,28
Pct 003,3,FR,NULL,31,18
Pct 004,4,FR,NULL,50,25
Pct 005,5,FR,NULL,52,15
Pct 006,6,FR,NULL,91,24
Pct 007,7,FR,NULL,68,29
Pct 008,8,FR,NULL,155,54
Pct 009,9,FR,NULL,50,15
Pct 010,10,FR,NULL,99,24
Pct 011,11,FR,NULL,93,11
Pct 012,12,FR,NULL,56,22
Pct 013,13,FR,NULL,62,13
Pct 014,14,FR,NULL,79,15
Pct 015,15,FR,NULL,85,33
Pct 016,16,FR,NULL,15,3
Pct 017,17,FR,NULL,87,40
Pct 018,18,FR,NULL,46,9
Pct 019,19,FR,NULL,126,43
Pct 020,20,FR,NULL,61,13
Pct 021,21,FR,NULL,27,14
Pct 022,22,FR,NULL,131,40
Pct 023,23,FR,NULL,242,64
Pct 024,24,FR,NULL,106,44
Pct 025,25,FR,NULL,46,22
Pct 026,26,FR,NULL,96,19
Pct 027,27,FR,NULL,60,20
Pct 028,28,FR,NULL,64,15
Pct 029,29,FR,NULL,73,26
Pct 030,30,FR,NULL,50,9
Pct 031,31,FR,NULL,66,13
Pct 032,32,FR,NULL,277,102
Pct 033,33,FR,NULL,107,46
Pct 034,34,FR,NULL,196,62
Pct 035,35,FR,NULL,87,21
Pct 036,36,FR,NULL,211,79
Pct 037,37,FR,NULL,195,67
Pct 038,38,FR,NULL,134,53
Pct 039,39,FR,NULL,144,58
Pct 040,40,FR,NULL,136,46
Pct 041,41,FR,NULL,112,23
Pct 042,42,FR,NULL,111,43
Pct 043,43,FR,NULL,124,47
Pct 044,44,FR,NULL,148,38
Pct 045,45,FR,NULL,177,62
Pct 046,46,FR,NULL,185,84
Pct 047,47,FR,NULL,22,6
Pct 048,48,FR,NULL,183,43
Pct 049,49,FR,NULL,186,66
Pct 050,50,FR,NULL,167,64
Pct 051,51,FR,NULL,158,65
Pct 052,52,FR,NULL,40,14
Pct 053,53,FR,NULL,139,31
Pct 054,54,FR,NULL,79,12
Pct 055,55,FR,NULL,231,88
Pct 056,56,FR,NULL,112,40
Pct 057,57,FR,NULL,114,61
Pct 058,58,FR,NULL,18,7
Pct 059,59,FR,NULL,231,66
Pct 060,60,FR,NULL,76,20
Pct 061,61,FR,NULL,210,63
Pct 062,62,FR,NULL,287,72
Pct 063,63,FR,NULL,125,64
Pct 064,64,FR,NULL,136,55
Pct 065,65,FR,NULL,71,36
Pct 066,66,FR,NULL,201,73
Pct 067(*),67,FR,NULL,0,0
Pct 068(*),68,FR,NULL,0,0
Pct 069,69,FR,NULL,31,9
Pct 070,70,FR,NULL,45,21
Pct 071,71,FR,NULL,104,56
Pct 072,72,FR,NULL,93,35
Pct 073,73,FR,NULL,197,67
Pct 074,74,FR,NULL,157,90
Pct 075,75,FR,NULL,23,19
Pct 076,76,FR,NULL,56,28
Pct 077,77,FR,NULL,42,19
Pct 078,78,FR,NULL,46,40
Pct 079,79,FR,NULL,56,70
Pct 080,80,FR,NULL,198,91
Pct 081,81,FR,NULL,51,17
Pct 082,82,FR,NULL,55,60
Pct 083,83,FR,NULL,51,44
Pct 084,84,FR,NULL,33,10
Pct 085,85,FR,NULL,33,16
Pct 086,86,FR,NULL,61,24
Pct 087,87,FR,NULL,43,23
Pct 088,88,FR,NULL,38,4
Pct 089,89,FR,NULL,93,27
Pct 090,90,FR,NULL,111,32
Pct 091(*),91,FR,NULL,0,0
Pct 092,92,FR,NULL,88,43
Pct 093,93,FR,NULL,112,39
Pct 094,94,FR,NULL,0,0
Pct 095,95,FR,NULL,52,15
Pct 096,96,FR,NULL,62,20
Pct 097,97,FR,NULL,31,16
Pct 098,98,FR,NULL,17,9
Pct 099,99,FR,NULL,19,13
Pct 100,100,FR,NULL,65,37
Pct 101,101,FR,NULL,80,26
