Row Label,PrecinctCode,County,Registered Voters,Denny Heck,Joyce McDonald
Total,-1,PI,NULL,49348,48965
02-101,2101,PI,NULL,88,84
02-115,2115,PI,NULL,176,236
02-116,2116,PI,NULL,210,328
02-117,2117,PI,NULL,211,288
02-118,2118,PI,NULL,134,186
02-119,2119,PI,NULL,136,155
02-120,2120,PI,NULL,186,210
02-121,2121,PI,NULL,200,292
02-122,2122,PI,NULL,245,240
02-123,2123,PI,NULL,190,320
02-124,2124,PI,NULL,168,231
02-125,2125,PI,NULL,179,218
02-126,2126,PI,NULL,206,304
02-127,2127,PI,NULL,106,175
02-128,2128,PI,NULL,210,281
02-129,2129,PI,NULL,110,186
02-130,2130,PI,NULL,125,134
02-131,2131,PI,NULL,257,320
02-143,2143,PI,NULL,163,230
25-201,25201,PI,NULL,341,317
25-202,25202,PI,NULL,254,271
25-203,25203,PI,NULL,334,296
25-204,25204,PI,NULL,286,250
25-205,25205,PI,NULL,283,286
25-206,25206,PI,NULL,216,141
25-208,25208,PI,NULL,329,379
25-209,25209,PI,NULL,301,335
25-210,25210,PI,NULL,322,441
25-211,25211,PI,NULL,273,260
25-212,25212,PI,NULL,260,336
25-213,25213,PI,NULL,291,394
25-215,25215,PI,NULL,287,299
25-216,25216,PI,NULL,173,215
25-217,25217,PI,NULL,272,373
25-218,25218,PI,NULL,274,356
25-219,25219,PI,NULL,215,468
25-220(*),25220,PI,NULL,0,0
25-221,25221,PI,NULL,229,350
25-222,25222,PI,NULL,212,188
25-226,25226,PI,NULL,173,211
25-227,25227,PI,NULL,165,132
25-228,25228,PI,NULL,286,226
25-230,25230,PI,NULL,90,51
25-235,25235,PI,NULL,8,11
25-236,25236,PI,NULL,213,197
25-237(*),25237,PI,NULL,0,0
25-238,25238,PI,NULL,160,147
25-239,25239,PI,NULL,272,335
25-240,25240,PI,NULL,112,124
25-241,25241,PI,NULL,147,122
25-242,25242,PI,NULL,263,378
25-243,25243,PI,NULL,255,217
25-244,25244,PI,NULL,350,363
25-245(*),25245,PI,NULL,0,0
25-246,25246,PI,NULL,30,21
25-247,25247,PI,NULL,268,228
25-248,25248,PI,NULL,317,394
25-249,25249,PI,NULL,298,296
25-250,25250,PI,NULL,92,151
25-251,25251,PI,NULL,251,275
25-252,25252,PI,NULL,232,245
25-253,25253,PI,NULL,189,186
25-254,25254,PI,NULL,172,130
25-255,25255,PI,NULL,173,176
25-256,25256,PI,NULL,260,253
25-257,25257,PI,NULL,267,264
25-258,25258,PI,NULL,296,333
25-259,25259,PI,NULL,288,291
25-260,25260,PI,NULL,271,325
25-261,25261,PI,NULL,175,236
25-262,25262,PI,NULL,228,344
25-263,25263,PI,NULL,188,319
25-264,25264,PI,NULL,274,325
25-265,25265,PI,NULL,292,274
25-266,25266,PI,NULL,241,419
25-267,25267,PI,NULL,106,176
25-268,25268,PI,NULL,133,159
25-269,25269,PI,NULL,158,233
25-270,25270,PI,NULL,231,334
25-271,25271,PI,NULL,238,318
25-273,25273,PI,NULL,165,240
25-274,25274,PI,NULL,251,459
25-275(*),25275,PI,NULL,0,0
25-276,25276,PI,NULL,13,6
25-277,25277,PI,NULL,219,341
25-278,25278,PI,NULL,79,130
25-279,25279,PI,NULL,196,284
25-280,25280,PI,NULL,234,387
25-290,25290,PI,NULL,28,29
25-291,25291,PI,NULL,58,72
25-292,25292,PI,NULL,294,332
25-293,25293,PI,NULL,275,306
27-449,27449,PI,NULL,327,174
27-450,27450,PI,NULL,358,155
27-451,27451,PI,NULL,260,146
27-452,27452,PI,NULL,280,160
27-453,27453,PI,NULL,207,110
27-454,27454,PI,NULL,309,195
27-455,27455,PI,NULL,249,145
27-456,27456,PI,NULL,241,106
27-457,27457,PI,NULL,275,134
27-458,27458,PI,NULL,198,113
27-459,27459,PI,NULL,186,94
28-508,28508,PI,NULL,164,103
28-509,28509,PI,NULL,0,0
28-515,28515,PI,NULL,401,349
28-516,28516,PI,NULL,362,294
28-517,28517,PI,NULL,383,288
28-518,28518,PI,NULL,368,243
28-519,28519,PI,NULL,369,273
28-520,28520,PI,NULL,382,215
28-521,28521,PI,NULL,400,272
28-522,28522,PI,NULL,359,316
28-523,28523,PI,NULL,336,351
28-524,28524,PI,NULL,412,323
28-525,28525,PI,NULL,396,329
28-526,28526,PI,NULL,245,231
28-527,28527,PI,NULL,399,332
28-528,28528,PI,NULL,360,291
28-529,28529,PI,NULL,291,243
28-530,28530,PI,NULL,168,109
28-531,28531,PI,NULL,319,266
28-535,28535,PI,NULL,440,264
28-536,28536,PI,NULL,360,291
28-537,28537,PI,NULL,371,299
28-538,28538,PI,NULL,298,221
28-540,28540,PI,NULL,374,372
28-541,28541,PI,NULL,288,275
28-542,28542,PI,NULL,298,313
28-543,28543,PI,NULL,222,278
28-545,28545,PI,NULL,301,275
28-546,28546,PI,NULL,261,291
28-547,28547,PI,NULL,397,316
28-548,28548,PI,NULL,270,225
28-549,28549,PI,NULL,291,284
28-550,28550,PI,NULL,233,208
28-551,28551,PI,NULL,357,374
28-552,28552,PI,NULL,390,273
28-553,28553,PI,NULL,325,312
28-554,28554,PI,NULL,271,353
28-555,28555,PI,NULL,387,326
28-556,28556,PI,NULL,275,216
28-557,28557,PI,NULL,264,220
28-558,28558,PI,NULL,241,216
28-559,28559,PI,NULL,242,300
28-560,28560,PI,NULL,305,423
28-561,28561,PI,NULL,164,199
28-562,28562,PI,NULL,147,172
28-563,28563,PI,NULL,98,73
28-565,28565,PI,NULL,219,248
28-566,28566,PI,NULL,221,259
28-567,28567,PI,NULL,233,307
28-568,28568,PI,NULL,262,297
28-570,28570,PI,NULL,6,3
28-571,28571,PI,NULL,7,5
28-572,28572,PI,NULL,273,189
28-573,28573,PI,NULL,204,115
28-574,28574,PI,NULL,32,66
28-575(*),28575,PI,NULL,0,0
28-576,28576,PI,NULL,265,308
28-577,28577,PI,NULL,7,9
28-578,28578,PI,NULL,42,67
28-579,28579,PI,NULL,30,42
28-580,28580,PI,NULL,30,65
28-581,28581,PI,NULL,143,147
28-582,28582,PI,NULL,97,103
28-583,28583,PI,NULL,144,186
28-584,28584,PI,NULL,131,202
28-590,28590,PI,NULL,7,10
29-617,29617,PI,NULL,241,191
29-620,29620,PI,NULL,157,77
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,185,134
29-623,29623,PI,NULL,49,37
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,6,2
29-626,29626,PI,NULL,9,4
29-633,29633,PI,NULL,23,12
29-635,29635,PI,NULL,73,40
29-636,29636,PI,NULL,314,215
29-637,29637,PI,NULL,224,142
29-638,29638,PI,NULL,140,68
29-639,29639,PI,NULL,240,161
29-640,29640,PI,NULL,248,155
29-641,29641,PI,NULL,269,145
29-642,29642,PI,NULL,274,194
29-643,29643,PI,NULL,22,15
29-648,29648,PI,NULL,5,4
29-649,29649,PI,NULL,79,47
29-650,29650,PI,NULL,243,174
29-651,29651,PI,NULL,301,201
29-652,29652,PI,NULL,33,12
29-653,29653,PI,NULL,283,140
29-654,29654,PI,NULL,296,188
29-655,29655,PI,NULL,123,69
29-656,29656,PI,NULL,216,186
29-657(*),29657,PI,NULL,0,0
29-658,29658,PI,NULL,241,208
29-659,29659,PI,NULL,133,129
29-660,29660,PI,NULL,279,266
29-661,29661,PI,NULL,198,191
29-662,29662,PI,NULL,0,0
29-663,29663,PI,NULL,208,200
29-664,29664,PI,NULL,231,226
29-667,29667,PI,NULL,246,239
29-668,29668,PI,NULL,171,170
29-669,29669,PI,NULL,244,220
29-670,29670,PI,NULL,240,291
29-671,29671,PI,NULL,185,247
29-672,29672,PI,NULL,129,129
29-673,29673,PI,NULL,255,242
29-674,29674,PI,NULL,82,75
29-675,29675,PI,NULL,241,209
29-676,29676,PI,NULL,204,248
29-677,29677,PI,NULL,237,241
29-678,29678,PI,NULL,180,157
29-679,29679,PI,NULL,163,204
29-680,29680,PI,NULL,176,221
29-682,29682,PI,NULL,213,190
29-683,29683,PI,NULL,241,193
30-713(*),30713,PI,NULL,0,0
31-801,31801,PI,NULL,135,148
31-802,31802,PI,NULL,175,261
31-803,31803,PI,NULL,206,225
31-804,31804,PI,NULL,203,246
31-805,31805,PI,NULL,226,209
31-806,31806,PI,NULL,276,274
31-807,31807,PI,NULL,2,2
31-808,31808,PI,NULL,213,216
31-809,31809,PI,NULL,207,238
31-810,31810,PI,NULL,141,138
31-822,31822,PI,NULL,156,180
31-823,31823,PI,NULL,144,168
31-824(*),31824,PI,NULL,0,0
31-825,31825,PI,NULL,224,186
31-826,31826,PI,NULL,237,230
31-827,31827,PI,NULL,42,82
31-828,31828,PI,NULL,230,179
31-829,31829,PI,NULL,182,191
31-830,31830,PI,NULL,93,88
31-873,31873,PI,NULL,40,46
31-874,31874,PI,NULL,0,0
