Row Label,PrecinctCode,County,Registered Voters,Joel Kretz,Ronnie Rae
Total,-1,OK,NULL,5201,922
ANGLIN,2,OK,NULL,60,12
BEEMAN,3,OK,NULL,69,9
BODIE,4,OK,NULL,18,5
BONAPARTE,5,OK,NULL,33,2
CHESAW,9,OK,NULL,43,6
CONCONULLY RURAL,10,OK,NULL,35,7
EASTLAKE,13,OK,NULL,27,2
ELLISFORDE,15,OK,NULL,64,10
ELMWAY,17,OK,NULL,35,7
HAVILLAH,18,OK,NULL,72,8
LOOMIS,19,OK,NULL,60,2
MOLSON,24,OK,NULL,57,15
NIGHTHAWK,28,OK,NULL,15,3
NORTH OMAK,29,OK,NULL,30,4
PINE CREEK,31,OK,NULL,44,3
RIVERSIDE RURAL,33,OK,NULL,85,12
SAN POIL,34,OK,NULL,76,15
SOUTH OROVILLE(*),35,OK,NULL,0,0
TONASKET RURAL,37,OK,NULL,24,13
TUNK CREEK,38,OK,NULL,73,14
WAUCONDA,41,OK,NULL,53,10
WESTLAKE(*),42,OK,NULL,0,0
WHITESTONE,43,OK,NULL,37,3
AENEAS,48,OK,NULL,35,10
CRUMBACHER,50,OK,NULL,69,4
KIPLING,53,OK,NULL,38,6
TORODA,55,OK,NULL,55,16
COPPLE,59,OK,NULL,55,9
ENGH,61,OK,NULL,57,14
JANIS,63,OK,NULL,27,7
LEESE,64,OK,NULL,21,4
PALMER LAKE,69,OK,NULL,48,2
PINE CONE,70,OK,NULL,33,4
SAND FLAT,72,OK,NULL,68,2
SOURDOUGH,74,OK,NULL,67,3
WANNACUT,77,OK,NULL,65,14
GREENACRES,86,OK,NULL,33,6
JOHNSON CREEK,87,OK,NULL,48,10
LIME BELT,89,OK,NULL,28,5
BOUNDARY,95,OK,NULL,52,4
BUCKHORN MTN,96,OK,NULL,44,9
EDER,97,OK,NULL,47,6
HORSESHOE LAKE,98,OK,NULL,38,8
LAKE ANDREWS,99,OK,NULL,44,5
MYERS CREEK,100,OK,NULL,23,3
OKANOGAN #1,105,OK,NULL,35,5
OKANOGAN #2,106,OK,NULL,43,10
OKANOGAN #3,107,OK,NULL,24,2
OKANOGAN #4,108,OK,NULL,45,6
OMAK #1,109,OK,NULL,27,3
OMAK #2,110,OK,NULL,38,13
OMAK #3,111,OK,NULL,17,4
OMAK #4,112,OK,NULL,32,6
OMAK #5,113,OK,NULL,38,12
OMAK #6,114,OK,NULL,46,5
OMAK #7,115,OK,NULL,36,7
OMAK #8,116,OK,NULL,16,8
OMAK #9,117,OK,NULL,67,12
OROVILLE #1,118,OK,NULL,38,8
OROVILLE #2,119,OK,NULL,23,5
OROVILLE #3,120,OK,NULL,24,6
TONASKET #1,121,OK,NULL,27,5
TONASKET #2,122,OK,NULL,31,11
TONASKET #3,123,OK,NULL,19,2
CONCONULLY CITY,131,OK,NULL,72,12
RIVERSIDE CITY,134,OK,NULL,54,15
SHORELINE,138,OK,NULL,31,4
SIMILKAMEEN,139,OK,NULL,31,2
TEAL LAKE,140,OK,NULL,38,3
TONASKET CREEK,141,OK,NULL,38,2
OROVILLE #4,142,OK,NULL,36,3
OROVILLE #5,143,OK,NULL,39,11
OROVILLE #6,144,OK,NULL,24,5
OROVILLE #7,145,OK,NULL,28,4
OROVILLE #8,146,OK,NULL,38,4
OROVILLE #9,147,OK,NULL,27,6
OROVILLE #10,148,OK,NULL,30,17
JENNINGS LOOP,149,OK,NULL,25,5
BLUE LAKE,150,OK,NULL,47,8
AENEAS CREEK,151,OK,NULL,48,6
AENEAS LAKE,152,OK,NULL,69,9
ANTOINE CREEK,153,OK,NULL,29,9
ANTOINE PEAK,154,OK,NULL,19,9
CAPE LABELLE,155,OK,NULL,29,10
CAYUSE MTN,156,OK,NULL,28,5
CHEWILIKEN,157,OK,NULL,25,7
DUFFYS MTN,158,OK,NULL,30,2
FRONTAGE(*),159,OK,NULL,0,0
GUSTY RIDGE,160,OK,NULL,39,2
LONGANECKER,161,OK,NULL,28,8
NORTH TONASKET,162,OK,NULL,70,14
PICKENS MTN,163,OK,NULL,30,13
RANCHES,164,OK,NULL,14,9
SIWASH CREEK,165,OK,NULL,40,10
SPECTACLE LAKE,166,OK,NULL,48,4
HIGHWAY,167,OK,NULL,19,3
WHISKY MTN,168,OK,NULL,16,2
YARNELL,169,OK,NULL,33,2
TONASKET #4,170,OK,NULL,40,5
TONASKET #5,171,OK,NULL,27,13
TONASKET #6,172,OK,NULL,23,3
TONASKET #7,173,OK,NULL,42,9
COLEMAN BUTTE,185,OK,NULL,45,9
ASTON,186,OK,NULL,32,5
WEST RIVER,187,OK,NULL,33,5
OMAK RIVER,188,OK,NULL,49,3
CHEROKEE,189,OK,NULL,58,7
NICHOLS(*),190,OK,NULL,0,0
OMAK #10,202,OK,NULL,46,7
OMAK #11,203,OK,NULL,64,10
OMAK #12,204,OK,NULL,48,7
OMAK #13,205,OK,NULL,31,8
OMAK #14,206,OK,NULL,24,6
OMAK #15,207,OK,NULL,58,6
OMAK #16,208,OK,NULL,33,11
OMAK #17,209,OK,NULL,57,16
OMAK #18,210,OK,NULL,12,17
OMAK #19,211,OK,NULL,33,4
OMAK #20,212,OK,NULL,52,8
OMAK #21,213,OK,NULL,28,3
OMAK #22,214,OK,NULL,38,11
OMAK #23,215,OK,NULL,18,5
OMAK #24,216,OK,NULL,22,15
OKANOGAN #5,217,OK,NULL,41,9
OKANOGAN #6,218,OK,NULL,45,10
OKANOGAN #7,219,OK,NULL,17,5
OKANOGAN #8,220,OK,NULL,31,9
OKANOGAN #9,221,OK,NULL,44,7
OKANOGAN #10,222,OK,NULL,58,3
OKANOGAN #11,223,OK,NULL,47,5
OKANOGAN #12,224,OK,NULL,28,4
OKANOGAN #13,225,OK,NULL,24,6
