Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,GY,NULL,12704
Taholah 002,2,GY,NULL,158
Quinault 004,4,GY,NULL,92
Neilton 006,6,GY,NULL,43
Pacific Beach 008,8,GY,NULL,130
Moclips 010,10,GY,NULL,19
Ocean City 012,12,GY,NULL,170
Burrows 014,14,GY,NULL,13
Wilderness 016,16,GY,NULL,71
Humptulips 018,18,GY,NULL,34
Axford 020,20,GY,NULL,84
Dekay 022,22,GY,NULL,41
Hoquiam Rural 024,24,GY,NULL,186
Stover 026,26,GY,NULL,35
North Wishkah 028,28,GY,NULL,1
Wishkah 030,30,GY,NULL,153
Cutoff032,32,GY,NULL,52
Coats Landing 034,34,GY,NULL,168
Geissler 036,36,GY,NULL,28
Aberdeen Lake 038,38,GY,NULL,2
Reynvaan 040,40,GY,NULL,82
Wynoochee 042,42,GY,NULL,4
Boundary 044,44,GY,NULL,29
Black Creek 046,46,GY,NULL,283
Brady 048,48,GY,NULL,246
Riviera 050,50,GY,NULL,23
Satsop 052,52,GY,NULL,109
Calder 056,56,GY,NULL,161
Bush 058,58,GY,NULL,336
McCleary Rural 060,60,GY,NULL,246
Porter 062,62,GY,NULL,111
Cedar Creek 064,64,GY,NULL,55
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,187
Delezenne 070,70,GY,NULL,223
Melbourne 072,72,GY,NULL,194
Devonshire 074,74,GY,NULL,174
Vesta 076,76,GY,NULL,30
Artic 078,78,GY,NULL,34
Central Park 080,80,GY,NULL,376
Lois Lane 082,82,GY,NULL,76
Blue Slough 084,84,GY,NULL,123
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,43
Newskah 090,90,GY,NULL,11
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,184
Grayland 096,96,GY,NULL,207
Cohasset 098,98,GY,NULL,128
Aberdeen 111,111,GY,NULL,383
Aberdeen 121,121,GY,NULL,347
Aberdeen 131,131,GY,NULL,479
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,320
Aberdeen 142,142,GY,NULL,253
Aberdeen 151,151,GY,NULL,214
Aberdeen 161,161,GY,NULL,369
Cosmopolis 201,201,GY,NULL,355
Elma 301,301,GY,NULL,148
Elma 302,302,GY,NULL,312
Hoquiam 411,411,GY,NULL,234
Hoquiam 421,421,GY,NULL,213
Hoquiam 431,431,GY,NULL,253
Hoquiam 441,441,GY,NULL,265
Hoquiam 451,451,GY,NULL,200
Hoquiam 461,461,GY,NULL,221
McCleary 501,501,GY,NULL,264
Montesano 601,601,GY,NULL,422
Montesano 602,602,GY,NULL,458
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,91
Ocean Shores 801,801,GY,NULL,399
Ocean Shores 802,802,GY,NULL,515
Ocean Shores 803,803,GY,NULL,473
Westport 901,901,GY,NULL,356
