Row Label,PrecinctCode,County,Registered Voters,Michele Jaderlund,Jacob Taylor
Total,-1,GR,NULL,10276,6924
Airport 1 001,1,GR,NULL,111,109
Beverly 002,2,GR,NULL,19,7
Block 71 003,3,GR,NULL,333,184
Cascade Fairgrnd 004,4,GR,NULL,119,95
Coulee City 005,5,GR,NULL,88,90
Coulee Cty Rur W 006,6,GR,NULL,39,36
Electric City 007,7,GR,NULL,114,134
Ephrata 5 008,8,GR,NULL,151,112
Ephrata 2 009,9,GR,NULL,213,122
Ephrata 3 010,10,GR,NULL,136,93
Ephrata 4 011,11,GR,NULL,274,117
Ephrata 7 012,12,GR,NULL,218,88
Ephrata 9 013,13,GR,NULL,347,150
Ephrata Rural ,14,GR,NULL,176,85
George 015,15,GR,NULL,23,15
George Rural 016,16,GR,NULL,280,170
Gloyd 017,17,GR,NULL,135,117
Grand Coulee 018,18,GR,NULL,122,86
Hartline 019,19,GR,NULL,26,22
Hartline Rural S 020,20,GR,NULL,8,11
Lakeview Park 021,21,GR,NULL,146,121
Longview 022,22,GR,NULL,210,130
Mae 023,23,GR,NULL,410,298
Marlin 024,24,GR,NULL,11,7
Marlin Rural 025,25,GR,NULL,21,9
Mattawa 026,26,GR,NULL,22,18
Mattawa Rural 027,27,GR,NULL,184,187
McConihe 1 028,28,GR,NULL,87,67
Moses Lake 5 029,29,GR,NULL,146,107
Moses Lake 3 030,30,GR,NULL,253,188
Moses Lake 4 031,31,GR,NULL,174,97
Moses Lake 6 032,32,GR,NULL,264,162
Moses Lake 7 033,33,GR,NULL,215,156
Moses Lake 8 034,34,GR,NULL,254,211
Moses Lake 11 035,35,GR,NULL,327,185
Moses Lake 12 036,36,GR,NULL,164,148
North Banks Lake 037,37,GR,NULL,22,33
O Sullivan Dam 1 038,38,GR,NULL,272,146
Quincy 1 039,39,GR,NULL,106,117
Quincy 4 040,40,GR,NULL,73,55
Quincy 6 041,41,GR,NULL,223,166
Quincy Rural N 042,42,GR,NULL,109,73
Royal Camp 043,43,GR,NULL,282,125
Royal City 044,44,GR,NULL,97,15
Ruff 045,45,GR,NULL,18,23
Smyrna 1 046,46,GR,NULL,86,25
Soap Lake 1 047,47,GR,NULL,83,78
Soap Lake Rur E ,48,GR,NULL,55,32
Stratford 049,49,GR,NULL,14,28
Warden 050,50,GR,NULL,90,73
Warden Rural 051,51,GR,NULL,189,146
Soap Lake 2 052,52,GR,NULL,82,79
Westslope 1 053,53,GR,NULL,68,27
Wheeler 1 054,54,GR,NULL,115,87
Wilson Creek 055,55,GR,NULL,29,35
Wilson Crk Rural 056,56,GR,NULL,18,8
Airport 2 057,57,GR,NULL,105,74
Cascade Valley 058,58,GR,NULL,295,181
Westslope 2 059,59,GR,NULL,61,19
Smyrna 2 060,60,GR,NULL,17,5
East Wahluke 061,61,GR,NULL,36,39
Coulee Cty Rur E 062,62,GR,NULL,11,9
McConihe 2 063,63,GR,NULL,92,54
Quincy Rural S 064,64,GR,NULL,276,182
Greenfield 065,65,GR,NULL,43,12
Moses Lake 1 066,66,GR,NULL,131,72
Moses Lake 2 067,67,GR,NULL,125,113
Moses Lake 9  068,68,GR,NULL,177,127
O Sullivan Dam 2 069,69,GR,NULL,365,213
Wheeler 2 070,70,GR,NULL,307,228
Soap Lake Rur W ,71,GR,NULL,168,147
Coulee Cty Rur N 072,72,GR,NULL,28,28
Hartline Rural N 073,73,GR,NULL,14,15
Ephrata Rural E,74,GR,NULL,174,101
