Row Label,PrecinctCode,County,Registered Voters,Joe Schmick
Total,-1,AS,NULL,5724
ANATONE,1,AS,NULL,124
RURAL ASOTIN,3,AS,NULL,136
W ASOTIN,4,AS,NULL,155
SWALLOWS NEST,5,AS,NULL,359
ASOTIN #1,101,AS,NULL,167
ASOTIN #2,102,AS,NULL,178
CLARKSTON #1,201,AS,NULL,128
CLARKSTON #2,202,AS,NULL,174
CLARKSTON #3,203,AS,NULL,160
CLARKSTON #4,204,AS,NULL,194
CLARKSTON #5,205,AS,NULL,118
CLARKSTON #6,206,AS,NULL,200
CLARKSTON #7,207,AS,NULL,132
CLARKSTON #8,208,AS,NULL,173
CLARKSTON HTS #1,301,AS,NULL,260
CLARKSTON HTS #2,302,AS,NULL,427
CLARKSTON HTS #3,303,AS,NULL,100
CLARKSTON HTS #4,304,AS,NULL,247
CLARKSTON HTS #5,305,AS,NULL,445
CLARKSTON HTS #6,306,AS,NULL,383
CLARKSTON HTS #7,307,AS,NULL,300
SOUTH CLARKSTON #1,401,AS,NULL,206
SOUTH CLARKSTON #2,402,AS,NULL,266
WEST CLARKSTON #1,501,AS,NULL,209
WEST CLARKSTON #2,502,AS,NULL,219
WEST CLARKSTON #3,503,AS,NULL,264
