Row Label,PrecinctCode,County,Registered Voters,Dan G. Gunkel,Sherry L. Carver
Total,-1,KT,NULL,3933,3513
ALDER CREEK,1,KT,NULL,99,50
CENTERVILLE,2,KT,NULL,160,155
COLUMBUS,3,KT,NULL,27,15
E KLICKITAT,4,KT,NULL,32,56
F VALLEY,5,KT,NULL,195,113
GLENWOOD,6,KT,NULL,170,109
HUSUM,7,KT,NULL,161,160
LYLE,8,KT,NULL,191,190
MT BROOK,9,KT,NULL,131,142
N DALLES,11,KT,NULL,215,138
N F VALLEY,12,KT,NULL,236,146
PINE FOREST,13,KT,NULL,361,398
ROOSEVELT,14,KT,NULL,25,42
TROUT LAKE,16,KT,NULL,153,143
W KLICKITAT,17,KT,NULL,38,37
WISHRAM,19,KT,NULL,46,39
WOODLAND,20,KT,NULL,384,410
ORCHARD HTS,21,KT,NULL,111,132
APPLETON,22,KT,NULL,56,34
ALDERDALE,23,KT,NULL,22,16
E LYLE,24,KT,NULL,84,49
RIVER,27,KT,NULL,8,15
HGH PRAIRIE,28,KT,NULL,41,28
BINGEN,101,KT,NULL,71,49
GOLDENDALE 1,102,KT,NULL,223,205
GOLDENDALE 2,103,KT,NULL,193,195
GOLDENDALE 3,104,KT,NULL,135,168
WHITE SALMON,109,KT,NULL,218,175
N WHITE SALMON,110,KT,NULL,147,104
