Row Label,PrecinctCode,County,Registered Voters,Darrel Ellis
Total,-1,KS,NULL,2329
CLE ELUM 1,1,KS,NULL,144
CLE ELUM 2,2,KS,NULL,98
CLE ELUM 3,3,KS,NULL,44
CLE ELUM 4,4,KS,NULL,199
EASTON,7,KS,NULL,243
HYAK,32,KS,NULL,57
MOUNTAIN,35,KS,NULL,92
PEOH POINT,39,KS,NULL,220
ROSLYN 1,41,KS,NULL,128
ROSLYN 2,42,KS,NULL,80
WESTSIDE,44,KS,NULL,309
ROSLYN OUTLYING,45,KS,NULL,45
SOUTH CLE ELUM,47,KS,NULL,150
SWAUK,50,KS,NULL,141
TEANAWAY,51,KS,NULL,216
KACHESS,59,KS,NULL,62
RONALD,62,KS,NULL,101
