Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,LI,NULL,3275,1199
ALMIRA RURAL(*),1,LI,NULL,0,0
BLUESTEM(*),2,LI,NULL,0,0
CANBY,3,LI,NULL,31,9
CRESTON RURAL,4,LI,NULL,47,11
WHEATLAND,5,LI,NULL,77,17
DAVENPORT RURAL,6,LI,NULL,83,10
DOWNS,7,LI,NULL,20,3
EARL,8,LI,NULL,26,8
EDWALL,9,LI,NULL,60,12
EGYPT,10,LI,NULL,95,27
ENOS,11,LI,NULL,16,2
GOVAN,12,LI,NULL,13,8
GRAND COULEE,13,LI,NULL,25,14
GRAVELLE,14,LI,NULL,36,4
HARR RURAL,15,LI,NULL,45,11
HAWK CREEK,16,LI,NULL,50,29
IRBY,17,LI,NULL,26,5
KELLER,18,LI,NULL,52,17
LAKEVIEW,19,LI,NULL,92,29
LAMONA,20,LI,NULL,22,5
EAST LARENE,21,LI,NULL,68,23
WEST LARENE,22,LI,NULL,22,19
LAYTON(*),23,LI,NULL,0,0
LONG LAKE,24,LI,NULL,62,10
MOHLER,25,LI,NULL,47,9
MONDOVI,26,LI,NULL,62,26
ODESSA RURAL,27,LI,NULL,74,22
PEACH,28,LI,NULL,95,37
N REARDAN RURAL,29,LI,NULL,35,14
S REARDAN RURAL,30,LI,NULL,44,11
RIVERVIEW,31,LI,NULL,93,64
SEVEN BAYS,32,LI,NULL,40,30
SHERMAN,33,LI,NULL,47,21
SPRAGUE RURAL,34,LI,NULL,85,25
SPRING CREEK,35,LI,NULL,59,23
WILBUR RURAL,36,LI,NULL,61,34
WAUKON,37,LI,NULL,38,9
WILSON CREEK,38,LI,NULL,28,6
ALMIRA IN,39,LI,NULL,59,40
CRESTON IN,40,LI,NULL,46,46
DAVENPORT IN,41,LI,NULL,500,140
HARRINGTON IN,42,LI,NULL,96,49
ODESSA IN,43,LI,NULL,255,80
REARDAN IN,44,LI,NULL,164,47
SPRAGUE IN,45,LI,NULL,84,50
WILBUR IN,46,LI,NULL,224,136
