Row Label,PrecinctCode,County,Registered Voters,Vicky M. Dalton,Alene Lindstrand
Total,-1,SP,NULL,87776,61431
PCT 3000,3000,SP,NULL,3,4
PCT 3100,3100,SP,NULL,230,123
PCT 3101,3101,SP,NULL,216,102
PCT 3102,3102,SP,NULL,156,77
PCT 3103,3103,SP,NULL,184,96
PCT 3104,3104,SP,NULL,249,148
PCT 3105,3105,SP,NULL,233,98
PCT 3106,3106,SP,NULL,231,119
PCT 3107,3107,SP,NULL,252,133
PCT 3108,3108,SP,NULL,188,91
PCT 3109,3109,SP,NULL,219,121
PCT 3110,3110,SP,NULL,179,104
PCT 3111,3111,SP,NULL,185,96
PCT 3112,3112,SP,NULL,14,7
PCT 3113,3113,SP,NULL,272,141
PCT 3114,3114,SP,NULL,250,149
PCT 3115,3115,SP,NULL,252,149
PCT 3116,3116,SP,NULL,246,171
PCT 3117,3117,SP,NULL,189,86
PCT 3118,3118,SP,NULL,201,83
PCT 3119,3119,SP,NULL,228,105
PCT 3120,3120,SP,NULL,244,130
PCT 3121,3121,SP,NULL,215,143
PCT 3122,3122,SP,NULL,351,143
PCT 3123,3123,SP,NULL,206,139
PCT 3124,3124,SP,NULL,239,145
PCT 3125,3125,SP,NULL,232,114
PCT 3126,3126,SP,NULL,41,37
PCT 3127,3127,SP,NULL,289,76
PCT 3128,3128,SP,NULL,250,119
PCT 3200,3200,SP,NULL,279,79
PCT 3201,3201,SP,NULL,378,121
PCT 3202,3202,SP,NULL,195,71
PCT 3203,3203,SP,NULL,313,101
PCT 3204,3204,SP,NULL,270,70
PCT 3205,3205,SP,NULL,291,101
PCT 3206,3206,SP,NULL,262,83
PCT 3207,3207,SP,NULL,159,72
PCT 3208,3208,SP,NULL,301,131
PCT 3209,3209,SP,NULL,311,203
PCT 3210,3210,SP,NULL,338,97
PCT 3211,3211,SP,NULL,354,91
PCT 3212,3212,SP,NULL,311,73
PCT 3213,3213,SP,NULL,412,125
PCT 3214,3214,SP,NULL,341,134
PCT 3215,3215,SP,NULL,238,81
PCT 3216,3216,SP,NULL,431,198
PCT 3217,3217,SP,NULL,384,213
PCT 3218,3218,SP,NULL,429,165
PCT 3219,3219,SP,NULL,320,141
PCT 3220,3220,SP,NULL,426,157
PCT 3221,3221,SP,NULL,328,204
PCT 3222,3222,SP,NULL,186,51
PCT 3223,3223,SP,NULL,257,64
PCT 3300,3300,SP,NULL,226,219
PCT 3301,3301,SP,NULL,409,231
PCT 3302,3302,SP,NULL,284,189
PCT 3303,3303,SP,NULL,297,154
PCT 3304,3304,SP,NULL,295,164
PCT 3305,3305,SP,NULL,249,131
PCT 3306,3306,SP,NULL,279,191
PCT 3307,3307,SP,NULL,208,123
PCT 3308,3308,SP,NULL,288,171
PCT 3309,3309,SP,NULL,286,153
PCT 3310,3310,SP,NULL,292,186
PCT 3311,3311,SP,NULL,185,120
PCT 3312,3312,SP,NULL,367,211
PCT 3313,3313,SP,NULL,388,228
PCT 3314,3314,SP,NULL,253,145
PCT 3315,3315,SP,NULL,340,181
PCT 3316,3316,SP,NULL,415,153
PCT 3317,3317,SP,NULL,441,217
PCT 3318,3318,SP,NULL,283,148
PCT 3319,3319,SP,NULL,269,133
PCT 3320,3320,SP,NULL,237,120
PCT 3321,3321,SP,NULL,324,180
PCT 3322,3322,SP,NULL,246,119
PCT 3323,3323,SP,NULL,311,148
PCT 3324,3324,SP,NULL,324,113
PCT 3325,3325,SP,NULL,414,133
PCT 3326,3326,SP,NULL,125,56
PCT 3327,3327,SP,NULL,245,85
PCT 3328,3328,SP,NULL,337,108
PCT 3329,3329,SP,NULL,284,78
PCT 4001,4001,SP,NULL,173,190
PCT 4002,4002,SP,NULL,238,262
PCT 4003,4003,SP,NULL,315,395
PCT 4004,4004,SP,NULL,250,306
PCT 4005,4005,SP,NULL,219,229
PCT 4006,4006,SP,NULL,326,306
PCT 4007,4007,SP,NULL,181,185
PCT 4008,4008,SP,NULL,163,202
PCT 4009,4009,SP,NULL,241,240
PCT 4010,4010,SP,NULL,215,240
PCT 4011,4011,SP,NULL,307,369
PCT 4012,4012,SP,NULL,352,416
PCT 4013,4013,SP,NULL,205,244
PCT 4014,4014,SP,NULL,192,132
PCT 4015,4015,SP,NULL,210,161
PCT 4016,4016,SP,NULL,277,244
PCT 4017,4017,SP,NULL,317,288
PCT 4018,4018,SP,NULL,191,149
PCT 4019,4019,SP,NULL,208,161
PCT 4020,4020,SP,NULL,290,262
PCT 4021,4021,SP,NULL,263,248
PCT 4022,4022,SP,NULL,239,212
PCT 4023,4023,SP,NULL,99,86
PCT 4024,4024,SP,NULL,194,172
PCT 4025,4025,SP,NULL,190,274
PCT 4026,4026,SP,NULL,176,239
PCT 4027,4027,SP,NULL,204,235
PCT 4028,4028,SP,NULL,392,270
PCT 4029,4029,SP,NULL,276,207
PCT 4030,4030,SP,NULL,207,139
PCT 4031,4031,SP,NULL,193,224
PCT 4032,4032,SP,NULL,150,163
PCT 4033,4033,SP,NULL,200,181
PCT 4034,4034,SP,NULL,195,186
PCT 4035,4035,SP,NULL,135,194
PCT 4200,4200,SP,NULL,237,142
PCT 4201,4201,SP,NULL,141,78
PCT 4300,4300,SP,NULL,204,202
PCT 4301,4301,SP,NULL,94,161
PCT 4302,4302,SP,NULL,270,217
PCT 4303,4303,SP,NULL,228,260
PCT 4304,4304,SP,NULL,199,137
PCT 4305,4305,SP,NULL,166,166
PCT 4306,4306,SP,NULL,236,274
PCT 4307,4307,SP,NULL,54,52
PCT 4400,4400,SP,NULL,286,186
PCT 4401,4401,SP,NULL,311,235
PCT 4402,4402,SP,NULL,265,188
PCT 4403,4403,SP,NULL,321,203
PCT 4404,4404,SP,NULL,274,255
PCT 4405,4405,SP,NULL,310,233
PCT 4406,4406,SP,NULL,293,168
PCT 4407,4407,SP,NULL,299,205
PCT 4408,4408,SP,NULL,319,336
PCT 4409,4409,SP,NULL,385,319
PCT 4410,4410,SP,NULL,329,242
PCT 4411,4411,SP,NULL,282,240
PCT 4412,4412,SP,NULL,217,166
PCT 4413,4413,SP,NULL,291,186
PCT 4414,4414,SP,NULL,322,245
PCT 4415,4415,SP,NULL,240,175
PCT 4416,4416,SP,NULL,283,190
PCT 4417,4417,SP,NULL,199,108
PCT 4418,4418,SP,NULL,268,218
PCT 4419,4419,SP,NULL,297,220
PCT 4420,4420,SP,NULL,133,86
PCT 4421,4421,SP,NULL,237,146
PCT 4422,4422,SP,NULL,296,198
PCT 4423,4423,SP,NULL,398,273
PCT 4424,4424,SP,NULL,257,211
PCT 4425,4425,SP,NULL,203,183
PCT 4426,4426,SP,NULL,158,129
PCT 4427,4427,SP,NULL,353,258
PCT 4428,4428,SP,NULL,210,154
PCT 4429,4429,SP,NULL,292,260
PCT 4430,4430,SP,NULL,303,233
PCT 4431,4431,SP,NULL,227,184
PCT 4432,4432,SP,NULL,306,216
PCT 4433,4433,SP,NULL,204,146
PCT 4434,4434,SP,NULL,397,325
PCT 4435,4435,SP,NULL,313,226
PCT 4436,4436,SP,NULL,341,359
PCT 4437,4437,SP,NULL,328,225
PCT 4438,4438,SP,NULL,336,324
PCT 4439,4439,SP,NULL,283,215
PCT 4440,4440,SP,NULL,293,232
PCT 4441,4441,SP,NULL,203,165
PCT 4442,4442,SP,NULL,192,157
PCT 4443,4443,SP,NULL,141,139
PCT 4444,4444,SP,NULL,292,242
PCT 4445,4445,SP,NULL,241,199
PCT 4446,4446,SP,NULL,175,109
PCT 4447,4447,SP,NULL,138,95
PCT 4448,4448,SP,NULL,228,160
PCT 4449,4449,SP,NULL,197,105
PCT 4450,4450,SP,NULL,149,93
PCT 4451,4451,SP,NULL,209,163
PCT 4452,4452,SP,NULL,192,190
PCT 4453,4453,SP,NULL,245,247
PCT 4454,4454,SP,NULL,233,119
PCT 4455,4455,SP,NULL,223,171
PCT 6000,6000,SP,NULL,185,179
PCT 6001,6001,SP,NULL,274,200
PCT 6002,6002,SP,NULL,70,64
PCT 6003,6003,SP,NULL,273,276
PCT 6004,6004,SP,NULL,225,135
PCT 6005,6005,SP,NULL,261,184
PCT 6006,6006,SP,NULL,260,218
PCT 6007,6007,SP,NULL,263,176
PCT 6008,6008,SP,NULL,227,165
PCT 6009,6009,SP,NULL,241,148
PCT 6010,6010,SP,NULL,30,35
PCT 6011,6011,SP,NULL,185,211
PCT 6012,6012,SP,NULL,142,151
PCT 6013,6013,SP,NULL,204,154
PCT 6014,6014,SP,NULL,144,125
PCT 6015,6015,SP,NULL,158,130
PCT 6016,6016,SP,NULL,162,154
PCT 6017,6017,SP,NULL,434,373
PCT 6018,6018,SP,NULL,418,248
PCT 6019,6019,SP,NULL,449,230
PCT 6020,6020,SP,NULL,503,228
PCT 6021,6021,SP,NULL,270,181
PCT 6022,6022,SP,NULL,324,185
PCT 6023,6023,SP,NULL,134,148
PCT 6024,6024,SP,NULL,177,129
PCT 6025,6025,SP,NULL,195,183
PCT 6026,6026,SP,NULL,365,336
PCT 6027,6027,SP,NULL,278,194
PCT 6028,6028,SP,NULL,218,171
PCT 6029,6029,SP,NULL,249,221
PCT 6030,6030,SP,NULL,337,355
PCT 6031,6031,SP,NULL,208,166
PCT 6032,6032,SP,NULL,139,165
PCT 6033,6033,SP,NULL,385,351
PCT 6034,6034,SP,NULL,271,275
PCT 6035,6035,SP,NULL,178,135
PCT 6036,6036,SP,NULL,166,133
PCT 6037,6037,SP,NULL,118,158
PCT 6100,6100,SP,NULL,181,107
PCT 6101,6101,SP,NULL,242,159
PCT 6102,6102,SP,NULL,250,161
PCT 6103,6103,SP,NULL,118,54
PCT 6104,6104,SP,NULL,223,99
PCT 6105,6105,SP,NULL,241,141
PCT 6106,6106,SP,NULL,345,204
PCT 6107,6107,SP,NULL,203,107
PCT 6108,6108,SP,NULL,232,116
PCT 6109,6109,SP,NULL,169,88
PCT 6200,6200,SP,NULL,438,171
PCT 6201,6201,SP,NULL,264,172
PCT 6202,6202,SP,NULL,345,182
PCT 6203,6203,SP,NULL,519,123
PCT 6204,6204,SP,NULL,579,151
PCT 6205,6205,SP,NULL,480,149
PCT 6206,6206,SP,NULL,485,168
PCT 6207,6207,SP,NULL,393,242
PCT 6208,6208,SP,NULL,442,183
PCT 6209,6209,SP,NULL,359,121
PCT 6210,6210,SP,NULL,432,193
PCT 6211,6211,SP,NULL,269,136
PCT 6212,6212,SP,NULL,206,104
PCT 6213,6213,SP,NULL,366,216
PCT 6214,6214,SP,NULL,316,153
PCT 6215,6215,SP,NULL,449,159
PCT 6216,6216,SP,NULL,361,162
PCT 6217,6217,SP,NULL,402,177
PCT 6218,6218,SP,NULL,320,182
PCT 6219,6219,SP,NULL,339,219
PCT 6220,6220,SP,NULL,342,252
PCT 6221,6221,SP,NULL,387,272
PCT 6222,6222,SP,NULL,230,206
PCT 6223,6223,SP,NULL,412,211
PCT 6224,6224,SP,NULL,350,162
PCT 6225,6225,SP,NULL,364,215
PCT 6300,6300,SP,NULL,464,314
PCT 6301,6301,SP,NULL,448,295
PCT 6302,6302,SP,NULL,210,148
PCT 6303,6303,SP,NULL,437,289
PCT 6304,6304,SP,NULL,410,251
PCT 6305,6305,SP,NULL,169,162
PCT 6306,6306,SP,NULL,241,235
PCT 6307,6307,SP,NULL,130,139
PCT 6308,6308,SP,NULL,186,115
PCT 6309,6309,SP,NULL,338,175
PCT 6310,6310,SP,NULL,282,167
PCT 6311,6311,SP,NULL,263,169
PCT 6312,6312,SP,NULL,244,179
PCT 6313,6313,SP,NULL,353,186
PCT 6314,6314,SP,NULL,309,165
PCT 6315,6315,SP,NULL,204,102
PCT 6316,6316,SP,NULL,146,94
PCT 6317,6317,SP,NULL,229,148
PCT 6318,6318,SP,NULL,257,170
PCT 6400,6400,SP,NULL,207,148
PCT 6401,6401,SP,NULL,122,84
PCT 6402,6402,SP,NULL,235,184
PCT 6500,6500,SP,NULL,49,53
PCT 6600,6600,SP,NULL,281,164
PCT 6601,6601,SP,NULL,197,188
PCT 6602,6602,SP,NULL,267,196
PCT 6700,6700,SP,NULL,263,161
PCT 6701,6701,SP,NULL,286,136
PCT 6702,6702,SP,NULL,198,119
PCT 6703,6703,SP,NULL,296,115
PCT 6704,6704,SP,NULL,276,162
PCT 7000,7000,SP,NULL,328,384
PCT 7001,7001,SP,NULL,196,208
PCT 7002,7002,SP,NULL,184,192
PCT 7003,7003,SP,NULL,256,278
PCT 7004,7004,SP,NULL,235,282
PCT 7005,7005,SP,NULL,364,384
PCT 7006,7006,SP,NULL,274,273
PCT 7007,7007,SP,NULL,217,255
PCT 7008,7008,SP,NULL,299,307
PCT 7009,7009,SP,NULL,353,348
PCT 7010,7010,SP,NULL,200,216
PCT 7011,7011,SP,NULL,139,180
PCT 7012,7012,SP,NULL,235,258
PCT 7013,7013,SP,NULL,180,296
PCT 7014,7014,SP,NULL,256,218
PCT 7015,7015,SP,NULL,233,248
PCT 7016,7016,SP,NULL,344,311
PCT 7017,7017,SP,NULL,243,280
PCT 7018,7018,SP,NULL,313,282
PCT 7019,7019,SP,NULL,235,235
PCT 7020,7020,SP,NULL,292,259
PCT 7021,7021,SP,NULL,166,140
PCT 7022,7022,SP,NULL,270,156
PCT 7023,7023,SP,NULL,250,161
PCT 7024,7024,SP,NULL,333,328
PCT 7025,7025,SP,NULL,242,227
PCT 7026,7026,SP,NULL,278,247
PCT 7027,7027,SP,NULL,243,160
PCT 7028,7028,SP,NULL,341,348
PCT 7029,7029,SP,NULL,242,214
PCT 7030,7030,SP,NULL,280,267
PCT 7031,7031,SP,NULL,250,210
PCT 7032,7032,SP,NULL,295,216
PCT 7033,7033,SP,NULL,191,147
PCT 7034,7034,SP,NULL,187,120
PCT 7035,7035,SP,NULL,144,179
PCT 7036,7036,SP,NULL,226,151
PCT 7300,7300,SP,NULL,202,214
PCT 7301,7301,SP,NULL,181,171
PCT 7302,7302,SP,NULL,182,156
PCT 9000,9000,SP,NULL,239,270
PCT 9001,9001,SP,NULL,224,180
PCT 9002,9002,SP,NULL,153,210
PCT 9003,9003,SP,NULL,101,152
PCT 9004,9004,SP,NULL,172,286
PCT 9005,9005,SP,NULL,58,122
PCT 9006,9006,SP,NULL,219,311
PCT 9007,9007,SP,NULL,55,85
PCT 9008,9008,SP,NULL,34,52
PCT 9300,9300,SP,NULL,55,38
PCT 9400,9400,SP,NULL,20,19
PCT 9500,9500,SP,NULL,84,75
PCT 9600,9600,SP,NULL,36,37
PCT 9700,9700,SP,NULL,89,70
