Row Label,PrecinctCode,County,Registered Voters,Dave Brown
Total,-1,SM,NULL,3030
BEAR PRAIRIE,100,SM,NULL,122
MT. PLEASANT,101,SM,NULL,122
SKYE,102,SM,NULL,142
UPPER WASHOUGAL,103,SM,NULL,153
LEWIS RIVER,104,SM,NULL,15
CAPE HORN,105,SM,NULL,170
SKAMANIA,106,SM,NULL,199
CASCADES,201,SM,NULL,7
NORTH BONNEVILLE,202,SM,NULL,252
ROCK CREEK,203,SM,NULL,126
MAPLE VIEW,204,SM,NULL,198
NORTH STEVENSON,205,SM,NULL,147
SOUTH STEVENSON,206,SM,NULL,41
NELSON CREEK,207,SM,NULL,77
CARSON CREEK,208,SM,NULL,187
STABLER,300,SM,NULL,208
WIND RIVER,303,SM,NULL,165
HOT SPRINGS NORTH,304,SM,NULL,75
HOT SPRINGS SOUTH,305,SM,NULL,127
WIND MOUNTAIN,307,SM,NULL,80
CHENOWITH,309,SM,NULL,119
UNDERWOOD NORTH,310,SM,NULL,171
UNDERWOOD SOUTH,311,SM,NULL,127
