Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,TH,NULL,2215,1258
Clear Lake,30,TH,NULL,301,196
Lackamas,31,TH,NULL,44,85
Lawrence Lake,46,TH,NULL,258,169
Michigan Hill,48,TH,NULL,137,74
James,52,TH,NULL,243,73
Vail,53,TH,NULL,219,191
Zenkner Valley,77,TH,NULL,74,13
Bald Hills,130,TH,NULL,55,52
Scatter Creek,148,TH,NULL,161,90
Rochester 2,154,TH,NULL,225,94
Grand Mound,156,TH,NULL,112,50
Gibson Valley,157,TH,NULL,54,11
Skookumchuck,158,TH,NULL,247,100
Bucoda,801,TH,NULL,85,60
