Row Label,PrecinctCode,County,Registered Voters,Hans Zeiger,Eric Renz
Total,-1,PI,NULL,23760,12861
25-201,25201,PI,NULL,410,249
25-202,25202,PI,NULL,317,206
25-203,25203,PI,NULL,388,238
25-204,25204,PI,NULL,308,223
25-205,25205,PI,NULL,319,245
25-206,25206,PI,NULL,186,172
25-208,25208,PI,NULL,447,265
25-209,25209,PI,NULL,407,221
25-210,25210,PI,NULL,528,240
25-211,25211,PI,NULL,349,187
25-212,25212,PI,NULL,388,208
25-213,25213,PI,NULL,446,234
25-215,25215,PI,NULL,345,233
25-216,25216,PI,NULL,239,140
25-217,25217,PI,NULL,443,201
25-218,25218,PI,NULL,411,213
25-219(*),25219,PI,NULL,0,0
25-220(*),25220,PI,NULL,0,0
25-221,25221,PI,NULL,402,173
25-222,25222,PI,NULL,231,165
25-226,25226,PI,NULL,248,128
25-227,25227,PI,NULL,159,130
25-228,25228,PI,NULL,263,242
25-230,25230,PI,NULL,64,74
25-235,25235,PI,NULL,12,7
25-236,25236,PI,NULL,223,183
25-237(*),25237,PI,NULL,0,0
25-238,25238,PI,NULL,170,139
25-239,25239,PI,NULL,396,196
25-240,25240,PI,NULL,135,101
25-241,25241,PI,NULL,130,134
25-242,25242,PI,NULL,437,191
25-243,25243,PI,NULL,234,223
25-244,25244,PI,NULL,447,260
25-245(*),25245,PI,NULL,0,0
25-246,25246,PI,NULL,24,26
25-247,25247,PI,NULL,274,210
25-248,25248,PI,NULL,466,232
25-249,25249,PI,NULL,382,205
25-250,25250,PI,NULL,171,72
25-251,25251,PI,NULL,341,178
25-252,25252,PI,NULL,276,199
25-253,25253,PI,NULL,202,162
25-254,25254,PI,NULL,150,149
25-255,25255,PI,NULL,206,140
25-256,25256,PI,NULL,285,214
25-257,25257,PI,NULL,322,197
25-258,25258,PI,NULL,386,229
25-259,25259,PI,NULL,360,214
25-260,25260,PI,NULL,393,207
25-261,25261,PI,NULL,274,143
25-262,25262,PI,NULL,379,185
25-263,25263,PI,NULL,361,135
25-264,25264,PI,NULL,391,209
25-265,25265,PI,NULL,327,236
25-266,25266,PI,NULL,491,176
25-267,25267,PI,NULL,210,70
25-268,25268,PI,NULL,191,102
25-269,25269,PI,NULL,265,124
25-270,25270,PI,NULL,403,164
25-271,25271,PI,NULL,382,174
25-272,25272,PI,NULL,407,199
25-273,25273,PI,NULL,279,125
25-274,25274,PI,NULL,531,177
25-275(*),25275,PI,NULL,0,0
25-276,25276,PI,NULL,8,11
25-277,25277,PI,NULL,392,169
25-278,25278,PI,NULL,148,60
25-279,25279,PI,NULL,336,136
25-280,25280,PI,NULL,444,167
25-281,25281,PI,NULL,270,106
25-282,25282,PI,NULL,401,176
25-283,25283,PI,NULL,193,106
25-284,25284,PI,NULL,196,92
25-285,25285,PI,NULL,567,184
25-286,25286,PI,NULL,352,190
25-287,25287,PI,NULL,3,3
25-288,25288,PI,NULL,416,151
25-289,25289,PI,NULL,0,0
25-290,25290,PI,NULL,35,20
25-291,25291,PI,NULL,87,40
25-292,25292,PI,NULL,399,221
25-293,25293,PI,NULL,368,202
