Row Label,PrecinctCode,County,Registered Voters,Luis Moscoso,Edward J. Barton
Total,-1,KI,NULL,15608,14135
Total,-1,KI,NULL,15608,14135
BOTHELL 31,10141598,SN,NULL,184,171
BOTHELL 32,10141599,SN,NULL,110,111
BOTHELL 33,10141600,SN,NULL,157,126
BOTHELL 34,10141601,SN,NULL,195,160
BOTHELL 35,10141602,SN,NULL,135,130
BOTHELL 36,10141603,SN,NULL,136,138
BOTHELL 37,10141604,SN,NULL,173,215
BOTHELL 38,10141605,SN,NULL,167,131
BOTHELL 39,10141606,SN,NULL,132,107
BOTHELL 40,10141607,SN,NULL,207,158
BOTHELL 41,10141608,SN,NULL,188,166
BOTHELL 42,10141609,SN,NULL,225,172
BOTHELL 43,10141610,SN,NULL,130,118
BOTHELL 44,10141611,SN,NULL,144,94
BOTHELL 45,10141612,SN,NULL,76,88
BOTHELL 46,10141613,SN,NULL,148,147
BOTHELL 47,10141644,SN,NULL,166,168
ELWOOD,10144165,SN,NULL,142,140
RAINIER,10144171,SN,NULL,65,109
GRANNIS,10144266,SN,NULL,161,142
SUNSET,10144271,SN,NULL,202,198
VIEW,10144330,SN,NULL,141,189
WITHERS,10144338,SN,NULL,213,160
CAVALRY,10144370,SN,NULL,130,201
MAPLEWOOD,10144426,SN,NULL,139,164
PARKSHORE,10144479,SN,NULL,117,123
STAFFORD,10144484,SN,NULL,92,111
REDHAWK,10144552,SN,NULL,175,189
VALLEY,10144559,SN,NULL,37,57
GATEWAY,10144581,SN,NULL,135,192
SNOCADE,10144592,SN,NULL,169,253
TOTEM FALLS,10144594,SN,NULL,157,255
WOODSHIRE,10144597,SN,NULL,97,159
SILVER CREEK,10144635,SN,NULL,143,80
KENNARD,10144639,SN,NULL,117,119
GLENBAR,10144646,SN,NULL,128,109
OLDMARK,10144656,SN,NULL,195,217
KINGMAN,10144685,SN,NULL,260,204
CRYSTAL CREEK,10144691,SN,NULL,94,77
TAMBARK,10144715,SN,NULL,127,147
BEAR CREEK,10154009,SN,NULL,127,114
MALTBY,10154026,SN,NULL,145,169
CATHCART,10154032,SN,NULL,83,141
CLEARVIEW,10154062,SN,NULL,165,214
MINOR,10154170,SN,NULL,162,159
BEECHER,10154178,SN,NULL,135,213
WOODLAND,10154273,SN,NULL,78,80
CREEK,10154283,SN,NULL,151,195
PARADISE,10154310,SN,NULL,134,215
TURNER,10154329,SN,NULL,180,282
WELLINGTON,10154333,SN,NULL,206,217
WHEELER,10154334,SN,NULL,109,177
BATTERY,10154369,SN,NULL,100,119
ECHO LAKE,10154372,SN,NULL,166,219
LOST LAKE,10154375,SN,NULL,112,98
BOSTIAN,10154387,SN,NULL,99,119
REES,10154435,SN,NULL,44,85
KOKANEE,10154535,SN,NULL,85,90
POND,10154551,SN,NULL,115,164
WELCH,10154560,SN,NULL,134,256
FALLS,10154579,SN,NULL,15,24
SILER,10154657,SN,NULL,81,103
SOUTH ALDERWOOD,20134083,SN,NULL,221,155
SAMOEA,20134196,SN,NULL,163,158
POPLAR,20134316,SN,NULL,91,78
CRAWFORD,20134690,SN,NULL,52,44
MOUNTLAKE TERRACE  1,20141090,SN,NULL,168,87
MOUNTLAKE TERRACE  2,20141091,SN,NULL,162,89
MOUNTLAKE TERRACE  3,20141092,SN,NULL,166,84
MOUNTLAKE TERRACE  5,20141093,SN,NULL,175,92
MOUNTLAKE TERRACE  6,20141094,SN,NULL,145,70
MOUNTLAKE TERRACE 11,20141138,SN,NULL,178,82
MOUNTLAKE TERRACE 12,20141139,SN,NULL,164,95
MOUNTLAKE TERRACE 13,20141140,SN,NULL,220,84
MOUNTLAKE TERRACE 14,20141141,SN,NULL,197,104
MOUNTLAKE TERRACE 15,20141142,SN,NULL,164,82
BRIER 1,20141179,SN,NULL,196,126
BRIER 2,20141180,SN,NULL,145,115
BRIER 3,20141181,SN,NULL,271,192
MOUNTLAKE TERRACE 17,20141189,SN,NULL,262,116
MOUNTLAKE TERRACE 18,20141190,SN,NULL,176,111
MOUNTLAKE TERRACE 19,20141191,SN,NULL,203,110
BRIER 4,20141276,SN,NULL,216,119
BRIER 5,20141277,SN,NULL,227,167
BRIER 6,20141343,SN,NULL,130,85
BRIER 7,20141344,SN,NULL,151,124
MOUNTLAKE TERRACE  4,20141432,SN,NULL,144,68
BRIER 8,20141614,SN,NULL,136,105
MOUNTLAKE TERRACE 16,20141630,SN,NULL,148,55
NORTH CREEK,20144065,SN,NULL,160,104
LOCUST,20144078,SN,NULL,161,140
WILLOWDALE,20144085,SN,NULL,191,143
HUNT,20144089,SN,NULL,2,2
MERIDIAN,20144136,SN,NULL,155,180
VINE,20144146,SN,NULL,159,110
ATLAS,20144177,SN,NULL,219,151
QUEENS,20144212,SN,NULL,179,121
WAXON,20144213,SN,NULL,219,167
COUNTRY,20144281,SN,NULL,129,101
CRYSTAL,20144284,SN,NULL,163,126
THRASHERS,20144324,SN,NULL,160,106
DAMSON,20144446,SN,NULL,215,152
WANDERING CREEK,20144596,SN,NULL,162,180
NEWTON,20144705,SN,NULL,128,107
