Row Label,PrecinctCode,County,Registered Voters,Donna J. Deal
Total,-1,GA,NULL,1024
GROUSE-VOTE BY MAIL,101,GA,NULL,2
MAYVIEW-VOTE BY MAIL,102,GA,NULL,39
PATAHA,103,GA,NULL,132
PEOLA-VOTE BY MAIL,104,GA,NULL,12
PING - VOTE BY MAIL,105,GA,NULL,19
PLEASANT-VB MAIL,106,GA,NULL,41
SCOGGIN - VB MAIL,109,GA,NULL,89
TUCANNON - VB MAIL,110,GA,NULL,57
WARD 1,201,GA,NULL,101
WARD 2,202,GA,NULL,194
WARD 3,203,GA,NULL,197
WARD 4,204,GA,NULL,141
