Row Label,PrecinctCode,County,Registered Voters,Richard DeBolt,Michael Savoca
Total,-1,CR,NULL,2097,1215
510,510,CR,NULL,271,125
511,511,CR,NULL,19,12
520,520,CR,NULL,201,132
525,525,CR,NULL,230,158
528,528,CR,NULL,365,207
530,530,CR,NULL,169,98
535,535,CR,NULL,494,254
536,536,CR,NULL,218,132
537,537,CR,NULL,130,97
