Row Label,PrecinctCode,County,Registered Voters,Bill Benedict
Total,-1,CM,NULL,18995
PORT ANGELES 101,101,CM,NULL,257
PORT ANGELES 102,102,CM,NULL,419
PORT ANGELES 103,103,CM,NULL,447
PORT ANGELES 104,104,CM,NULL,302
PORT ANGELES 105,105,CM,NULL,400
PORT ANGELES 106,106,CM,NULL,313
PORT ANGELES 107,107,CM,NULL,451
PORT ANGELES 108,108,CM,NULL,211
PORT ANGELES 109,109,CM,NULL,491
PORT ANGELES 110,110,CM,NULL,113
PORT ANGELES 111,111,CM,NULL,461
PORT ANGELES 112,112,CM,NULL,271
PORT ANGELES 113,113,CM,NULL,257
AGNEW 201,201,CM,NULL,292
BEAVER 204,204,CM,NULL,206
BELLEVIEW 205,205,CM,NULL,403
BELL HILL 207,207,CM,NULL,379
BLACK DIAMOND 208,208,CM,NULL,211
BLUE MOUNTAIN 209,209,CM,NULL,361
BLUFFS 210,210,CM,NULL,204
BLYN 211,211,CM,NULL,281
BOGACHIEL 212,212,CM,NULL,112
CARLSBORG 214,214,CM,NULL,263
CLALLAM BAY 215,215,CM,NULL,170
CLARK 216,216,CM,NULL,131
CLINE 217,217,CM,NULL,356
COYOTE 218,218,CM,NULL,416
DEER PARK 220,220,CM,NULL,381
DIAMOND POINT 221,221,CM,NULL,367
DUNGENESS EAST 222,222,CM,NULL,437
DUNGENESS WEST 223,223,CM,NULL,186
DRY CREEK 224,224,CM,NULL,307
EAGLE 226,226,CM,NULL,287
ELK 229,229,CM,NULL,82
ELWHA 230,230,CM,NULL,92
FAIRVIEW 232,232,CM,NULL,370
FRESHWATER BAY 233,233,CM,NULL,432
HAPPY VALLEY 237,237,CM,NULL,172
JAMESTOWN 240,240,CM,NULL,222
JOYCE 241,241,CM,NULL,386
LOST MOUNTAIN 245,245,CM,NULL,208
MILLER PENINSULA 246,246,CM,NULL,180
MACLEAY 247,247,CM,NULL,342
MADISON CREEK 248,248,CM,NULL,127
MONTERRA 249,249,CM,NULL,367
MOUNT ANGELES 250,250,CM,NULL,212
MOUNT PLEASANT 251,251,CM,NULL,320
NEAH BAY 252,252,CM,NULL,159
OBRIEN 253,253,CM,NULL,298
OLYMPIC 254,254,CM,NULL,252
PORT WILLIAMS 258,258,CM,NULL,205
PRAIRIE NORTH 259,259,CM,NULL,296
PRAIRIE SOUTH 260,260,CM,NULL,362
QUILEUTE 262,262,CM,NULL,110
RIVERSIDE 265,265,CM,NULL,338
ROBIN HILL 266,266,CM,NULL,274
SUN 269,269,CM,NULL,103
SUNLAND NORTH 270,270,CM,NULL,414
SUNLAND SOUTH 271,271,CM,NULL,264
FORKS 301,301,CM,NULL,190
FORKS 302,302,CM,NULL,244
SEQUIM 401,401,CM,NULL,190
SEQUIM 402,402,CM,NULL,199
SEQUIM 403,403,CM,NULL,354
SEQUIM 404,404,CM,NULL,460
SEQUIM 405,405,CM,NULL,304
SEQUIM 406,406,CM,NULL,324
