Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,ST,NULL,10311
ADDY,1,ST,NULL,249
CAMAS,3,ST,NULL,199
CAMAS PRAIRIE,4,ST,NULL,132
COLUMBIA,5,ST,NULL,279
COLVILLE VALLEY,6,ST,NULL,352
DAISY,7,ST,NULL,117
ECHO,8,ST,NULL,242
EVANS,9,ST,NULL,135
HUNTERS,10,ST,NULL,234
KELLY HILL,11,ST,NULL,56
LOON LAKE 1,12,ST,NULL,329
LOON LAKE 2,13,ST,NULL,179
MILL CREEK,14,ST,NULL,106
NARCISSE,15,ST,NULL,253
ONION CREEK,16,ST,NULL,82
RICE,19,ST,NULL,102
ROCK CUT,20,ST,NULL,45
SUMMIT,21,ST,NULL,165
FIRST THOUGHT,22,ST,NULL,30
WELLPINIT,24,ST,NULL,118
WILLIAMS VALLEY,25,ST,NULL,303
TUM TUM 1,26,ST,NULL,154
TUM TUM 2,27,ST,NULL,298
WALKERS PRAIRIE,28,ST,NULL,190
STONE LODGE,29,ST,NULL,249
TUM TUM 3,39,ST,NULL,342
TUM TUM 4,40,ST,NULL,203
TUM TUM 5,41,ST,NULL,249
MEYERS FALLS 1,42,ST,NULL,196
MEYERS FALLS 2,43,ST,NULL,295
QUARTZITE 1,44,ST,NULL,358
QUARTZITE 2,45,ST,NULL,190
VALLEY 1,46,ST,NULL,32
VALLEY 2,47,ST,NULL,145
ARDEN 1,48,ST,NULL,175
ARDEN 2,49,ST,NULL,202
CLAYTON 1,50,ST,NULL,164
CLAYTON 2,51,ST,NULL,268
ORIN 1,52,ST,NULL,156
ORIN 2,53,ST,NULL,180
WAITTS LAKE,54,ST,NULL,248
ECHO VALLEY,55,ST,NULL,143
CHEWELAH 1,101,ST,NULL,200
CHEWELAH 2,102,ST,NULL,95
CHEWELAH 3,103,ST,NULL,145
CHEWELAH FORE,104,ST,NULL,105
COLVILLE 1,105,ST,NULL,98
COLVILLE 2,106,ST,NULL,123
COLVILLE 3,107,ST,NULL,138
COLVILLE 4,108,ST,NULL,264
COLVILLE 5,109,ST,NULL,206
COLVILLE 6,110,ST,NULL,146
COLVILLE 7,111,ST,NULL,139
KETTLE FALLS 1,114,ST,NULL,208
KETTLE FALLS 2,115,ST,NULL,142
MARCUS,116,ST,NULL,40
NORTHPORT,117,ST,NULL,70
SPRINGDALE,118,ST,NULL,48
