Row Label,PrecinctCode,County,Registered Voters,Scott D. Gallina
Total,-1,AS,NULL,5756
ANATONE,1,AS,NULL,113
RURAL ASOTIN,3,AS,NULL,136
W ASOTIN,4,AS,NULL,146
SWALLOWS NEST,5,AS,NULL,344
ASOTIN #1,101,AS,NULL,174
ASOTIN #2,102,AS,NULL,179
CLARKSTON #1,201,AS,NULL,149
CLARKSTON #2,202,AS,NULL,182
CLARKSTON #3,203,AS,NULL,171
CLARKSTON #4,204,AS,NULL,199
CLARKSTON #5,205,AS,NULL,120
CLARKSTON #6,206,AS,NULL,199
CLARKSTON #7,207,AS,NULL,133
CLARKSTON #8,208,AS,NULL,184
CLARKSTON HTS #1,301,AS,NULL,246
CLARKSTON HTS #2,302,AS,NULL,427
CLARKSTON HTS #3,303,AS,NULL,94
CLARKSTON HTS #4,304,AS,NULL,238
CLARKSTON HTS #5,305,AS,NULL,440
CLARKSTON HTS #6,306,AS,NULL,384
CLARKSTON HTS #7,307,AS,NULL,305
SOUTH CLARKSTON #1,401,AS,NULL,203
SOUTH CLARKSTON #2,402,AS,NULL,266
WEST CLARKSTON #1,501,AS,NULL,229
WEST CLARKSTON #2,502,AS,NULL,224
WEST CLARKSTON #3,503,AS,NULL,271
