Row Label,PrecinctCode,County,Registered Voters,David M. Sauter,Mike Richards
Total,-1,KT,NULL,4796,2450
ALDER CREEK,1,KT,NULL,95,44
CENTERVILLE,2,KT,NULL,190,115
COLUMBUS,3,KT,NULL,26,9
E KLICKITAT,4,KT,NULL,40,47
F VALLEY,5,KT,NULL,231,97
GLENWOOD,6,KT,NULL,188,85
HUSUM,7,KT,NULL,220,120
LYLE,8,KT,NULL,288,114
MT BROOK,9,KT,NULL,190,81
N DALLES,11,KT,NULL,228,121
N F VALLEY,12,KT,NULL,292,116
PINE FOREST,13,KT,NULL,453,246
ROOSEVELT,14,KT,NULL,44,19
TROUT LAKE,16,KT,NULL,195,108
W KLICKITAT,17,KT,NULL,47,26
WISHRAM,19,KT,NULL,49,29
WOODLAND,20,KT,NULL,450,283
ORCHARD HTS,21,KT,NULL,139,73
APPLETON,22,KT,NULL,74,30
ALDERDALE,23,KT,NULL,25,11
E LYLE,24,KT,NULL,83,57
RIVER,27,KT,NULL,14,9
HGH PRAIRIE,28,KT,NULL,38,30
BINGEN,101,KT,NULL,71,47
GOLDENDALE 1,102,KT,NULL,253,140
GOLDENDALE 2,103,KT,NULL,232,115
GOLDENDALE 3,104,KT,NULL,177,100
WHITE SALMON,109,KT,NULL,280,111
N WHITE SALMON,110,KT,NULL,184,67
