Row Label,PrecinctCode,County,Registered Voters,Tim Rasmussen
Total,-1,ST,NULL,12011
ADDY,1,ST,NULL,304
CAMAS,3,ST,NULL,258
CAMAS PRAIRIE,4,ST,NULL,146
COLUMBIA,5,ST,NULL,349
COLVILLE VALLEY,6,ST,NULL,408
DAISY,7,ST,NULL,122
ECHO,8,ST,NULL,278
EVANS,9,ST,NULL,145
HUNTERS,10,ST,NULL,282
KELLY HILL,11,ST,NULL,70
LOON LAKE 1,12,ST,NULL,382
LOON LAKE 2,13,ST,NULL,198
MILL CREEK,14,ST,NULL,122
NARCISSE,15,ST,NULL,307
ONION CREEK,16,ST,NULL,89
RICE,19,ST,NULL,124
ROCK CUT,20,ST,NULL,56
SUMMIT,21,ST,NULL,209
FIRST THOUGHT,22,ST,NULL,39
WELLPINIT,24,ST,NULL,119
WILLIAMS VALLEY,25,ST,NULL,396
TUM TUM 1,26,ST,NULL,182
TUM TUM 2,27,ST,NULL,369
WALKERS PRAIRIE,28,ST,NULL,206
STONE LODGE,29,ST,NULL,305
TUM TUM 3,39,ST,NULL,441
TUM TUM 4,40,ST,NULL,243
TUM TUM 5,41,ST,NULL,290
MEYERS FALLS 1,42,ST,NULL,220
MEYERS FALLS 2,43,ST,NULL,359
QUARTZITE 1,44,ST,NULL,398
QUARTZITE 2,45,ST,NULL,214
VALLEY 1,46,ST,NULL,42
VALLEY 2,47,ST,NULL,163
ARDEN 1,48,ST,NULL,203
ARDEN 2,49,ST,NULL,250
CLAYTON 1,50,ST,NULL,193
CLAYTON 2,51,ST,NULL,323
ORIN 1,52,ST,NULL,188
ORIN 2,53,ST,NULL,219
WAITTS LAKE,54,ST,NULL,275
ECHO VALLEY,55,ST,NULL,162
CHEWELAH 1,101,ST,NULL,207
CHEWELAH 2,102,ST,NULL,104
CHEWELAH 3,103,ST,NULL,174
CHEWELAH FORE,104,ST,NULL,113
COLVILLE 1,105,ST,NULL,110
COLVILLE 2,106,ST,NULL,119
COLVILLE 3,107,ST,NULL,148
COLVILLE 4,108,ST,NULL,286
COLVILLE 5,109,ST,NULL,221
COLVILLE 6,110,ST,NULL,145
COLVILLE 7,111,ST,NULL,171
KETTLE FALLS 1,114,ST,NULL,237
KETTLE FALLS 2,115,ST,NULL,157
MARCUS,116,ST,NULL,43
NORTHPORT,117,ST,NULL,77
SPRINGDALE,118,ST,NULL,51
