Row Label,PrecinctCode,County,Registered Voters,Brian Dansel,Tony Booth
Total,-1,OK,NULL,4127,1436
ANGLIN,2,OK,NULL,50,20
BEEMAN,3,OK,NULL,53,14
BODIE,4,OK,NULL,17,4
BONAPARTE,5,OK,NULL,27,7
CHESAW,9,OK,NULL,35,11
CONCONULLY RURAL,10,OK,NULL,23,14
EASTLAKE,13,OK,NULL,19,6
ELLISFORDE,15,OK,NULL,52,15
ELMWAY,17,OK,NULL,24,10
HAVILLAH,18,OK,NULL,60,9
LOOMIS,19,OK,NULL,41,15
MOLSON,24,OK,NULL,45,17
NIGHTHAWK,28,OK,NULL,13,4
NORTH OMAK,29,OK,NULL,27,5
PINE CREEK,31,OK,NULL,32,8
RIVERSIDE RURAL,33,OK,NULL,72,14
SAN POIL,34,OK,NULL,61,18
SOUTH OROVILLE,35,OK,NULL,51,13
TONASKET RURAL,37,OK,NULL,19,12
TUNK CREEK,38,OK,NULL,62,15
WAUCONDA,41,OK,NULL,45,14
WESTLAKE,42,OK,NULL,30,2
WHITESTONE,43,OK,NULL,35,7
AENEAS,48,OK,NULL,36,9
CRUMBACHER,50,OK,NULL,47,21
KIPLING,53,OK,NULL,30,10
TORODA,55,OK,NULL,45,20
COPPLE,59,OK,NULL,41,13
ENGH,61,OK,NULL,48,12
JANIS,63,OK,NULL,29,7
LEESE,64,OK,NULL,15,9
PALMER LAKE,69,OK,NULL,31,16
PINE CONE,70,OK,NULL,20,15
SAND FLAT,72,OK,NULL,49,17
SOURDOUGH,74,OK,NULL,53,13
WANNACUT,77,OK,NULL,53,21
GREENACRES,86,OK,NULL,26,7
JOHNSON CREEK,87,OK,NULL,37,20
LIME BELT,89,OK,NULL,18,9
BOUNDARY,95,OK,NULL,33,15
BUCKHORN MTN,96,OK,NULL,42,10
EDER,97,OK,NULL,38,10
HORSESHOE LAKE,98,OK,NULL,35,7
LAKE ANDREWS,99,OK,NULL,36,8
MYERS CREEK,100,OK,NULL,16,5
OKANOGAN #1,105,OK,NULL,29,6
OKANOGAN #2,106,OK,NULL,34,18
OKANOGAN #3,107,OK,NULL,16,4
OKANOGAN #4,108,OK,NULL,35,14
OMAK #1,109,OK,NULL,20,6
OMAK #2,110,OK,NULL,35,9
OMAK #3,111,OK,NULL,14,7
OMAK #4,112,OK,NULL,25,10
OMAK #5,113,OK,NULL,37,11
OMAK #6,114,OK,NULL,30,15
OMAK #7,115,OK,NULL,31,8
OMAK #8,116,OK,NULL,10,10
OMAK #9,117,OK,NULL,44,19
OROVILLE #1,118,OK,NULL,31,11
OROVILLE #2,119,OK,NULL,24,4
OROVILLE #3,120,OK,NULL,16,11
TONASKET #1,121,OK,NULL,22,7
TONASKET #2,122,OK,NULL,27,10
TONASKET #3,123,OK,NULL,11,8
CONCONULLY CITY,131,OK,NULL,57,15
RIVERSIDE CITY,134,OK,NULL,43,20
SHORELINE,138,OK,NULL,23,10
SIMILKAMEEN,139,OK,NULL,23,9
TEAL LAKE,140,OK,NULL,24,12
TONASKET CREEK,141,OK,NULL,21,14
OROVILLE #4,142,OK,NULL,24,14
OROVILLE #5,143,OK,NULL,34,12
OROVILLE #6,144,OK,NULL,19,7
OROVILLE #7,145,OK,NULL,22,8
OROVILLE #8,146,OK,NULL,32,7
OROVILLE #9,147,OK,NULL,22,7
OROVILLE #10,148,OK,NULL,30,14
JENNINGS LOOP,149,OK,NULL,19,5
BLUE LAKE,150,OK,NULL,39,12
AENEAS CREEK,151,OK,NULL,31,27
AENEAS LAKE,152,OK,NULL,54,16
ANTOINE CREEK,153,OK,NULL,24,13
ANTOINE PEAK,154,OK,NULL,15,12
CAPE LABELLE,155,OK,NULL,24,6
CAYUSE MTN,156,OK,NULL,22,5
CHEWILIKEN,157,OK,NULL,18,10
DUFFYS MTN,158,OK,NULL,28,5
FRONTAGE,159,OK,NULL,9,9
GUSTY RIDGE,160,OK,NULL,25,12
LONGANECKER,161,OK,NULL,23,6
NORTH TONASKET,162,OK,NULL,54,16
PICKENS MTN,163,OK,NULL,30,9
RANCHES,164,OK,NULL,16,3
SIWASH CREEK,165,OK,NULL,36,17
SPECTACLE LAKE,166,OK,NULL,38,9
HIGHWAY,167,OK,NULL,17,6
WHISKY MTN,168,OK,NULL,12,4
YARNELL,169,OK,NULL,19,8
TONASKET #4,170,OK,NULL,30,7
TONASKET #5,171,OK,NULL,23,16
TONASKET #6,172,OK,NULL,17,9
TONASKET #7,173,OK,NULL,32,17
COLEMAN BUTTE,185,OK,NULL,36,15
ASTON,186,OK,NULL,24,10
WEST RIVER,187,OK,NULL,24,11
OMAK RIVER,188,OK,NULL,42,8
CHEROKEE,189,OK,NULL,46,15
