Row Label,PrecinctCode,County,Registered Voters,Maureen S. Walsh,Mary Ruth Edwards
Total,-1,FR,NULL,2013,1257
Pct 001,1,FR,NULL,108,85
Pct 002,2,FR,NULL,65,35
Pct 003,3,FR,NULL,27,25
Pct 004,4,FR,NULL,45,31
Pct 005,5,FR,NULL,46,22
Pct 006,6,FR,NULL,74,34
Pct 007,7,FR,NULL,55,45
Pct 008,8,FR,NULL,161,54
Pct 009,9,FR,NULL,41,24
Pct 010,10,FR,NULL,85,38
Pct 011,11,FR,NULL,62,38
Pct 012,12,FR,NULL,48,28
Pct 013,13,FR,NULL,52,23
Pct 014,14,FR,NULL,61,31
Pct 015,15,FR,NULL,70,45
Pct 016,16,FR,NULL,12,6
Pct 017,17,FR,NULL,75,47
Pct 018,18,FR,NULL,38,22
Pct 019,19,FR,NULL,96,74
Pct 020,20,FR,NULL,43,31
Pct 021,21,FR,NULL,27,16
Pct 024,24,FR,NULL,84,61
Pct 025,25,FR,NULL,37,28
Pct 026,26,FR,NULL,71,40
Pct 027,27,FR,NULL,42,33
Pct 028,28,FR,NULL,46,32
Pct 029,29,FR,NULL,56,40
Pct 030,30,FR,NULL,26,32
Pct 031,31,FR,NULL,45,33
Pct 036,36,FR,NULL,174,117
Pct 061,61,FR,NULL,141,87
