Row Label,PrecinctCode,County,Registered Voters,Rick Talbert 
Total,-1,PI,NULL,16028
25-238,25238,PI,NULL,206
25-239,25239,PI,NULL,393
25-241,25241,PI,NULL,210
25-242,25242,PI,NULL,414
25-243,25243,PI,NULL,320
25-244,25244,PI,NULL,455
25-245,25245,PI,NULL,2
25-246,25246,PI,NULL,30
25-247,25247,PI,NULL,364
25-248,25248,PI,NULL,438
25-249,25249,PI,NULL,399
25-252,25252,PI,NULL,348
25-253,25253,PI,NULL,237
25-254,25254,PI,NULL,223
25-255,25255,PI,NULL,240
25-256,25256,PI,NULL,350
25-257,25257,PI,NULL,347
25-258,25258,PI,NULL,399
25-259,25259,PI,NULL,384
25-260,25260,PI,NULL,375
25-261,25261,PI,NULL,268
25-292,25292,PI,NULL,407
25-293,25293,PI,NULL,366
27-444,27444,PI,NULL,320
27-445,27445,PI,NULL,311
27-446,27446,PI,NULL,313
27-447,27447,PI,NULL,351
27-449,27449,PI,NULL,367
27-450,27450,PI,NULL,394
27-451,27451,PI,NULL,301
27-452,27452,PI,NULL,343
27-453,27453,PI,NULL,243
27-454,27454,PI,NULL,379
27-455,27455,PI,NULL,307
27-456,27456,PI,NULL,270
27-457,27457,PI,NULL,327
27-458,27458,PI,NULL,221
27-459,27459,PI,NULL,218
29-612,29612,PI,NULL,166
29-613,29613,PI,NULL,342
29-614,29614,PI,NULL,369
29-615,29615,PI,NULL,373
29-616,29616,PI,NULL,300
29-617,29617,PI,NULL,307
29-618,29618,PI,NULL,259
29-619,29619,PI,NULL,297
29-620,29620,PI,NULL,187
29-621,29621,PI,NULL,1
29-622,29622,PI,NULL,243
29-623,29623,PI,NULL,74
29-625,29625,PI,NULL,7
29-660,29660,PI,NULL,385
29-661,29661,PI,NULL,263
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,298
29-664,29664,PI,NULL,317
