Row Label,PrecinctCode,County,Registered Voters,Jeff Holy,Ziggy Siegfried
Total,-1,SP,NULL,32078,15277
PCT 6000,6000,SP,NULL,280,81
PCT 6001,6001,SP,NULL,330,144
PCT 6002,6002,SP,NULL,104,24
PCT 6003,6003,SP,NULL,443,108
PCT 6004,6004,SP,NULL,239,115
PCT 6005,6005,SP,NULL,304,136
PCT 6006,6006,SP,NULL,338,131
PCT 6007,6007,SP,NULL,303,137
PCT 6008,6008,SP,NULL,276,118
PCT 6009,6009,SP,NULL,247,131
PCT 6010,6010,SP,NULL,54,11
PCT 6011,6011,SP,NULL,306,88
PCT 6012,6012,SP,NULL,232,71
PCT 6013,6013,SP,NULL,252,109
PCT 6014,6014,SP,NULL,189,78
PCT 6015,6015,SP,NULL,187,104
PCT 6016,6016,SP,NULL,235,86
PCT 6017,6017,SP,NULL,585,210
PCT 6018,6018,SP,NULL,498,163
PCT 6019,6019,SP,NULL,435,224
PCT 6020,6020,SP,NULL,454,268
PCT 6021,6021,SP,NULL,325,129
PCT 6022,6022,SP,NULL,371,137
PCT 6023,6023,SP,NULL,227,61
PCT 6024,6024,SP,NULL,232,75
PCT 6025,6025,SP,NULL,256,115
PCT 6026,6026,SP,NULL,500,212
PCT 6027,6027,SP,NULL,351,125
PCT 6028,6028,SP,NULL,283,109
PCT 6029,6029,SP,NULL,357,113
PCT 6030,6030,SP,NULL,515,174
PCT 6031,6031,SP,NULL,259,109
PCT 6032,6032,SP,NULL,270,38
PCT 6033,6033,SP,NULL,570,164
PCT 6034,6034,SP,NULL,432,117
PCT 6035,6035,SP,NULL,237,75
PCT 6036,6036,SP,NULL,233,76
PCT 6037,6037,SP,NULL,221,59
PCT 6100,6100,SP,NULL,178,99
PCT 6101,6101,SP,NULL,283,124
PCT 6102,6102,SP,NULL,279,130
PCT 6103,6103,SP,NULL,91,81
PCT 6104,6104,SP,NULL,177,139
PCT 6105,6105,SP,NULL,222,148
PCT 6106,6106,SP,NULL,330,214
PCT 6107,6107,SP,NULL,209,109
PCT 6108,6108,SP,NULL,190,152
PCT 6109,6109,SP,NULL,163,97
PCT 6200,6200,SP,NULL,354,257
PCT 6201,6201,SP,NULL,288,162
PCT 6202,6202,SP,NULL,277,226
PCT 6203,6203,SP,NULL,263,364
PCT 6204,6204,SP,NULL,341,371
PCT 6205,6205,SP,NULL,284,325
PCT 6206,6206,SP,NULL,328,307
PCT 6207,6207,SP,NULL,459,172
PCT 6208,6208,SP,NULL,344,276
PCT 6209,6209,SP,NULL,234,246
PCT 6210,6210,SP,NULL,384,231
PCT 6211,6211,SP,NULL,233,167
PCT 6212,6212,SP,NULL,180,131
PCT 6213,6213,SP,NULL,388,193
PCT 6214,6214,SP,NULL,280,184
PCT 6215,6215,SP,NULL,323,279
PCT 6216,6216,SP,NULL,321,208
PCT 6217,6217,SP,NULL,347,226
PCT 6218,6218,SP,NULL,364,130
PCT 6219,6219,SP,NULL,405,155
PCT 6220,6220,SP,NULL,448,158
PCT 6221,6221,SP,NULL,478,187
PCT 6222,6222,SP,NULL,372,67
PCT 6223,6223,SP,NULL,449,158
PCT 6224,6224,SP,NULL,307,195
PCT 6225,6225,SP,NULL,385,198
PCT 6300,6300,SP,NULL,565,219
PCT 6301,6301,SP,NULL,573,158
PCT 6302,6302,SP,NULL,257,94
PCT 6303,6303,SP,NULL,501,208
PCT 6304,6304,SP,NULL,459,202
PCT 6305,6305,SP,NULL,253,72
PCT 6306,6306,SP,NULL,381,109
PCT 6307,6307,SP,NULL,214,60
PCT 6308,6308,SP,NULL,219,73
PCT 6309,6309,SP,NULL,366,151
PCT 6310,6310,SP,NULL,282,149
PCT 6311,6311,SP,NULL,296,127
PCT 6312,6312,SP,NULL,293,131
PCT 6313,6313,SP,NULL,313,214
PCT 6314,6314,SP,NULL,308,160
PCT 6315,6315,SP,NULL,194,111
PCT 6316,6316,SP,NULL,160,76
PCT 6317,6317,SP,NULL,264,113
PCT 6318,6318,SP,NULL,321,91
PCT 6400,6400,SP,NULL,251,105
PCT 6401,6401,SP,NULL,137,67
PCT 6402,6402,SP,NULL,301,122
PCT 6500,6500,SP,NULL,84,27
PCT 6600,6600,SP,NULL,288,159
PCT 6601,6601,SP,NULL,318,78
PCT 6602,6602,SP,NULL,323,136
PCT 6700,6700,SP,NULL,279,146
PCT 6701,6701,SP,NULL,254,176
PCT 6702,6702,SP,NULL,180,142
PCT 6703,6703,SP,NULL,264,158
PCT 6704,6704,SP,NULL,292,152
