Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,ST,NULL,10482
ADDY,1,ST,NULL,253
CAMAS,3,ST,NULL,203
CAMAS PRAIRIE,4,ST,NULL,131
COLUMBIA,5,ST,NULL,289
COLVILLE VALLEY,6,ST,NULL,358
DAISY,7,ST,NULL,117
ECHO,8,ST,NULL,244
EVANS,9,ST,NULL,134
HUNTERS,10,ST,NULL,239
KELLY HILL,11,ST,NULL,58
LOON LAKE 1,12,ST,NULL,338
LOON LAKE 2,13,ST,NULL,182
MILL CREEK,14,ST,NULL,110
NARCISSE,15,ST,NULL,251
ONION CREEK,16,ST,NULL,87
RICE,19,ST,NULL,106
ROCK CUT,20,ST,NULL,46
SUMMIT,21,ST,NULL,167
FIRST THOUGHT,22,ST,NULL,31
WELLPINIT,24,ST,NULL,127
WILLIAMS VALLEY,25,ST,NULL,307
TUM TUM 1,26,ST,NULL,162
TUM TUM 2,27,ST,NULL,298
WALKERS PRAIRIE,28,ST,NULL,191
STONE LODGE,29,ST,NULL,252
TUM TUM 3,39,ST,NULL,354
TUM TUM 4,40,ST,NULL,202
TUM TUM 5,41,ST,NULL,249
MEYERS FALLS 1,42,ST,NULL,192
MEYERS FALLS 2,43,ST,NULL,300
QUARTZITE 1,44,ST,NULL,364
QUARTZITE 2,45,ST,NULL,194
VALLEY 1,46,ST,NULL,36
VALLEY 2,47,ST,NULL,149
ARDEN 1,48,ST,NULL,184
ARDEN 2,49,ST,NULL,211
CLAYTON 1,50,ST,NULL,164
CLAYTON 2,51,ST,NULL,274
ORIN 1,52,ST,NULL,160
ORIN 2,53,ST,NULL,180
WAITTS LAKE,54,ST,NULL,253
ECHO VALLEY,55,ST,NULL,144
CHEWELAH 1,101,ST,NULL,198
CHEWELAH 2,102,ST,NULL,93
CHEWELAH 3,103,ST,NULL,150
CHEWELAH FORE,104,ST,NULL,110
COLVILLE 1,105,ST,NULL,103
COLVILLE 2,106,ST,NULL,123
COLVILLE 3,107,ST,NULL,136
COLVILLE 4,108,ST,NULL,269
COLVILLE 5,109,ST,NULL,208
COLVILLE 6,110,ST,NULL,148
COLVILLE 7,111,ST,NULL,138
KETTLE FALLS 1,114,ST,NULL,212
KETTLE FALLS 2,115,ST,NULL,144
MARCUS,116,ST,NULL,39
NORTHPORT,117,ST,NULL,69
SPRINGDALE,118,ST,NULL,51
