Row Label,PrecinctCode,County,Registered Voters,Matt L. Newberg
Total,-1,GA,NULL,1023
GROUSE-VOTE BY MAIL,101,GA,NULL,2
MAYVIEW-VOTE BY MAIL,102,GA,NULL,40
PATAHA,103,GA,NULL,139
PEOLA-VOTE BY MAIL,104,GA,NULL,14
PING - VOTE BY MAIL,105,GA,NULL,18
PLEASANT-VB MAIL,106,GA,NULL,41
SCOGGIN - VB MAIL,109,GA,NULL,92
TUCANNON - VB MAIL,110,GA,NULL,59
WARD 1,201,GA,NULL,95
WARD 2,202,GA,NULL,189
WARD 3,203,GA,NULL,207
WARD 4,204,GA,NULL,127
