Row Label,PrecinctCode,County,Registered Voters,Richard Anderson,Judy Tuohy
Total,-1,SN,NULL,8635,10784
EVERETT  56,22121259,SN,NULL,108,107
EVERETT  57,22121260,SN,NULL,125,119
EVERETT  35,22121400,SN,NULL,134,119
EVERETT  64,22121405,SN,NULL,60,54
EVERETT  65,22121406,SN,NULL,113,110
EVERETT  66,22121407,SN,NULL,116,124
EVERETT  84,22121448,SN,NULL,32,40
EVERETT  91,22121491,SN,NULL,85,94
EVERETT  52,22121615,SN,NULL,106,116
EVERETT  61,22121616,SN,NULL,31,18
EVERETT  79,22121621,SN,NULL,117,103
EVERETT  83(*),22121622,SN,NULL,0,0
EVERETT  92(*),22121624,SN,NULL,0,0
EVERETT  95,22121697,SN,NULL,57,61
EVERETT   1,23821214,SN,NULL,142,225
EVERETT   2,23821215,SN,NULL,125,159
EVERETT   3,23821216,SN,NULL,77,133
EVERETT   4,23821217,SN,NULL,103,160
EVERETT   6,23821218,SN,NULL,90,104
EVERETT   8,23821219,SN,NULL,106,114
EVERETT  11,23821220,SN,NULL,106,214
EVERETT  12,23821221,SN,NULL,86,139
EVERETT  13,23821222,SN,NULL,90,117
EVERETT  14,23821223,SN,NULL,92,146
EVERETT  15,23821224,SN,NULL,87,149
EVERETT  16,23821225,SN,NULL,97,91
EVERETT  17,23821226,SN,NULL,49,92
EVERETT  18,23821227,SN,NULL,126,196
EVERETT  19,23821228,SN,NULL,85,148
EVERETT  20,23821229,SN,NULL,93,142
EVERETT  21,23821230,SN,NULL,132,209
EVERETT  22,23821231,SN,NULL,91,131
EVERETT  24,23821232,SN,NULL,109,164
EVERETT  25,23821233,SN,NULL,81,140
EVERETT  26,23821234,SN,NULL,143,250
EVERETT  27,23821235,SN,NULL,117,154
EVERETT  28,23821236,SN,NULL,90,121
EVERETT  29,23821237,SN,NULL,83,112
EVERETT  31,23821238,SN,NULL,77,105
EVERETT  32,23821239,SN,NULL,121,137
EVERETT  33,23821240,SN,NULL,139,195
EVERETT  34,23821241,SN,NULL,93,79
EVERETT  36,23821242,SN,NULL,75,132
EVERETT  37,23821243,SN,NULL,118,134
EVERETT  38,23821244,SN,NULL,32,36
EVERETT  39,23821245,SN,NULL,129,103
EVERETT  40,23821246,SN,NULL,53,58
EVERETT  41,23821247,SN,NULL,76,125
EVERETT  42,23821248,SN,NULL,90,103
EVERETT  43,23821249,SN,NULL,76,70
EVERETT  44,23821250,SN,NULL,105,71
EVERETT  45,23821251,SN,NULL,93,101
EVERETT  48,23821252,SN,NULL,89,112
EVERETT  49,23821253,SN,NULL,132,171
EVERETT  50,23821254,SN,NULL,97,159
EVERETT  51,23821255,SN,NULL,103,147
EVERETT  53,23821256,SN,NULL,84,183
EVERETT  54,23821257,SN,NULL,112,132
EVERETT  55,23821258,SN,NULL,28,43
EVERETT  67,23821287,SN,NULL,88,140
EVERETT  69,23821288,SN,NULL,89,163
EVERETT  73,23821289,SN,NULL,127,129
EVERETT  76,23821290,SN,NULL,106,110
EVERETT  60,23821346,SN,NULL,115,115
EVERETT   5,23821394,SN,NULL,94,123
EVERETT   7,23821395,SN,NULL,45,67
EVERETT   9,23821396,SN,NULL,165,226
EVERETT  10,23821397,SN,NULL,92,104
EVERETT  23,23821398,SN,NULL,27,25
EVERETT  30,23821399,SN,NULL,142,157
EVERETT  46,23821401,SN,NULL,88,104
EVERETT  47,23821402,SN,NULL,117,129
EVERETT  58,23821403,SN,NULL,16,14
EVERETT  59,23821404,SN,NULL,105,90
EVERETT  68,23821408,SN,NULL,164,163
EVERETT  70(*),23821409,SN,NULL,0,0
EVERETT  71,23821410,SN,NULL,71,63
EVERETT  72,23821411,SN,NULL,75,59
EVERETT  74,23821412,SN,NULL,80,70
EVERETT  80,23821413,SN,NULL,124,165
EVERETT  81,23821414,SN,NULL,54,77
EVERETT  85,23821449,SN,NULL,97,91
EVERETT  87,23821450,SN,NULL,80,81
EVERETT  88,23821451,SN,NULL,117,149
EVERETT  89,23821452,SN,NULL,95,96
EVERETT  90,23821453,SN,NULL,32,43
EVERETT  62,23821617,SN,NULL,86,88
EVERETT  63,23821618,SN,NULL,85,102
EVERETT  75,23821619,SN,NULL,73,96
EVERETT  78,23821620,SN,NULL,55,67
EVERETT  86,23821623,SN,NULL,103,116
EVERETT  77,23821645,SN,NULL,78,135
EVERETT  82,23821662,SN,NULL,75,114
EVERETT  93,23821695,SN,NULL,71,83
EVERETT  94,23821696,SN,NULL,77,67
