Row Label,PrecinctCode,County,Registered Voters,Dean Takko,David A. Steenson
Total,-1,CZ,NULL,12561,6210
Alabama,1,CZ,NULL,162,110
Ammons,2,CZ,NULL,230,115
Arkansas,3,CZ,NULL,119,93
Bakers,4,CZ,NULL,13,9
Baltimore,5,CZ,NULL,310,124
Beacon,6,CZ,NULL,395,239
Boondox,7,CZ,NULL,7,11
Burcham,9,CZ,NULL,527,226
Coal Creek,15,CZ,NULL,403,260
Columbia Heights,16,CZ,NULL,185,98
Columbia Valley Gdns,17,CZ,NULL,222,120
Crawford,18,CZ,NULL,281,146
Delameter,19,CZ,NULL,262,140
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Haussler,23,CZ,NULL,194,124
Hillcrest,24,CZ,NULL,552,224
Hudson,25,CZ,NULL,341,152
Industrial,26,CZ,NULL,0,0
Kessler,29,CZ,NULL,399,170
Lake,30,CZ,NULL,282,125
Laurel,31,CZ,NULL,412,179
Lexington,33,CZ,NULL,249,140
Lone Oak,34,CZ,NULL,196,100
Magnolia,35,CZ,NULL,528,200
Marigold,36,CZ,NULL,411,172
McGowan,37,CZ,NULL,63,37
Memorial,38,CZ,NULL,183,99
Mill,39,CZ,NULL,349,187
Mint Valley,40,CZ,NULL,520,152
Mt. Solo,42,CZ,NULL,87,52
Nevada,43,CZ,NULL,278,129
Ocean Beach,44,CZ,NULL,296,160
Olson,45,CZ,NULL,200,116
Pacific,48,CZ,NULL,323,169
Ponderosa,49,CZ,NULL,253,158
Redpath,51,CZ,NULL,235,111
Ridgecrest,52,CZ,NULL,21,15
Robbins,53,CZ,NULL,405,203
Ryderwood,55,CZ,NULL,112,96
Sacajawea,56,CZ,NULL,656,188
Sandy Bend,57,CZ,NULL,281,175
Sparks,59,CZ,NULL,166,118
St. Helens,60,CZ,NULL,157,60
Stella,61,CZ,NULL,269,182
View,65,CZ,NULL,213,108
West Kelso,66,CZ,NULL,65,48
Willow Grove,67,CZ,NULL,95,48
Windemere,68,CZ,NULL,443,216
