Row Label,PrecinctCode,County,Registered Voters,Audrey McLean
Total,-1,CU,NULL,1559
ALTO,1,CU,NULL,56
COLUMBIA,2,CU,NULL,222
PING,3,CU,NULL,159
STAR,4,CU,NULL,91
STARBUCK COUNTRY,5,CU,NULL,18
TUCANNON,6,CU,NULL,57
BROOKLYN,101,CU,NULL,160
DAYTON,102,CU,NULL,180
MUSTARD,103,CU,NULL,151
PATIT,104,CU,NULL,137
RAINWATER,105,CU,NULL,123
STARBUCK CITY,106,CU,NULL,61
TOUCHET,107,CU,NULL,144
