Row Label,PrecinctCode,County,Registered Voters,Sherry V. Appleton,Scott Henden
Total,-1,KP,NULL,27801,19716
BREMERTON 040,100040,KP,NULL,269,144
BREMERTON 041,100041,KP,NULL,224,132
BREMERTON 046,100046,KP,NULL,256,170
BREMERTON 052,100052,KP,NULL,168,134
BREMERTON 053,100053,KP,NULL,320,240
BREMERTON 054,100054,KP,NULL,151,96
BREMERTON 056,100056,KP,NULL,217,157
BREMERTON 058,100058,KP,NULL,271,178
ILLAHEE 065,100065,KP,NULL,281,267
SYLVAN 066,100066,KP,NULL,291,173
RAINIER 067,100067,KP,NULL,275,253
PERRY 073,100073,KP,NULL,156,132
OLYMPIC 099,100099,KP,NULL,35,25
TRIDENT 101,100101,KP,NULL,31,74
FRONTIER 102,100102,KP,NULL,232,338
OLYMPIC VIEW 103,100103,KP,NULL,177,216
BROWNSVILLE 105,100105,KP,NULL,315,347
OLD FRONTIER 106,100106,KP,NULL,227,350
CLEAR CREEK 120,100120,KP,NULL,197,254
BUCKLIN 121,100121,KP,NULL,262,268
LUOTO 122,100122,KP,NULL,101,169
COTTONWOOD 125,100125,KP,NULL,228,200
FOREST RIDGE 126,100126,KP,NULL,141,154
WOODMERE 127,100127,KP,NULL,264,304
CENTRAL VALLEY 128,100128,KP,NULL,258,269
WINSTON 129,100129,KP,NULL,114,106
REGAL 131,100131,KP,NULL,63,68
FAIRVIEW 135,100135,KP,NULL,118,179
FIRGLADE 137,100137,KP,NULL,143,176
TIBARDIS 139,100139,KP,NULL,101,117
GILBERTON 140,100140,KP,NULL,199,207
RIDGEPOINT 141,100141,KP,NULL,171,195
UNIVERSITY POINT 142,100142,KP,NULL,168,167
KARIOTIS 143,100143,KP,NULL,256,228
CAMBRIDGE 144,100144,KP,NULL,140,177
SPINNAKER 146,100146,KP,NULL,176,155
BARKER CREEK 147,100147,KP,NULL,284,283
SANTA FE 148,100148,KP,NULL,187,217
RIDGETOP 149,100149,KP,NULL,166,191
MEADOWDALE 150,100150,KP,NULL,166,208
BREMERTON 159,100159,KP,NULL,139,129
SILVERDALE 160,100160,KP,NULL,260,254
MORKEN 161,100161,KP,NULL,300,368
SUTTON 165,100165,KP,NULL,148,165
TRACYTON 170,100170,KP,NULL,185,170
VENA 173,100173,KP,NULL,228,196
FUSON 175,100175,KP,NULL,200,236
BLUE HERON 301,100301,KP,NULL,632,124
AZALEA 302,100302,KP,NULL,498,115
WINSLOW 304,100304,KP,NULL,708,158
WING POINT 305,100305,KP,NULL,309,129
BLAKELY 310,100310,KP,NULL,382,98
CRYSTAL SPRINGS 312,100312,KP,NULL,567,160
FINCH 314,100314,KP,NULL,314,100
FERNCLIFF 315,100315,KP,NULL,558,159
EAGLE HARBOR 317,100317,KP,NULL,314,81
FORT WARD 318,100318,KP,NULL,424,126
ISLAND CENTER 320,100320,KP,NULL,368,110
MEADOWMEER 321,100321,KP,NULL,182,55
NEW BROOKLYN 322,100322,KP,NULL,283,62
LIBERTY 325,100325,KP,NULL,374,99
SKIFF POINT 328,100328,KP,NULL,361,88
ROLLING BAY 330,100330,KP,NULL,413,127
LOVGREN 332,100332,KP,NULL,228,90
TOLO 333,100333,KP,NULL,353,120
SEABOLD 335,100335,KP,NULL,453,164
MANZANITA 336,100336,KP,NULL,305,77
PORT MADISON 340,100340,KP,NULL,311,101
TORVANGER 345,100345,KP,NULL,499,158
POULSBO 401,100401,KP,NULL,336,306
POULSBO 403,100403,KP,NULL,261,201
POULSBO 404,100404,KP,NULL,333,246
POULSBO 405,100405,KP,NULL,337,196
POULSBO 406,100406,KP,NULL,356,283
POULSBO 407,100407,KP,NULL,232,202
BREIDABLIK 410,100410,KP,NULL,271,240
VINLAND 412,100412,KP,NULL,304,295
BELLA VISTA 413,100413,KP,NULL,217,214
HANSVILLE 415,100415,KP,NULL,176,183
POINT NO POINT 416,100416,KP,NULL,459,334
TWIN SPITS 417,100417,KP,NULL,357,247
S&#39;KLALLAM 418,100418,KP,NULL,41,2
POINT JEFFERSON 419,100419,KP,NULL,245,183
INDIANOLA 420,100420,KP,NULL,497,167
ORCA 421,100421,KP,NULL,212,162
APPLE TREE 422,100422,KP,NULL,331,236
HIGHLAND 423,100423,KP,NULL,155,155
KEYPORT 425,100425,KP,NULL,270,335
EVERGREEN RIDGE 426,100426,KP,NULL,98,100
ISLAND LAKE 427,100427,KP,NULL,215,243
KINGSTON 430,100430,KP,NULL,422,331
LEMOLO 435,100435,KP,NULL,219,217
LINCOLN 440,100440,KP,NULL,215,241
BIG VALLEY 441,100441,KP,NULL,191,198
LOFALL 442,100442,KP,NULL,373,346
PEARSON 445,100445,KP,NULL,310,374
PORT GAMBLE 450,100450,KP,NULL,269,243
STRIEBEL 453,100453,KP,NULL,282,257
GAMBLEWOOD 454,100454,KP,NULL,173,172
SCANDIA 455,100455,KP,NULL,226,302
MILLER BAY 458,100458,KP,NULL,345,288
SUQUAMISH 460,100460,KP,NULL,282,104
AUGUSTA 461,100461,KP,NULL,204,92
TOTTEN 463,100463,KP,NULL,267,141
SANDY HOOK 464,100464,KP,NULL,225,143
