Row Label,PrecinctCode,County,Registered Voters,Kevin M. Korsmo
Total,-1,LI,NULL,2896
ALMIRA RURAL,1,LI,NULL,20
BLUESTEM,2,LI,NULL,8
CANBY,3,LI,NULL,24
CRESTON RURAL,4,LI,NULL,32
WHEATLAND,5,LI,NULL,57
DAVENPORT RURAL,6,LI,NULL,56
DOWNS,7,LI,NULL,15
EARL,8,LI,NULL,23
EDWALL,9,LI,NULL,42
EGYPT,10,LI,NULL,80
ENOS,11,LI,NULL,7
GOVAN,12,LI,NULL,19
GRAND COULEE,13,LI,NULL,19
GRAVELLE,14,LI,NULL,31
HARR RURAL,15,LI,NULL,34
HAWK CREEK,16,LI,NULL,53
IRBY,17,LI,NULL,16
KELLER,18,LI,NULL,47
LAKEVIEW,19,LI,NULL,78
LAMONA,20,LI,NULL,22
EAST LARENE,21,LI,NULL,54
WEST LARENE,22,LI,NULL,28
LAYTON,23,LI,NULL,11
LONG LAKE,24,LI,NULL,46
MOHLER,25,LI,NULL,30
MONDOVI,26,LI,NULL,49
ODESSA RURAL,27,LI,NULL,54
PEACH,28,LI,NULL,88
N REARDAN RURAL,29,LI,NULL,31
S REARDAN RURAL,30,LI,NULL,29
RIVERVIEW,31,LI,NULL,106
SEVEN BAYS,32,LI,NULL,39
SHERMAN,33,LI,NULL,41
SPRAGUE RURAL,34,LI,NULL,74
SPRING CREEK,35,LI,NULL,60
WILBUR RURAL,36,LI,NULL,60
WAUKON,37,LI,NULL,37
WILSON CREEK,38,LI,NULL,22
ALMIRA IN,39,LI,NULL,75
CRESTON IN,40,LI,NULL,58
DAVENPORT IN,41,LI,NULL,385
HARRINGTON IN,42,LI,NULL,97
ODESSA IN,43,LI,NULL,248
REARDAN IN,44,LI,NULL,160
SPRAGUE IN,45,LI,NULL,81
WILBUR IN,46,LI,NULL,250
