Row Label,PrecinctCode,County,Registered Voters,Joe Schmick
Total,-1,WT,NULL,7731
TEKOA IN,31,WT,NULL,190
OAKESDALE IN,32,WT,NULL,156
FARMINGTON IN,33,WT,NULL,56
GARFIELD IN,34,WT,NULL,173
COLTON IN,35,WT,NULL,164
UNIONTOWN IN,36,WT,NULL,89
ALBION IN,37,WT,NULL,129
LACROSSE IN,42,WT,NULL,116
ENDICOTT IN,43,WT,NULL,106
LAMONT IN,44,WT,NULL,21
ST JOHN IN,45,WT,NULL,182
MALDEN IN,46,WT,NULL,46
ROSALIA IN,47,WT,NULL,184
TEKOA 101,101,WT,NULL,55
OAKESDALE 102,102,WT,NULL,88
FARMINGTON 103,103,WT,NULL,30
STEPTOE 104,104,WT,NULL,95
GARFIELD 105,105,WT,NULL,83
PALOUSE RURAL 106,106,WT,NULL,156
PALOUSE 107,107,WT,NULL,243
COLTON 108,108,WT,NULL,88
UNIONTOWN 109,109,WT,NULL,60
PULLMAN RURAL 110,110,WT,NULL,322
PULLMAN RURAL 111,111,WT,NULL,92
ALBION 112,112,WT,NULL,93
PULLMAN CITY 113,113,WT,NULL,109
PULLMAN CITY 114,114,WT,NULL,17
PULLMAN CITY 115,115,WT,NULL,7
PULLMAN CITY 116,116,WT,NULL,318
PULLMAN CITY 117,117,WT,NULL,122
PULLMAN CITY 118,118,WT,NULL,222
PULLMAN CITY 119,119,WT,NULL,148
PULLMAN CITY 120,120,WT,NULL,434
PULLMAN CITY 121,121,WT,NULL,120
PULLMAN CITY 122,122,WT,NULL,78
PULLMAN CITY 123,123,WT,NULL,163
PULLMAN CITY 124,124,WT,NULL,19
PULLMAN CITY 125,125,WT,NULL,14
PULLMAN CITY 126,126,WT,NULL,16
PULLMAN CITY 127,127,WT,NULL,22
PULLMAN CITY 128,128,WT,NULL,50
PULLMAN CITY 129,129,WT,NULL,51
PULLMAN CITY 130,130,WT,NULL,39
PULLMAN CITY 131,131,WT,NULL,4
PULLMAN CITY 132,132,WT,NULL,0
PULLMAN CITY 133,133,WT,NULL,0
PULLMAN CITY 134,134,WT,NULL,16
PULLMAN CITY 135,135,WT,NULL,134
COLFAX RURAL 136,136,WT,NULL,135
COLFAX RURAL 137,137,WT,NULL,243
WILCOX 138,138,WT,NULL,126
COLFAX CITY 139,139,WT,NULL,216
COLFAX CITY 140,140,WT,NULL,196
COLFAX CITY 141,141,WT,NULL,167
COLFAX CITY 142,142,WT,NULL,308
DUSTY 143,143,WT,NULL,53
HAY 144,144,WT,NULL,22
HOOPER 145,145,WT,NULL,16
LACROSSE 146,146,WT,NULL,76
ENDICOTT 147,147,WT,NULL,101
LAMONT 148,148,WT,NULL,40
ST JOHN 149,149,WT,NULL,194
MALDEN 150,150,WT,NULL,8
ROSALIA 151,151,WT,NULL,69
THORNTON 152,152,WT,NULL,49
PULLMAN 218,218,WT,NULL,250
PULLMAN 228,228,WT,NULL,15
PULLMAN 234,234,WT,NULL,54
PULLMAN 235,235,WT,NULL,273
