Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,CM,NULL,13317,14866
PORT ANGELES 101,101,CM,NULL,182,186
PORT ANGELES 102,102,CM,NULL,339,256
PORT ANGELES 103,103,CM,NULL,312,335
PORT ANGELES 104,104,CM,NULL,246,184
PORT ANGELES 105,105,CM,NULL,299,271
PORT ANGELES 106,106,CM,NULL,244,231
PORT ANGELES 107,107,CM,NULL,362,283
PORT ANGELES 108,108,CM,NULL,188,120
PORT ANGELES 109,109,CM,NULL,385,352
PORT ANGELES 110,110,CM,NULL,85,60
PORT ANGELES 111,111,CM,NULL,367,303
PORT ANGELES 112,112,CM,NULL,176,189
PORT ANGELES 113,113,CM,NULL,177,212
AGNEW 201,201,CM,NULL,182,250
BEAVER 204,204,CM,NULL,155,210
BELLEVIEW 205,205,CM,NULL,254,273
BELL HILL 207,207,CM,NULL,198,338
BLACK DIAMOND 208,208,CM,NULL,119,207
BLUE MOUNTAIN 209,209,CM,NULL,222,325
BLUFFS 210,210,CM,NULL,120,184
BLYN 211,211,CM,NULL,208,249
BOGACHIEL 212,212,CM,NULL,72,108
CARLSBORG 214,214,CM,NULL,193,201
CLALLAM BAY 215,215,CM,NULL,124,139
CLARK 216,216,CM,NULL,106,85
CLINE 217,217,CM,NULL,263,274
COYOTE 218,218,CM,NULL,261,311
DEER PARK 220,220,CM,NULL,256,314
DIAMOND POINT 221,221,CM,NULL,218,306
DUNGENESS EAST 222,222,CM,NULL,281,357
DUNGENESS WEST 223,223,CM,NULL,123,166
DRY CREEK 224,224,CM,NULL,226,220
EAGLE 226,226,CM,NULL,197,215
ELK 229,229,CM,NULL,73,58
ELWHA 230,230,CM,NULL,74,92
FAIRVIEW 232,232,CM,NULL,254,308
FRESHWATER BAY 233,233,CM,NULL,330,367
HAPPY VALLEY 237,237,CM,NULL,126,171
JAMESTOWN 240,240,CM,NULL,166,183
JOYCE 241,241,CM,NULL,268,351
LOST MOUNTAIN 245,245,CM,NULL,129,209
MILLER PENINSULA 246,246,CM,NULL,151,147
MACLEAY 247,247,CM,NULL,232,292
MADISON CREEK 248,248,CM,NULL,84,114
MONTERRA 249,249,CM,NULL,223,291
MOUNT ANGELES 250,250,CM,NULL,172,163
MOUNT PLEASANT 251,251,CM,NULL,232,238
NEAH BAY 252,252,CM,NULL,162,52
OBRIEN 253,253,CM,NULL,184,256
OLYMPIC 254,254,CM,NULL,161,224
PORT WILLIAMS 258,258,CM,NULL,144,160
PRAIRIE NORTH 259,259,CM,NULL,197,283
PRAIRIE SOUTH 260,260,CM,NULL,243,257
QUILEUTE 262,262,CM,NULL,79,90
RIVERSIDE 265,265,CM,NULL,237,261
ROBIN HILL 266,266,CM,NULL,187,225
SUN 269,269,CM,NULL,71,91
SUNLAND NORTH 270,270,CM,NULL,248,324
SUNLAND SOUTH 271,271,CM,NULL,145,213
FORKS 301,301,CM,NULL,130,141
FORKS 302,302,CM,NULL,182,219
SEQUIM 401,401,CM,NULL,148,134
SEQUIM 402,402,CM,NULL,158,121
SEQUIM 403,403,CM,NULL,267,255
SEQUIM 404,404,CM,NULL,331,381
SEQUIM 405,405,CM,NULL,182,251
SEQUIM 406,406,CM,NULL,207,230
