Row Label,PrecinctCode,County,Registered Voters,Scott D. Gallina
Total,-1,GA,NULL,846
GROUSE-VOTE BY MAIL,101,GA,NULL,0
MAYVIEW-VOTE BY MAIL,102,GA,NULL,30
PATAHA,103,GA,NULL,115
PEOLA-VOTE BY MAIL,104,GA,NULL,7
PING - VOTE BY MAIL,105,GA,NULL,15
PLEASANT-VB MAIL,106,GA,NULL,34
SCOGGIN - VB MAIL,109,GA,NULL,79
TUCANNON - VB MAIL,110,GA,NULL,48
WARD 1,201,GA,NULL,85
WARD 2,202,GA,NULL,146
WARD 3,203,GA,NULL,171
WARD 4,204,GA,NULL,116
