Row Label,PrecinctCode,County,Registered Voters,Anthony E. Howard,Remy Stephanson Leonard
Total,-1,SN,NULL,25018,17975
SUNNYSIDE,14414044,SN,NULL,46,32
WELANGDON,14454018,SN,NULL,15,4
WOODRIDGE,14454339,SN,NULL,181,153
SUNRISE,14454364,SN,NULL,107,124
HAVEN,14454531,SN,NULL,155,130
MUKILTEO  1,22121192,SN,NULL,197,146
MUKILTEO  2,22121193,SN,NULL,233,152
MUKILTEO  3,22121194,SN,NULL,146,78
EVERETT  56,22121259,SN,NULL,129,82
EVERETT  57,22121260,SN,NULL,136,97
MUKILTEO  4,22121262,SN,NULL,120,79
MUKILTEO  5,22121263,SN,NULL,221,142
MUKILTEO  7,22121306,SN,NULL,151,71
MUKILTEO  8,22121307,SN,NULL,124,79
MUKILTEO  9,22121355,SN,NULL,159,93
MUKILTEO 11,22121378,SN,NULL,151,89
MUKILTEO 12,22121379,SN,NULL,237,134
MUKILTEO 13,22121380,SN,NULL,140,116
MUKILTEO 14,22121381,SN,NULL,209,116
MUKILTEO 16,22121382,SN,NULL,229,119
MUKILTEO 18,22121383,SN,NULL,224,112
EVERETT  35,22121400,SN,NULL,134,117
EVERETT  64,22121405,SN,NULL,72,44
EVERETT  65,22121406,SN,NULL,118,103
EVERETT  66,22121407,SN,NULL,138,93
EVERETT  84,22121448,SN,NULL,37,28
MUKILTEO 19,22121474,SN,NULL,127,88
MUKILTEO 20,22121475,SN,NULL,192,111
EVERETT  91,22121491,SN,NULL,96,78
EVERETT  52,22121615,SN,NULL,120,97
EVERETT  61,22121616,SN,NULL,23,26
EVERETT  79,22121621,SN,NULL,123,92
EVERETT  83,22121622,SN,NULL,111,92
EVERETT  92(*),22121624,SN,NULL,0,0
MUKILTEO  6,22121631,SN,NULL,149,121
MUKILTEO 15,22121632,SN,NULL,50,42
MUKILTEO 17,22121633,SN,NULL,208,146
MUKILTEO 10,22121655,SN,NULL,116,74
EVERETT  95,22121697,SN,NULL,80,32
MUKILTEO 21,22121704,SN,NULL,102,57
HIWAY,22124068,SN,NULL,14,14
LIND,22124185,SN,NULL,156,97
STOCK SHOW,22124486,SN,NULL,72,52
OLIVIA,22124589,SN,NULL,18,15
HAMPTON,22134456,SN,NULL,164,103
MARYSVILLE  1,23811047,SN,NULL,95,70
MARYSVILLE  2,23811048,SN,NULL,63,46
MARYSVILLE  4,23811128,SN,NULL,113,83
MARYSVILLE  6,23811129,SN,NULL,123,69
MARYSVILLE  3,23811261,SN,NULL,164,116
MARYSVILLE  9,23811299,SN,NULL,73,43
MARYSVILLE 11,23811342,SN,NULL,196,131
MARYSVILLE  7,23811350,SN,NULL,94,72
MARYSVILLE  8,23811351,SN,NULL,156,76
MARYSVILLE 10,23811429,SN,NULL,107,76
MARYSVILLE 13,23811430,SN,NULL,112,80
MARYSVILLE 15,23811465,SN,NULL,150,98
MARYSVILLE 17,23811467,SN,NULL,138,94
MARYSVILLE 20,23811504,SN,NULL,151,95
MARYSVILLE 26,23811544,SN,NULL,177,100
MARYSVILLE 27,23811571,SN,NULL,203,114
MARYSVILLE 28,23811572,SN,NULL,112,40
MARYSVILLE 25,23811650,SN,NULL,89,53
MARYSVILLE 29,23811651,SN,NULL,80,62
MARYSVILLE 32,23811679,SN,NULL,113,62
MARYSVILLE 35,23811728,SN,NULL,163,88
MARYSVILLE 36,23811729,SN,NULL,115,69
MARYSVILLE 37,23811730,SN,NULL,104,65
MARYSVILLE 38,23811731,SN,NULL,120,69
MARYSVILLE 39,23811732,SN,NULL,139,77
MARYSVILLE 40,23811733,SN,NULL,121,80
MARYSVILLE 41,23811734,SN,NULL,102,74
MARYSVILLE 42,23811735,SN,NULL,113,97
MARYSVILLE 43,23811736,SN,NULL,156,87
MARYSVILLE 46,23811739,SN,NULL,216,122
MARYSVILLE 47,23811740,SN,NULL,149,93
MARYSVILLE 48,23811741,SN,NULL,115,82
MARYSVILLE 49,23811742,SN,NULL,126,75
MARYSVILLE 50,23811743,SN,NULL,146,107
MARYSVILLE 51,23811744,SN,NULL,62,42
EVERETT   1,23821214,SN,NULL,160,175
EVERETT   2,23821215,SN,NULL,132,120
EVERETT   3,23821216,SN,NULL,122,75
EVERETT   4,23821217,SN,NULL,131,120
EVERETT   6,23821218,SN,NULL,100,78
EVERETT   8,23821219,SN,NULL,112,93
EVERETT  11,23821220,SN,NULL,163,139
EVERETT  12,23821221,SN,NULL,110,103
EVERETT  13,23821222,SN,NULL,112,84
EVERETT  14,23821223,SN,NULL,124,102
EVERETT  15,23821224,SN,NULL,121,105
EVERETT  16,23821225,SN,NULL,96,85
EVERETT  17,23821226,SN,NULL,79,57
EVERETT  18,23821227,SN,NULL,168,144
EVERETT  19,23821228,SN,NULL,117,99
EVERETT  20,23821229,SN,NULL,126,101
EVERETT  21,23821230,SN,NULL,170,157
EVERETT  22,23821231,SN,NULL,121,83
EVERETT  24,23821232,SN,NULL,128,132
EVERETT  25,23821233,SN,NULL,98,108
EVERETT  26,23821234,SN,NULL,191,177
EVERETT  27,23821235,SN,NULL,143,119
EVERETT  28,23821236,SN,NULL,115,83
EVERETT  29,23821237,SN,NULL,87,100
EVERETT  31,23821238,SN,NULL,103,72
EVERETT  32,23821239,SN,NULL,142,101
EVERETT  33,23821240,SN,NULL,181,146
EVERETT  34,23821241,SN,NULL,111,60
EVERETT  36,23821242,SN,NULL,123,74
EVERETT  37,23821243,SN,NULL,134,107
EVERETT  38,23821244,SN,NULL,27,37
EVERETT  39,23821245,SN,NULL,131,94
EVERETT  40,23821246,SN,NULL,53,60
EVERETT  41,23821247,SN,NULL,117,77
EVERETT  42,23821248,SN,NULL,97,89
EVERETT  43,23821249,SN,NULL,79,61
EVERETT  44,23821250,SN,NULL,86,78
EVERETT  45,23821251,SN,NULL,102,83
EVERETT  48,23821252,SN,NULL,120,73
EVERETT  49,23821253,SN,NULL,172,127
EVERETT  50,23821254,SN,NULL,127,118
EVERETT  51,23821255,SN,NULL,141,93
EVERETT  53,23821256,SN,NULL,136,119
EVERETT  54,23821257,SN,NULL,121,114
EVERETT  55,23821258,SN,NULL,37,28
EVERETT  67,23821287,SN,NULL,110,107
EVERETT  69,23821288,SN,NULL,116,118
EVERETT  73,23821289,SN,NULL,133,114
EVERETT  76,23821290,SN,NULL,119,87
TULALIP 1,23821327,SN,NULL,150,111
TULALIP 2,23821328,SN,NULL,129,96
EVERETT  60,23821346,SN,NULL,142,86
TULALIP 3,23821365,SN,NULL,156,91
EVERETT   5,23821394,SN,NULL,127,85
EVERETT   7,23821395,SN,NULL,66,44
