Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,KI,NULL,49273,36439
Total,-1,KI,NULL,49273,36439
BREMERTON 001,100001,KP,NULL,174,79
BREMERTON 002,100002,KP,NULL,118,92
BREMERTON 003,100003,KP,NULL,225,189
BREMERTON 005,100005,KP,NULL,181,110
BREMERTON 006,100006,KP,NULL,180,108
BREMERTON 007,100007,KP,NULL,8,2
BREMERTON 012,100012,KP,NULL,66,45
BREMERTON 013,100013,KP,NULL,216,175
BREMERTON 015,100015,KP,NULL,238,232
BREMERTON 016,100016,KP,NULL,75,35
BREMERTON 022,100022,KP,NULL,198,141
BREMERTON 029,100029,KP,NULL,240,167
BREMERTON 030,100030,KP,NULL,243,170
BREMERTON 031,100031,KP,NULL,153,76
BREMERTON 032,100032,KP,NULL,49,16
BREMERTON 037,100037,KP,NULL,315,291
BREMERTON 040,100040,KP,NULL,289,146
BREMERTON 041,100041,KP,NULL,244,130
BREMERTON 046,100046,KP,NULL,266,188
BREMERTON 051,100051,KP,NULL,23,23
BREMERTON 052,100052,KP,NULL,193,119
BREMERTON 053,100053,KP,NULL,337,252
BREMERTON 054,100054,KP,NULL,162,92
BREMERTON 056,100056,KP,NULL,228,162
BREMERTON 058,100058,KP,NULL,302,163
ILLAHEE 065,100065,KP,NULL,313,261
SYLVAN 066,100066,KP,NULL,263,222
RAINIER 067,100067,KP,NULL,280,277
PERRY 073,100073,KP,NULL,163,133
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,345,285
RIDGEWAY 084,100084,KP,NULL,57,79
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,62,74
BREMERTON 088,100088,KP,NULL,41,38
MARION 090,100090,KP,NULL,51,38
NAVY YARD CITY 095,100095,KP,NULL,256,202
OLYMPIC 099,100099,KP,NULL,35,25
TRIDENT 101,100101,KP,NULL,71,42
FRONTIER 102,100102,KP,NULL,275,321
OLYMPIC VIEW 103,100103,KP,NULL,238,167
BROWNSVILLE 105,100105,KP,NULL,322,359
OLD FRONTIER 106,100106,KP,NULL,255,338
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,28,14
CHARLAND 110,100110,KP,NULL,157,236
ALPINE 111,100111,KP,NULL,218,207
HERITAGE PARK 112,100112,KP,NULL,183,199
COUNTRY CLUB 113,100113,KP,NULL,153,140
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,238,220
BUCKLIN 121,100121,KP,NULL,322,221
LUOTO 122,100122,KP,NULL,110,175
COTTONWOOD 125,100125,KP,NULL,235,197
FOREST RIDGE 126,100126,KP,NULL,142,162
WOODMERE 127,100127,KP,NULL,292,285
CENTRAL VALLEY 128,100128,KP,NULL,306,240
WINSTON 129,100129,KP,NULL,129,92
ERLANDS POINT 130,100130,KP,NULL,173,191
REGAL 131,100131,KP,NULL,70,63
FAIRVIEW 135,100135,KP,NULL,159,151
FIRGLADE 137,100137,KP,NULL,171,152
TIBARDIS 139,100139,KP,NULL,123,113
GILBERTON 140,100140,KP,NULL,231,205
RIDGEPOINT 141,100141,KP,NULL,220,157
UNIVERSITY POINT 142,100142,KP,NULL,217,132
KARIOTIS 143,100143,KP,NULL,259,237
CAMBRIDGE 144,100144,KP,NULL,168,159
SPINNAKER 146,100146,KP,NULL,210,128
BARKER CREEK 147,100147,KP,NULL,313,274
SANTA FE 148,100148,KP,NULL,254,171
RIDGETOP 149,100149,KP,NULL,225,151
MEADOWDALE 150,100150,KP,NULL,180,212
SYMINGTON 151,100151,KP,NULL,115,172
PIONEER 152,100152,KP,NULL,307,331
LARSON 153,100153,KP,NULL,266,362
SEABECK 155,100155,KP,NULL,287,454
LOST HIGHWAY 157,100157,KP,NULL,207,332
HOLLY 158,100158,KP,NULL,68,75
BREMERTON 159,100159,KP,NULL,176,100
SILVERDALE 160,100160,KP,NULL,313,220
MORKEN 161,100161,KP,NULL,377,314
APEX 162,100162,KP,NULL,300,317
ANDERSON CREEK 163,100163,KP,NULL,237,204
EAGLE CREST 164,100164,KP,NULL,357,246
SUTTON 165,100165,KP,NULL,182,142
TRACYTON 170,100170,KP,NULL,210,152
VENA 173,100173,KP,NULL,252,181
FUSON 175,100175,KP,NULL,246,209
PORT ORCHARD 200,100200,KP,NULL,119,118
PORT ORCHARD 201,100201,KP,NULL,226,207
PORT ORCHARD 202,100202,KP,NULL,278,272
PORT ORCHARD 203,100203,KP,NULL,144,112
PORT ORCHARD 204,100204,KP,NULL,245,180
PORT ORCHARD 205,100205,KP,NULL,620,399
PORT ORCHARD 206,100206,KP,NULL,0,0
