Row Label,PrecinctCode,County,Registered Voters,Karen Herr
Total,-1,MA,NULL,14578
PICKERING,113,MA,NULL,389
HARSTINE,114,MA,NULL,557
GRAPEVIEW,115,MA,NULL,495
MASON LAKE,116,MA,NULL,348
FAIR HARBOR,117,MA,NULL,296
ALLYN,118,MA,NULL,706
VICTOR,119,MA,NULL,273
BELFAIR,120,MA,NULL,362
TIGER LAKE,121,MA,NULL,220
DEWATTO,122,MA,NULL,443
TAHUYA,123,MA,NULL,408
SAND HILL,124,MA,NULL,448
TRAIL&#39;S END,125,MA,NULL,427
TWANOH,126,MA,NULL,274
BORDEAUX,205,MA,NULL,70
KAMILCHE POINT,207,MA,NULL,227
UNION,227,MA,NULL,637
SKOKOMISH,228,MA,NULL,95
HOOD CANAL,229,MA,NULL,450
CUSHMAN,230,MA,NULL,490
EELLS,231,MA,NULL,139
MATLOCK,232,MA,NULL,364
DAYTON,233,MA,NULL,320
KAMILCHE,234,MA,NULL,179
ISABELLA,235,MA,NULL,239
AIRPORT,236,MA,NULL,532
JOHN&#39;S PRAIRIE,237,MA,NULL,311
LIMERICK,238,MA,NULL,583
OLYMPIC VIEW,301,MA,NULL,504
DOWNTOWN,302,MA,NULL,339
ANGLESIDE,303,MA,NULL,430
HILLCREST,304,MA,NULL,299
FAWN LAKE,306,MA,NULL,498
ARCADIA,308,MA,NULL,477
MILL CREEK,309,MA,NULL,518
AGATE,310,MA,NULL,400
OAKLAND BAY,311,MA,NULL,324
TIMBERLAKE,312,MA,NULL,495
CALLANAN,339,MA,NULL,12
