Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,GY,NULL,10252,9986
Taholah 002,2,GY,NULL,145,28
Quinault 004,4,GY,NULL,82,79
Neilton 006,6,GY,NULL,40,43
Pacific Beach 008,8,GY,NULL,98,116
Moclips 010,10,GY,NULL,12,9
Ocean City 012,12,GY,NULL,150,124
Burrows 014,14,GY,NULL,13,21
Wilderness 016,16,GY,NULL,53,57
Humptulips 018,18,GY,NULL,24,30
Axford 020,20,GY,NULL,57,61
Dekay 022,22,GY,NULL,40,42
Hoquiam Rural 024,24,GY,NULL,151,161
Stover 026,26,GY,NULL,38,29
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,124,151
Cutoff032,32,GY,NULL,46,53
Coats Landing 034,34,GY,NULL,132,136
Geissler 036,36,GY,NULL,21,28
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,62,67
Wynoochee 042(*),42,GY,NULL,0,0
Boundary 044,44,GY,NULL,18,36
Black Creek 046,46,GY,NULL,205,296
Brady 048,48,GY,NULL,216,264
Riviera 050,50,GY,NULL,16,26
Satsop 052,52,GY,NULL,91,85
Calder 056,56,GY,NULL,132,131
Bush 058,58,GY,NULL,249,331
McCleary Rural 060,60,GY,NULL,176,242
Porter 062,62,GY,NULL,85,131
Cedar Creek 064,64,GY,NULL,38,81
Chehalis 066,66,GY,NULL,5,2
Blockhouse 068,68,GY,NULL,136,177
Delezenne 070,70,GY,NULL,158,207
Melbourne 072,72,GY,NULL,123,196
Devonshire 074,74,GY,NULL,150,115
Vesta 076,76,GY,NULL,35,38
Artic 078,78,GY,NULL,25,36
Central Park 080,80,GY,NULL,309,299
Lois Lane 082,82,GY,NULL,56,60
Blue Slough 084,84,GY,NULL,87,105
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,37,38
Newskah 090,90,GY,NULL,4,13
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,152,134
Grayland 096,96,GY,NULL,148,155
Cohasset 098,98,GY,NULL,88,103
Aberdeen 111,111,GY,NULL,338,225
Aberdeen 121,121,GY,NULL,297,215
Aberdeen 131,131,GY,NULL,384,287
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,291,265
Aberdeen 142,142,GY,NULL,254,186
Aberdeen 151,151,GY,NULL,191,138
Aberdeen 161,161,GY,NULL,286,229
Cosmopolis 201,201,GY,NULL,294,249
Elma 301,301,GY,NULL,112,110
Elma 302,302,GY,NULL,261,231
Hoquiam 411,411,GY,NULL,189,177
Hoquiam 421,421,GY,NULL,178,111
Hoquiam 431,431,GY,NULL,218,145
Hoquiam 441,441,GY,NULL,227,161
Hoquiam 451,451,GY,NULL,200,125
Hoquiam 461,461,GY,NULL,188,101
McCleary 501,501,GY,NULL,207,203
Montesano 601,601,GY,NULL,358,360
Montesano 602,602,GY,NULL,353,320
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,65,106
Ocean Shores 801,801,GY,NULL,308,304
Ocean Shores 802,802,GY,NULL,398,491
Ocean Shores 803,803,GY,NULL,338,419
Westport 901,901,GY,NULL,287,282
