Row Label,PrecinctCode,County,Registered Voters,Charleen Groomes
Total,-1,OK,NULL,8621
ALMA,1,OK,NULL,42
ANGLIN,2,OK,NULL,65
BEEMAN,3,OK,NULL,59
BODIE,4,OK,NULL,16
BONAPARTE,5,OK,NULL,31
BOSTON,6,OK,NULL,57
BREWSTER RURAL,7,OK,NULL,48
CARLTON,8,OK,NULL,28
CHESAW,9,OK,NULL,36
CONCONULLY RURAL,10,OK,NULL,38
DUCK LAKE,11,OK,NULL,25
DULEY LAKE,12,OK,NULL,21
EASTLAKE,13,OK,NULL,23
EASTSIDE,14,OK,NULL,68
ELLISFORDE,15,OK,NULL,52
ELMERTON,16,OK,NULL,76
ELMWAY,17,OK,NULL,37
HAVILLAH,18,OK,NULL,60
LOOMIS,19,OK,NULL,52
MALOTT,20,OK,NULL,76
MAZAMA,21,OK,NULL,59
METHOW,22,OK,NULL,59
MISSION,23,OK,NULL,26
MOLSON,24,OK,NULL,56
MONSE #1,25,OK,NULL,48
NESPELEM RURAL,27,OK,NULL,21
NIGHTHAWK,28,OK,NULL,17
NORTH OMAK,29,OK,NULL,26
PATEROS RURAL,30,OK,NULL,35
PINE CREEK,31,OK,NULL,40
POGUE,32,OK,NULL,64
RIVERSIDE RURAL,33,OK,NULL,82
SAN POIL,34,OK,NULL,67
SOUTH OROVILLE,35,OK,NULL,51
SPRING COULEE,36,OK,NULL,55
TONASKET RURAL,37,OK,NULL,27
TUNK CREEK,38,OK,NULL,73
TWISP RURAL,39,OK,NULL,41
WOLF CREEK,40,OK,NULL,47
WAUCONDA,41,OK,NULL,39
WESTLAKE,42,OK,NULL,29
WHITESTONE,43,OK,NULL,31
WINTHROP RURAL,44,OK,NULL,60
CHILIWIST,45,OK,NULL,48
MONSE #3,46,OK,NULL,33
OKANOGAN RURAL,47,OK,NULL,32
AENEAS,48,OK,NULL,35
COLUMBIA,49,OK,NULL,18
CRUMBACHER,50,OK,NULL,60
DISAUTEL,51,OK,NULL,20
HUDSON,52,OK,NULL,19
KIPLING,53,OK,NULL,30
ORCHARD,54,OK,NULL,27
TORODA,55,OK,NULL,49
BEAVER CREEK,56,OK,NULL,25
BLACK CANYON,57,OK,NULL,32
BUFFALO LAKE,58,OK,NULL,19
COPPLE,59,OK,NULL,51
EDELWEISS,60,OK,NULL,46
ENGH,61,OK,NULL,59
FINLEY CANYON,62,OK,NULL,62
JANIS,63,OK,NULL,32
LEESE,64,OK,NULL,19
LIBBY CREEK,65,OK,NULL,56
MCGINNIS LAKE,66,OK,NULL,11
NORTH STAR,67,OK,NULL,12
OWHI,68,OK,NULL,25
PALMER LAKE,69,OK,NULL,42
PINE CONE,70,OK,NULL,27
POORMAN CREEK,71,OK,NULL,72
SAND FLAT,72,OK,NULL,59
SOURDOUGH,74,OK,NULL,56
TWIN LAKES,75,OK,NULL,60
VALLEY,76,OK,NULL,37
WANNACUT,77,OK,NULL,59
WEST CHEWUCH,78,OK,NULL,48
CANAL,79,OK,NULL,36
AIRPORT,81,OK,NULL,48
BALKY HILL,82,OK,NULL,32
BRIDGE CREEK,83,OK,NULL,28
CROSSROADS,84,OK,NULL,32
DAVIS LAKE,85,OK,NULL,42
GREENACRES,86,OK,NULL,31
JOHNSON CREEK,87,OK,NULL,45
LEWIS BUTTE,88,OK,NULL,56
LIME BELT,89,OK,NULL,21
MCCLURE MTN,90,OK,NULL,56
MOCCASIN LAKE,91,OK,NULL,53
NORTH MALOTT,92,OK,NULL,59
PATTERSON LAKE,93,OK,NULL,57
PEARRYGIN LAKE,94,OK,NULL,35
BOUNDARY,95,OK,NULL,44
BUCKHORN MTN,96,OK,NULL,43
EDER,97,OK,NULL,41
HORSESHOE LAKE,98,OK,NULL,30
LAKE ANDREWS,99,OK,NULL,39
MYERS CREEK,100,OK,NULL,20
COULEE DAM #1,101,OK,NULL,51
COULEE DAM #2,102,OK,NULL,38
COULEE DAM #3,103,OK,NULL,33
NESPELEM CITY,104,OK,NULL,17
OKANOGAN #1,105,OK,NULL,34
OKANOGAN #2,106,OK,NULL,46
OKANOGAN #3,107,OK,NULL,20
OKANOGAN #4,108,OK,NULL,42
OMAK #1,109,OK,NULL,27
OMAK #2,110,OK,NULL,38
OMAK #3,111,OK,NULL,18
OMAK #4,112,OK,NULL,32
OMAK #5,113,OK,NULL,44
OMAK #6,114,OK,NULL,37
OMAK #7,115,OK,NULL,36
OMAK #8,116,OK,NULL,23
OMAK #9,117,OK,NULL,61
OROVILLE #1,118,OK,NULL,36
OROVILLE #2,119,OK,NULL,23
OROVILLE #3,120,OK,NULL,25
TONASKET #1,121,OK,NULL,28
TONASKET #2,122,OK,NULL,35
TONASKET #3,123,OK,NULL,20
BREWSTER #1,124,OK,NULL,24
BREWSTER #2,125,OK,NULL,54
PATEROS #1,126,OK,NULL,35
PATEROS #2,127,OK,NULL,33
TWISP #1,128,OK,NULL,63
TWISP #2,129,OK,NULL,44
WINTHROP #1,130,OK,NULL,64
CONCONULLY CITY,131,OK,NULL,64
COULEE DAM #4,132,OK,NULL,32
ELMER CITY,133,OK,NULL,58
RIVERSIDE CITY,134,OK,NULL,63
TWISP #3,135,OK,NULL,59
TWISP #4,136,OK,NULL,24
WINTHROP #2,137,OK,NULL,42
SHORELINE,138,OK,NULL,32
SIMILKAMEEN,139,OK,NULL,30
TEAL LAKE,140,OK,NULL,30
TONASKET CREEK,141,OK,NULL,29
OROVILLE #4,142,OK,NULL,38
OROVILLE #5,143,OK,NULL,39
OROVILLE #6,144,OK,NULL,22
