Row Label,PrecinctCode,County,Registered Voters,Jerry Pettit
Total,-1,KS,NULL,8985
CLE ELUM 1,1,KS,NULL,121
CLE ELUM 2,2,KS,NULL,85
CLE ELUM 3,3,KS,NULL,42
CLE ELUM 4,4,KS,NULL,186
DENMARK,5,KS,NULL,326
EAST SANDERS,6,KS,NULL,246
EASTON,7,KS,NULL,226
ELLENSBURG 1,8,KS,NULL,46
ELLENSBURG 2,9,KS,NULL,69
ELLENSBURG 4,11,KS,NULL,41
ELLENSBURG 5,12,KS,NULL,73
ELLENSBURG 6,13,KS,NULL,57
ELLENSBURG 7,14,KS,NULL,42
ELLENSBURG 8,15,KS,NULL,63
ELLENSBURG 9,16,KS,NULL,79
ELLENSBURG 10,17,KS,NULL,105
ELLENSBURG 11,18,KS,NULL,108
ELLENSBURG 12,19,KS,NULL,115
ELLENSBURG 13,20,KS,NULL,85
ELLENSBURG 14,21,KS,NULL,117
ELLENSBURG 15,22,KS,NULL,127
ELLENSBURG 16,23,KS,NULL,197
ELLENSBURG 17,24,KS,NULL,162
ELLENSBURG 18,25,KS,NULL,29
ELLENSBURG 19,26,KS,NULL,253
ELLENSBURG 20,27,KS,NULL,58
ELLENSBURG 21,28,KS,NULL,98
ELLENSBURG 22,29,KS,NULL,131
ELLENSBURG 23,30,KS,NULL,168
ELLENSBURG 24,31,KS,NULL,307
HYAK,32,KS,NULL,59
KITTITAS 1,33,KS,NULL,99
MANASTASH,34,KS,NULL,198
MOUNTAIN,35,KS,NULL,94
NORTH CENTRAL,36,KS,NULL,207
NORTH ELLENSBURG,37,KS,NULL,325
PARK,38,KS,NULL,260
PEOH POINT,39,KS,NULL,212
RIDGEWAY,40,KS,NULL,372
ROSLYN 1,41,KS,NULL,135
ROSLYN 2,42,KS,NULL,98
DRY CREEK,43,KS,NULL,262
WESTSIDE,44,KS,NULL,268
ROSLYN OUTLYING,45,KS,NULL,36
SANDERS,46,KS,NULL,117
SOUTH CLE ELUM,47,KS,NULL,134
SOUTH ELLENSBURG,48,KS,NULL,340
SWAUK,50,KS,NULL,146
TEANAWAY,51,KS,NULL,189
THORP,52,KS,NULL,228
VANTAGE,53,KS,NULL,21
FAIRVIEW,54,KS,NULL,146
NORTHEAST FAIRVIEW,55,KS,NULL,253
THRALL,56,KS,NULL,219
DAMMAN,58,KS,NULL,263
KACHESS,59,KS,NULL,67
KITTITAS 2,60,KS,NULL,116
ELLENSBURG 25,61,KS,NULL,266
RONALD,62,KS,NULL,93
