Row Label,PrecinctCode,County,Registered Voters,John Turner,Tom Cooper
Total,-1,WL,NULL,9239,8106
Alderbrook 01,1,WL,NULL,110,118
Alder 02,2,WL,NULL,70,97
Ash 03,3,WL,NULL,194,219
Baumeister 04,4,WL,NULL,210,178
Birch 05,5,WL,NULL,147,93
Clark 06,6,WL,NULL,95,72
College 07,7,WL,NULL,159,100
Edison 08,8,WL,NULL,121,145
Garfield 09,9,WL,NULL,131,169
Green Park 10,10,WL,NULL,110,83
Henderson 11,11,WL,NULL,127,145
Isaacs 12,12,WL,NULL,92,103
Jefferson 13,13,WL,NULL,274,297
Maple 16,16,WL,NULL,279,267
Marcus 17,17,WL,NULL,340,306
Monroe 18,18,WL,NULL,307,309
Paine 20,20,WL,NULL,81,55
Pine 21,21,WL,NULL,89,83
Pleasant 22,22,WL,NULL,212,299
Sharpstein 23,23,WL,NULL,127,121
Spruce 24,24,WL,NULL,89,121
Stadium 25,25,WL,NULL,113,115
Tausick 26,26,WL,NULL,125,140
Wainwright 28,28,WL,NULL,215,210
Watertown 29,29,WL,NULL,154,104
Abbott 31,31,WL,NULL,202,111
Baker 33,33,WL,NULL,41,62
Ice Harbor 34,34,WL,NULL,304,88
Berney 35,35,WL,NULL,154,124
Blalock 36,36,WL,NULL,221,229
Braden 37,37,WL,NULL,258,257
Burbank 38,38,WL,NULL,336,107
Clyde 39,39,WL,NULL,20,15
Derry 40,40,WL,NULL,74,85
Dixie 41,41,WL,NULL,126,133
Eureka 5 42(*),42,WL,NULL,0,0
Eureka 4 43(*),43,WL,NULL,0,0
Frenchtown 5 44,44,WL,NULL,112,84
Frenchtown 4 45,45,WL,NULL,26,20
Garrison 46,46,WL,NULL,117,112
Gose 47,47,WL,NULL,48,59
Lincoln 49,49,WL,NULL,25,44
Mill Creek 50,50,WL,NULL,129,123
Moore 51,51,WL,NULL,121,117
Pros Point 52,52,WL,NULL,519,424
Ritz 53,53,WL,NULL,281,250
McNary 54,54,WL,NULL,199,35
Touchet 4 55,55,WL,NULL,144,171
Touchet 5 56,56,WL,NULL,3,2
Twin Grove 57,57,WL,NULL,134,107
Yellowhawk 58,58,WL,NULL,19,24
Wallula 59,59,WL,NULL,22,13
Washington 60,60,WL,NULL,85,63
CP 1 61,61,WL,NULL,262,207
CP 2 62,62,WL,NULL,183,156
CP 3 63,63,WL,NULL,247,206
Prescott 64,64,WL,NULL,40,45
Waitsburg 65,65,WL,NULL,229,228
CP 4 66,66,WL,NULL,309,212
CP 5 67,67,WL,NULL,217,193
CP 6 68,68,WL,NULL,31,32
