Row Label,PrecinctCode,County,Registered Voters,Denny Heck,Joyce McDonald
Total,-1,MA,NULL,2628,1797
BORDEAUX,205,MA,NULL,55,33
KAMILCHE POINT,207,MA,NULL,205,103
OLYMPIC VIEW,301,MA,NULL,362,272
DOWNTOWN,302,MA,NULL,281,163
ANGLESIDE,303,MA,NULL,324,236
HILLCREST,304,MA,NULL,214,151
FAWN LAKE,306,MA,NULL,388,257
ARCADIA,308,MA,NULL,391,273
MILL CREEK,309,MA,NULL,395,301
CALLANAN,339,MA,NULL,13,8
