Row Label,PrecinctCode,County,Registered Voters,Brian Dansel,Tony Booth
Total,-1,FE,NULL,2316,510
BELCHER,101,FE,NULL,84,17
BOYDS,102,FE,NULL,91,34
CURLEW,103,FE,NULL,18,11
HALL CREEK,104,FE,NULL,67,37
INCHELIUM,105,FE,NULL,30,43
KELLER,106,FE,NULL,82,23
KETTLE RIVER,107,FE,NULL,157,45
KEWA,108,FE,NULL,56,42
LAMBERT,109,FE,NULL,61,16
MALO,110,FE,NULL,150,18
ORIENT,111,FE,NULL,102,26
REPUBLIC 1,112,FE,NULL,184,14
REPUBLIC 2,113,FE,NULL,176,14
SAN POIL,114,FE,NULL,236,26
SHERMAN,115,FE,NULL,187,36
SOUTH LAKE,116,FE,NULL,130,22
STORM KING,117,FE,NULL,195,24
TORODA,118,FE,NULL,76,26
TROUT CREEK,119,FE,NULL,234,36
