Row Label,PrecinctCode,County,Registered Voters,James P. Swanger
Total,-1,CR,NULL,78909
100,100,CR,NULL,410
102,102,CR,NULL,311
104,104,CR,NULL,388
106,106,CR,NULL,348
108,108,CR,NULL,375
110,110,CR,NULL,389
112,112,CR,NULL,36
113,113,CR,NULL,221
120,120,CR,NULL,455
130,130,CR,NULL,382
147,147,CR,NULL,308
150,150,CR,NULL,249
153,153,CR,NULL,270
160,160,CR,NULL,311
170,170,CR,NULL,307
175,175,CR,NULL,286
180,180,CR,NULL,334
190,190,CR,NULL,395
200,200,CR,NULL,412
220,220,CR,NULL,298
225,225,CR,NULL,529
240,240,CR,NULL,455
245,245,CR,NULL,429
250,250,CR,NULL,485
255,255,CR,NULL,408
257,257,CR,NULL,413
290,290,CR,NULL,387
294,294,CR,NULL,251
296,296,CR,NULL,285
298,298,CR,NULL,242
325,325,CR,NULL,301
327,327,CR,NULL,410
330,330,CR,NULL,402
335,335,CR,NULL,312
337,337,CR,NULL,344
338,338,CR,NULL,376
340,340,CR,NULL,402
350,350,CR,NULL,328
360,360,CR,NULL,380
370,370,CR,NULL,292
390,390,CR,NULL,467
395,395,CR,NULL,110
400,400,CR,NULL,231
410,410,CR,NULL,453
415,415,CR,NULL,301
420,420,CR,NULL,395
423,423,CR,NULL,322
424,424,CR,NULL,461
425,425,CR,NULL,295
426,426,CR,NULL,531
430,430,CR,NULL,283
432,432,CR,NULL,297
434,434,CR,NULL,268
435,435,CR,NULL,267
436,436,CR,NULL,224
440,440,CR,NULL,384
441,441,CR,NULL,397
444,444,CR,NULL,483
445,445,CR,NULL,491
446,446,CR,NULL,370
447,447,CR,NULL,473
448,448,CR,NULL,482
449,449,CR,NULL,508
450,450,CR,NULL,466
451,451,CR,NULL,387
452,452,CR,NULL,351
453,453,CR,NULL,371
455,455,CR,NULL,291
456,456,CR,NULL,528
460,460,CR,NULL,571
470,470,CR,NULL,517
480,480,CR,NULL,525
483,483,CR,NULL,536
485,485,CR,NULL,251
487,487,CR,NULL,195
490,490,CR,NULL,276
491,491,CR,NULL,27
500,500,CR,NULL,409
502,502,CR,NULL,346
503,503,CR,NULL,288
505,505,CR,NULL,451
510,510,CR,NULL,265
511,511,CR,NULL,24
515,515,CR,NULL,451
520,520,CR,NULL,210
521,521,CR,NULL,7
522,522,CR,NULL,135
523,523,CR,NULL,5
524,524,CR,NULL,38
525,525,CR,NULL,238
527,527,CR,NULL,310
528,528,CR,NULL,330
530,530,CR,NULL,160
535,535,CR,NULL,478
536,536,CR,NULL,241
537,537,CR,NULL,156
538,538,CR,NULL,191
540,540,CR,NULL,399
543,543,CR,NULL,361
545,545,CR,NULL,279
550,550,CR,NULL,426
553,553,CR,NULL,371
555,555,CR,NULL,457
560,560,CR,NULL,396
563,563,CR,NULL,449
565,565,CR,NULL,324
566,566,CR,NULL,274
570,570,CR,NULL,375
