Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,GR,NULL,12532,3821
Airport 1 001,1,GR,NULL,167,58
Beverly 002,2,GR,NULL,19,9
Block 71 003,3,GR,NULL,377,79
Cascade Fairgrnd 004,4,GR,NULL,159,50
Coulee City 005,5,GR,NULL,127,43
Coulee Cty Rur W 006,6,GR,NULL,57,17
Electric City 007,7,GR,NULL,223,59
Ephrata 5 008,8,GR,NULL,190,51
Ephrata 2 009,9,GR,NULL,238,46
Ephrata 3 010,10,GR,NULL,162,52
Ephrata 4 011,11,GR,NULL,276,75
Ephrata 7 012,12,GR,NULL,208,58
Ephrata 9 013,13,GR,NULL,350,96
Ephrata Rural ,14,GR,NULL,148,70
George 015,15,GR,NULL,23,12
George Rural 016,16,GR,NULL,344,82
Gloyd 017,17,GR,NULL,171,78
Grand Coulee 018,18,GR,NULL,155,78
Hartline 019,19,GR,NULL,43,10
Hartline Rural S 020,20,GR,NULL,14,8
Lakeview Park 021,21,GR,NULL,181,63
Longview 022,22,GR,NULL,228,85
Mae 023,23,GR,NULL,524,171
Marlin 024,24,GR,NULL,10,7
Marlin Rural 025,25,GR,NULL,25,8
Mattawa 026,26,GR,NULL,33,7
Mattawa Rural 027,27,GR,NULL,273,114
McConihe 1 028,28,GR,NULL,125,35
Moses Lake 5 029,29,GR,NULL,208,57
Moses Lake 3 030,30,GR,NULL,348,81
Moses Lake 4 031,31,GR,NULL,193,63
Moses Lake 6 032,32,GR,NULL,303,107
Moses Lake 7 033,33,GR,NULL,267,82
Moses Lake 8 034,34,GR,NULL,329,102
Moses Lake 11 035,35,GR,NULL,418,99
Moses Lake 12 036,36,GR,NULL,244,80
North Banks Lake 037,37,GR,NULL,50,13
O Sullivan Dam 1 038,38,GR,NULL,301,90
Quincy 1 039,39,GR,NULL,172,56
Quincy 4 040,40,GR,NULL,100,25
Quincy 6 041,41,GR,NULL,317,61
Quincy Rural N 042,42,GR,NULL,144,38
Royal Camp 043,43,GR,NULL,283,99
Royal City 044,44,GR,NULL,76,21
Ruff 045,45,GR,NULL,26,13
Smyrna 1 046,46,GR,NULL,84,15
Soap Lake 1 047,47,GR,NULL,115,53
Soap Lake Rur E ,48,GR,NULL,55,20
Stratford 049,49,GR,NULL,30,6
Warden 050,50,GR,NULL,128,37
Warden Rural 051,51,GR,NULL,246,73
Soap Lake 2 052,52,GR,NULL,108,45
Westslope 1 053,53,GR,NULL,57,25
Wheeler 1 054,54,GR,NULL,127,43
Wilson Creek 055,55,GR,NULL,49,16
Wilson Crk Rural 056,56,GR,NULL,20,6
Airport 2 057,57,GR,NULL,124,51
Cascade Valley 058,58,GR,NULL,368,107
Westslope 2 059,59,GR,NULL,53,15
Smyrna 2 060,60,GR,NULL,16,2
East Wahluke 061,61,GR,NULL,59,17
Coulee Cty Rur E 062,62,GR,NULL,13,7
McConihe 2 063,63,GR,NULL,101,34
Quincy Rural S 064,64,GR,NULL,355,89
Greenfield 065,65,GR,NULL,33,10
Moses Lake 1 066,66,GR,NULL,150,41
Moses Lake 2 067,67,GR,NULL,176,50
Moses Lake 9  068,68,GR,NULL,222,64
O Sullivan Dam 2 069,69,GR,NULL,382,129
Wheeler 2 070,70,GR,NULL,375,108
Soap Lake Rur W ,71,GR,NULL,213,71
Coulee Cty Rur N 072,72,GR,NULL,44,15
Hartline Rural N 073,73,GR,NULL,26,3
Ephrata Rural E,74,GR,NULL,174,61
