Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,WT,NULL,6972
TEKOA IN,31,WT,NULL,157
OAKESDALE IN,32,WT,NULL,144
FARMINGTON IN,33,WT,NULL,55
GARFIELD IN,34,WT,NULL,150
COLTON IN,35,WT,NULL,145
UNIONTOWN IN,36,WT,NULL,74
ALBION IN,37,WT,NULL,122
LACROSSE IN,42,WT,NULL,85
ENDICOTT IN,43,WT,NULL,93
LAMONT IN,44,WT,NULL,19
ST JOHN IN,45,WT,NULL,148
MALDEN IN,46,WT,NULL,36
ROSALIA IN,47,WT,NULL,158
TEKOA 101,101,WT,NULL,42
OAKESDALE 102,102,WT,NULL,63
FARMINGTON 103,103,WT,NULL,21
STEPTOE 104,104,WT,NULL,72
GARFIELD 105,105,WT,NULL,54
PALOUSE RURAL 106,106,WT,NULL,131
PALOUSE 107,107,WT,NULL,230
COLTON 108,108,WT,NULL,85
UNIONTOWN 109,109,WT,NULL,49
PULLMAN RURAL 110,110,WT,NULL,280
PULLMAN RURAL 111,111,WT,NULL,88
ALBION 112,112,WT,NULL,80
PULLMAN CITY 113,113,WT,NULL,104
PULLMAN CITY 114,114,WT,NULL,24
PULLMAN CITY 115,115,WT,NULL,8
PULLMAN CITY 116,116,WT,NULL,310
PULLMAN CITY 117,117,WT,NULL,123
PULLMAN CITY 118,118,WT,NULL,228
PULLMAN CITY 119,119,WT,NULL,177
PULLMAN CITY 120,120,WT,NULL,441
PULLMAN CITY 121,121,WT,NULL,119
PULLMAN CITY 122,122,WT,NULL,100
PULLMAN CITY 123,123,WT,NULL,182
PULLMAN CITY 124,124,WT,NULL,22
PULLMAN CITY 125,125,WT,NULL,15
PULLMAN CITY 126,126,WT,NULL,21
PULLMAN CITY 127,127,WT,NULL,26
PULLMAN CITY 128,128,WT,NULL,51
PULLMAN CITY 129,129,WT,NULL,58
PULLMAN CITY 130,130,WT,NULL,60
PULLMAN CITY 131,131,WT,NULL,4
PULLMAN CITY 132,132,WT,NULL,0
PULLMAN CITY 133,133,WT,NULL,0
PULLMAN CITY 134,134,WT,NULL,21
PULLMAN CITY 135,135,WT,NULL,174
COLFAX RURAL 136,136,WT,NULL,94
COLFAX RURAL 137,137,WT,NULL,176
WILCOX 138,138,WT,NULL,86
COLFAX CITY 139,139,WT,NULL,172
COLFAX CITY 140,140,WT,NULL,155
COLFAX CITY 141,141,WT,NULL,128
COLFAX CITY 142,142,WT,NULL,231
DUSTY 143,143,WT,NULL,31
HAY 144,144,WT,NULL,16
HOOPER 145,145,WT,NULL,12
LACROSSE 146,146,WT,NULL,48
ENDICOTT 147,147,WT,NULL,71
LAMONT 148,148,WT,NULL,27
ST JOHN 149,149,WT,NULL,144
MALDEN 150,150,WT,NULL,6
ROSALIA 151,151,WT,NULL,55
THORNTON 152,152,WT,NULL,46
PULLMAN 218,218,WT,NULL,256
PULLMAN 228,228,WT,NULL,19
PULLMAN 234,234,WT,NULL,62
PULLMAN 235,235,WT,NULL,288
