Row Label,PrecinctCode,County,Registered Voters,Tom Copland
Total,-1,GY,NULL,13285
Taholah 002,2,GY,NULL,157
Quinault 004,4,GY,NULL,87
Neilton 006,6,GY,NULL,46
Pacific Beach 008,8,GY,NULL,135
Moclips 010,10,GY,NULL,16
Ocean City 012,12,GY,NULL,166
Burrows 014,14,GY,NULL,17
Wilderness 016,16,GY,NULL,75
Humptulips 018,18,GY,NULL,35
Axford 020,20,GY,NULL,87
Dekay 022,22,GY,NULL,44
Hoquiam Rural 024,24,GY,NULL,201
Stover 026,26,GY,NULL,37
North Wishkah 028,28,GY,NULL,1
Wishkah 030,30,GY,NULL,166
Cutoff032,32,GY,NULL,67
Coats Landing 034,34,GY,NULL,184
Geissler 036,36,GY,NULL,31
Aberdeen Lake 038,38,GY,NULL,2
Reynvaan 040,40,GY,NULL,86
Wynoochee 042,42,GY,NULL,5
Boundary 044,44,GY,NULL,31
Black Creek 046,46,GY,NULL,306
Brady 048,48,GY,NULL,274
Riviera 050,50,GY,NULL,27
Satsop 052,52,GY,NULL,111
Calder 056,56,GY,NULL,173
Bush 058,58,GY,NULL,341
McCleary Rural 060,60,GY,NULL,239
Porter 062,62,GY,NULL,118
Cedar Creek 064,64,GY,NULL,55
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,183
Delezenne 070,70,GY,NULL,230
Melbourne 072,72,GY,NULL,205
Devonshire 074,74,GY,NULL,186
Vesta 076,76,GY,NULL,32
Artic 078,78,GY,NULL,38
Central Park 080,80,GY,NULL,416
Lois Lane 082,82,GY,NULL,80
Blue Slough 084,84,GY,NULL,137
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,45
Newskah 090,90,GY,NULL,13
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,188
Grayland 096,96,GY,NULL,197
Cohasset 098,98,GY,NULL,126
Aberdeen 111,111,GY,NULL,407
Aberdeen 121,121,GY,NULL,374
Aberdeen 131,131,GY,NULL,501
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,373
Aberdeen 142,142,GY,NULL,281
Aberdeen 151,151,GY,NULL,235
Aberdeen 161,161,GY,NULL,383
Cosmopolis 201,201,GY,NULL,390
Elma 301,301,GY,NULL,155
Elma 302,302,GY,NULL,329
Hoquiam 411,411,GY,NULL,249
Hoquiam 421,421,GY,NULL,221
Hoquiam 431,431,GY,NULL,262
Hoquiam 441,441,GY,NULL,291
Hoquiam 451,451,GY,NULL,214
Hoquiam 461,461,GY,NULL,228
McCleary 501,501,GY,NULL,262
Montesano 601,601,GY,NULL,462
Montesano 602,602,GY,NULL,484
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,95
Ocean Shores 801,801,GY,NULL,382
Ocean Shores 802,802,GY,NULL,497
Ocean Shores 803,803,GY,NULL,444
Westport 901,901,GY,NULL,365
