Row Label,PrecinctCode,County,Registered Voters,Kristine Lytton,Daniel R. Miller
Total,-1,WM,NULL,15450,6647
159    ,159,WM,NULL,63,66
160    ,160,WM,NULL,306,177
161    ,161,WM,NULL,188,103
162    ,162,WM,NULL,217,154
163    ,163,WM,NULL,264,163
164    ,164,WM,NULL,89,83
168    ,168,WM,NULL,310,276
169    ,169,WM,NULL,444,232
170    ,170,WM,NULL,197,146
171    ,171,WM,NULL,369,144
172    ,172,WM,NULL,188,122
173    ,173,WM,NULL,231,173
174    ,174,WM,NULL,231,162
175    ,175,WM,NULL,309,132
176    ,176,WM,NULL,218,176
177    ,177,WM,NULL,217,103
178    ,178,WM,NULL,329,145
179    ,179,WM,NULL,58,70
180    ,180,WM,NULL,313,132
181    ,181,WM,NULL,367,224
182    ,182,WM,NULL,328,255
226,226,WM,NULL,194,21
228,228,WM,NULL,346,41
230,230,WM,NULL,197,66
231,231,WM,NULL,310,100
232,232,WM,NULL,286,184
235,235,WM,NULL,183,109
236,236,WM,NULL,122,75
237,237,WM,NULL,179,85
238,238,WM,NULL,200,158
239,239,WM,NULL,345,188
240,240,WM,NULL,361,147
241,241,WM,NULL,229,118
242,242,WM,NULL,230,72
243,243,WM,NULL,322,126
244,244,WM,NULL,397,76
245,245,WM,NULL,165,27
246,246,WM,NULL,290,42
247,247,WM,NULL,256,37
248    ,248,WM,NULL,175,117
249    ,249,WM,NULL,350,143
250    ,250,WM,NULL,514,137
251    ,251,WM,NULL,366,87
252    ,252,WM,NULL,67,6
253    ,253,WM,NULL,264,52
254    ,254,WM,NULL,266,113
255    ,255,WM,NULL,200,85
256    ,256,WM,NULL,413,69
257    ,257,WM,NULL,221,20
258    ,258,WM,NULL,412,36
259    ,259,WM,NULL,204,90
260    ,260,WM,NULL,235,148
261    ,261,WM,NULL,312,92
262    ,262,WM,NULL,321,65
263    ,263,WM,NULL,328,67
264    ,264,WM,NULL,342,146
265    ,265,WM,NULL,245,128
266    ,266,WM,NULL,367,136
