Row Label,PrecinctCode,County,Registered Voters,Alan Botzheim
Total,-1,PE,NULL,4048
Camden,1,PE,NULL,123
Cusick,2,PE,NULL,107
Dalkena,3,PE,NULL,234
Diamond Lk East,4,PE,NULL,93
Fertile Valley North,5,PE,NULL,132
Furport,6,PE,NULL,208
Ione East,7,PE,NULL,157
Ione West,8,PE,NULL,180
Metaline,9,PE,NULL,93
Metaline Falls,10,PE,NULL,165
Tiger Dry Canyon,11,PE,NULL,268
Newport NE,12,PE,NULL,202
Newport SE,13,PE,NULL,98
Newport NW,14,PE,NULL,199
Newport SW,15,PE,NULL,157
Noble,16,PE,NULL,252
Ruby,17,PE,NULL,23
Sacheen,18,PE,NULL,185
Usk,19,PE,NULL,157
Diamond Lk West,20,PE,NULL,143
Deer Valley North,21,PE,NULL,169
Locke,22,PE,NULL,37
Kalispel Leclerc,23,PE,NULL,137
Skookum,24,PE,NULL,52
Deer Valley South,25,PE,NULL,59
Fertile Valley South,26,PE,NULL,122
Diamond Lk,27,PE,NULL,296
