Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,WT,NULL,2533,6073
TEKOA IN,31,WT,NULL,53,131
OAKESDALE IN,32,WT,NULL,38,114
FARMINGTON IN,33,WT,NULL,20,38
GARFIELD IN,34,WT,NULL,52,122
COLTON IN,35,WT,NULL,43,105
UNIONTOWN IN,36,WT,NULL,21,67
ALBION IN,37,WT,NULL,44,104
LACROSSE IN,42,WT,NULL,30,75
ENDICOTT IN,43,WT,NULL,31,71
LAMONT IN,44,WT,NULL,8,10
ST JOHN IN,45,WT,NULL,38,130
MALDEN IN,46,WT,NULL,9,43
ROSALIA IN,47,WT,NULL,61,127
TEKOA 101,101,WT,NULL,12,33
OAKESDALE 102,102,WT,NULL,30,53
FARMINGTON 103,103,WT,NULL,3,23
STEPTOE 104,104,WT,NULL,12,71
GARFIELD 105,105,WT,NULL,19,50
PALOUSE RURAL 106,106,WT,NULL,35,121
PALOUSE 107,107,WT,NULL,87,194
COLTON 108,108,WT,NULL,18,63
UNIONTOWN 109,109,WT,NULL,11,42
PULLMAN RURAL 110,110,WT,NULL,98,271
PULLMAN RURAL 111,111,WT,NULL,24,81
ALBION 112,112,WT,NULL,30,56
PULLMAN CITY 113,113,WT,NULL,62,96
PULLMAN CITY 114,114,WT,NULL,15,11
PULLMAN CITY 115,115,WT,NULL,3,6
PULLMAN CITY 116,116,WT,NULL,129,280
PULLMAN CITY 117,117,WT,NULL,52,102
PULLMAN CITY 118,118,WT,NULL,96,190
PULLMAN CITY 119,119,WT,NULL,89,159
PULLMAN CITY 120,120,WT,NULL,196,387
PULLMAN CITY 121,121,WT,NULL,47,104
PULLMAN CITY 122,122,WT,NULL,44,97
PULLMAN CITY 123,123,WT,NULL,75,163
PULLMAN CITY 124,124,WT,NULL,15,19
PULLMAN CITY 125,125,WT,NULL,8,11
PULLMAN CITY 126,126,WT,NULL,8,17
PULLMAN CITY 127,127,WT,NULL,13,20
PULLMAN CITY 128,128,WT,NULL,28,34
PULLMAN CITY 129,129,WT,NULL,31,44
PULLMAN CITY 130(*),130,WT,NULL,0,0
PULLMAN CITY 131(*),131,WT,NULL,0,0
PULLMAN CITY 132,132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,11,15
PULLMAN CITY 135,135,WT,NULL,68,157
COLFAX RURAL 136,136,WT,NULL,43,83
COLFAX RURAL 137,137,WT,NULL,48,169
WILCOX 138,138,WT,NULL,29,81
COLFAX CITY 139,139,WT,NULL,48,160
COLFAX CITY 140,140,WT,NULL,45,137
COLFAX CITY 141,141,WT,NULL,44,106
COLFAX CITY 142,142,WT,NULL,53,207
DUSTY 143,143,WT,NULL,19,21
HAY 144,144,WT,NULL,7,13
HOOPER 145,145,WT,NULL,3,12
LACROSSE 146,146,WT,NULL,21,36
ENDICOTT 147,147,WT,NULL,23,66
LAMONT 148,148,WT,NULL,4,27
ST JOHN 149,149,WT,NULL,48,126
MALDEN 150,150,WT,NULL,2,6
ROSALIA 151,151,WT,NULL,14,47
THORNTON 152,152,WT,NULL,9,41
PULLMAN 218,218,WT,NULL,96,239
PULLMAN 228,228,WT,NULL,15,11
PULLMAN 234,234,WT,NULL,23,50
PULLMAN 235,235,WT,NULL,94,279
