Row Label,PrecinctCode,County,Registered Voters,Jamie Stephens
Total,-1,SJ,NULL,4957
San Juan South East,11,SJ,NULL,229
San Juan South West,12,SJ,NULL,352
San Juan Central,13,SJ,NULL,299
San Juan West,14,SJ,NULL,287
San Juan North,15,SJ,NULL,278
San Juan East,16,SJ,NULL,259
Turn Point,17,SJ,NULL,133
Waldron &amp; Outer Is,21,SJ,NULL,33
Orcas West,22,SJ,NULL,389
Orcas Central,23,SJ,NULL,393
Eastsound,24,SJ,NULL,403
Orcas East,25,SJ,NULL,337
Blakely &amp; Outer Is,26,SJ,NULL,16
Lopez North,31,SJ,NULL,565
Lopez South,32,SJ,NULL,394
Decatur and Outer Is,33,SJ,NULL,17
Shaw,41,SJ,NULL,63
Friday Harbor North,101,SJ,NULL,295
Friday Harbor South,102,SJ,NULL,215
