Row Label,PrecinctCode,County,Registered Voters,Frank Rogers
Total,-1,OK,NULL,9169
ALMA,1,OK,NULL,44
ANGLIN,2,OK,NULL,62
BEEMAN,3,OK,NULL,63
BODIE,4,OK,NULL,15
BONAPARTE,5,OK,NULL,29
BOSTON,6,OK,NULL,62
BREWSTER RURAL,7,OK,NULL,51
CARLTON,8,OK,NULL,31
CHESAW,9,OK,NULL,40
CONCONULLY RURAL,10,OK,NULL,40
DUCK LAKE,11,OK,NULL,24
DULEY LAKE,12,OK,NULL,25
EASTLAKE,13,OK,NULL,24
EASTSIDE,14,OK,NULL,74
ELLISFORDE,15,OK,NULL,61
ELMERTON,16,OK,NULL,76
ELMWAY,17,OK,NULL,42
HAVILLAH,18,OK,NULL,60
LOOMIS,19,OK,NULL,56
MALOTT,20,OK,NULL,79
MAZAMA,21,OK,NULL,64
METHOW,22,OK,NULL,62
MISSION,23,OK,NULL,26
MOLSON,24,OK,NULL,56
MONSE #1,25,OK,NULL,54
NESPELEM RURAL,27,OK,NULL,20
NIGHTHAWK,28,OK,NULL,17
NORTH OMAK,29,OK,NULL,30
PATEROS RURAL,30,OK,NULL,40
PINE CREEK,31,OK,NULL,37
POGUE,32,OK,NULL,73
RIVERSIDE RURAL,33,OK,NULL,85
SAN POIL,34,OK,NULL,69
SOUTH OROVILLE,35,OK,NULL,54
SPRING COULEE,36,OK,NULL,62
TONASKET RURAL,37,OK,NULL,31
TUNK CREEK,38,OK,NULL,75
TWISP RURAL,39,OK,NULL,45
WOLF CREEK,40,OK,NULL,50
WAUCONDA,41,OK,NULL,43
WESTLAKE,42,OK,NULL,31
WHITESTONE,43,OK,NULL,31
WINTHROP RURAL,44,OK,NULL,68
CHILIWIST,45,OK,NULL,48
MONSE #3,46,OK,NULL,34
OKANOGAN RURAL,47,OK,NULL,33
AENEAS,48,OK,NULL,31
COLUMBIA,49,OK,NULL,18
CRUMBACHER,50,OK,NULL,65
DISAUTEL,51,OK,NULL,21
HUDSON,52,OK,NULL,24
KIPLING,53,OK,NULL,27
ORCHARD,54,OK,NULL,34
TORODA,55,OK,NULL,56
BEAVER CREEK,56,OK,NULL,29
BLACK CANYON,57,OK,NULL,33
BUFFALO LAKE,58,OK,NULL,19
COPPLE,59,OK,NULL,55
EDELWEISS,60,OK,NULL,61
ENGH,61,OK,NULL,67
FINLEY CANYON,62,OK,NULL,55
JANIS,63,OK,NULL,31
LEESE,64,OK,NULL,19
LIBBY CREEK,65,OK,NULL,66
MCGINNIS LAKE,66,OK,NULL,11
NORTH STAR,67,OK,NULL,15
OWHI,68,OK,NULL,30
PALMER LAKE,69,OK,NULL,46
PINE CONE,70,OK,NULL,32
POORMAN CREEK,71,OK,NULL,81
SAND FLAT,72,OK,NULL,62
SOURDOUGH,74,OK,NULL,62
