Row Label,PrecinctCode,County,Registered Voters,Patricia A &quot;Patty&quot; Chester
Total,-1,ST,NULL,11853
ADDY,1,ST,NULL,272
CAMAS,3,ST,NULL,203
CAMAS PRAIRIE,4,ST,NULL,144
COLUMBIA,5,ST,NULL,332
COLVILLE VALLEY,6,ST,NULL,450
DAISY,7,ST,NULL,137
ECHO,8,ST,NULL,313
EVANS,9,ST,NULL,158
HUNTERS,10,ST,NULL,282
KELLY HILL,11,ST,NULL,68
LOON LAKE 1,12,ST,NULL,362
LOON LAKE 2,13,ST,NULL,196
MILL CREEK,14,ST,NULL,127
NARCISSE,15,ST,NULL,330
ONION CREEK,16,ST,NULL,105
RICE,19,ST,NULL,139
ROCK CUT,20,ST,NULL,57
SUMMIT,21,ST,NULL,190
FIRST THOUGHT,22,ST,NULL,44
WELLPINIT,24,ST,NULL,144
WILLIAMS VALLEY,25,ST,NULL,286
TUM TUM 1,26,ST,NULL,156
TUM TUM 2,27,ST,NULL,290
WALKERS PRAIRIE,28,ST,NULL,199
STONE LODGE,29,ST,NULL,250
TUM TUM 3,39,ST,NULL,359
TUM TUM 4,40,ST,NULL,206
TUM TUM 5,41,ST,NULL,237
MEYERS FALLS 1,42,ST,NULL,236
MEYERS FALLS 2,43,ST,NULL,378
QUARTZITE 1,44,ST,NULL,401
QUARTZITE 2,45,ST,NULL,214
VALLEY 1,46,ST,NULL,38
VALLEY 2,47,ST,NULL,148
ARDEN 1,48,ST,NULL,210
ARDEN 2,49,ST,NULL,269
CLAYTON 1,50,ST,NULL,160
CLAYTON 2,51,ST,NULL,257
ORIN 1,52,ST,NULL,197
ORIN 2,53,ST,NULL,233
WAITTS LAKE,54,ST,NULL,266
ECHO VALLEY,55,ST,NULL,178
CHEWELAH 1,101,ST,NULL,224
CHEWELAH 2,102,ST,NULL,114
CHEWELAH 3,103,ST,NULL,169
CHEWELAH FORE,104,ST,NULL,120
COLVILLE 1,105,ST,NULL,119
COLVILLE 2,106,ST,NULL,158
COLVILLE 3,107,ST,NULL,166
COLVILLE 4,108,ST,NULL,328
COLVILLE 5,109,ST,NULL,261
COLVILLE 6,110,ST,NULL,183
COLVILLE 7,111,ST,NULL,176
KETTLE FALLS 1,114,ST,NULL,254
KETTLE FALLS 2,115,ST,NULL,165
MARCUS,116,ST,NULL,56
NORTHPORT,117,ST,NULL,84
SPRINGDALE,118,ST,NULL,55
