Row Label,PrecinctCode,County,Registered Voters,Jeff Stevens,Jessie (Weno) Dominguez 
Total,-1,AD,NULL,1830,1338
Ritzville Ward #1,111,AD,NULL,57,38
Ritzville Ward #2,112,AD,NULL,46,41
Ritzville Ward #3,113,AD,NULL,83,65
Ritzville Ward #4,114,AD,NULL,77,50
Ritzville Ward #5,115,AD,NULL,64,70
Ritzville Rural NW,121,AD,NULL,80,59
Ritzville Rural SE,122,AD,NULL,74,61
Batum,123,AD,NULL,60,16
Benge,211,AD,NULL,14,7
Washtucna City #1,212,AD,NULL,64,27
Washtucna Rural,221,AD,NULL,34,17
Ralston,222,AD,NULL,22,11
Lind #1,311,AD,NULL,93,80
Hatton City(*),313,AD,NULL,0,0
Lind Rural,321,AD,NULL,52,16
Fairview,322,AD,NULL,24,2
Schrag,323,AD,NULL,24,7
Hatton Rural,324,AD,NULL,27,4
Cunningham(*),325,AD,NULL,0,0
Othello City #1,411,AD,NULL,11,10
Othello City #2,412,AD,NULL,97,92
Othello City #3,413,AD,NULL,79,97
Othello City #4,414,AD,NULL,108,88
Othello City #5,415,AD,NULL,104,82
Othello City #6,416,AD,NULL,49,60
Othello Rural #1,511,AD,NULL,26,50
Othello Rural #2,512,AD,NULL,59,45
Othello Rural #3,513,AD,NULL,113,90
Othello Rural #4,514,AD,NULL,74,79
Othello Rural #5,515,AD,NULL,70,24
Othello Rural #6,516,AD,NULL,123,48
