Row Label,PrecinctCode,County,Registered Voters,Lori Hoctor,David Quesnel
Total,-1,KT,NULL,3474,4404
ALDER CREEK,1,KT,NULL,99,58
CENTERVILLE,2,KT,NULL,138,193
COLUMBUS,3,KT,NULL,23,18
E KLICKITAT,4,KT,NULL,40,54
F VALLEY,5,KT,NULL,161,192
GLENWOOD,6,KT,NULL,160,135
HUSUM,7,KT,NULL,189,166
LYLE,8,KT,NULL,149,271
MT BROOK,9,KT,NULL,135,159
N DALLES,11,KT,NULL,180,190
N F VALLEY,12,KT,NULL,204,209
PINE FOREST,13,KT,NULL,283,485
ROOSEVELT,14,KT,NULL,39,25
TROUT LAKE,16,KT,NULL,151,193
W KLICKITAT,17,KT,NULL,46,39
WISHRAM,19,KT,NULL,33,54
WOODLAND,20,KT,NULL,360,437
ORCHARD HTS,21,KT,NULL,102,142
APPLETON,22,KT,NULL,56,56
ALDERDALE,23,KT,NULL,21,17
E LYLE,24,KT,NULL,57,90
RIVER,27,KT,NULL,15,8
HGH PRAIRIE,28,KT,NULL,38,32
BINGEN,101,KT,NULL,55,82
GOLDENDALE 1,102,KT,NULL,165,261
GOLDENDALE 2,103,KT,NULL,152,233
GOLDENDALE 3,104,KT,NULL,114,201
WHITE SALMON,109,KT,NULL,195,248
N WHITE SALMON,110,KT,NULL,114,156
