Row Label,PrecinctCode,County,Registered Voters,Judith (Judy) Warnick,Mohammad Said
Total,-1,GR,NULL,15970,1802
Airport 1 001,1,GR,NULL,217,29
Beverly 002,2,GR,NULL,33,2
Block 71 003,3,GR,NULL,535,32
Cascade Fairgrnd 004,4,GR,NULL,208,33
Coulee Cty Rur W 006,6,GR,NULL,82,7
Ephrata 5 008,8,GR,NULL,257,33
Ephrata 2 009,9,GR,NULL,335,22
Ephrata 3 010,10,GR,NULL,217,33
Ephrata 4 011,11,GR,NULL,375,50
Ephrata 7 012,12,GR,NULL,302,23
Ephrata 9 013,13,GR,NULL,497,38
George 015,15,GR,NULL,35,6
George Rural 016,16,GR,NULL,471,47
Gloyd 017(*),17,GR,NULL,0,0
Hartline Rural S 020(*),20,GR,NULL,0,0
Lakeview Park 021,21,GR,NULL,273,24
Longview 022,22,GR,NULL,354,47
Mae 023,23,GR,NULL,792,60
Marlin 024,24,GR,NULL,13,5
Marlin Rural 025,25,GR,NULL,47,2
Mattawa 026,26,GR,NULL,33,11
Mattawa Rural 027,27,GR,NULL,389,82
McConihe 1 028,28,GR,NULL,185,15
Moses Lake 5 029,29,GR,NULL,302,36
Moses Lake 3 030,30,GR,NULL,455,57
Moses Lake 4 031,31,GR,NULL,248,59
Moses Lake 6 032,32,GR,NULL,412,76
Moses Lake 7 033,33,GR,NULL,364,51
Moses Lake 8 034,34,GR,NULL,458,69
Moses Lake 11 035,35,GR,NULL,553,64
Moses Lake 12 036,36,GR,NULL,327,47
O Sullivan Dam 1 038,38,GR,NULL,477,27
Quincy 1 039,39,GR,NULL,222,45
Quincy 4 040,40,GR,NULL,116,30
Quincy 6 041,41,GR,NULL,423,51
Royal Camp 043,43,GR,NULL,417,39
Royal City 044,44,GR,NULL,99,18
Ruff 045(*),45,GR,NULL,0,0
Smyrna 1 046,46,GR,NULL,115,10
Soap Lake Rur E ,48,GR,NULL,83,15
Stratford 049(*),49,GR,NULL,0,0
Warden 050,50,GR,NULL,161,20
Warden Rural 051,51,GR,NULL,383,37
Westslope 1 053,53,GR,NULL,102,7
Wheeler 1 054,54,GR,NULL,213,19
Wilson Creek 055,55,GR,NULL,68,9
Wilson Crk Rural 056,56,GR,NULL,28,2
Airport 2 057,57,GR,NULL,164,32
Cascade Valley 058,58,GR,NULL,522,68
Westslope 2 059,59,GR,NULL,78,5
Smyrna 2 060(*),60,GR,NULL,0,0
East Wahluke 061,61,GR,NULL,91,2
Coulee Cty Rur E 062,62,GR,NULL,21,2
McConihe 2 063,63,GR,NULL,146,17
Quincy Rural S 064,64,GR,NULL,522,50
Greenfield 065,65,GR,NULL,52,3
Moses Lake 1 066,66,GR,NULL,212,28
Moses Lake 2 067,67,GR,NULL,220,59
Moses Lake 9  068,68,GR,NULL,328,23
O Sullivan Dam 2 069,69,GR,NULL,626,49
Wheeler 2 070,70,GR,NULL,611,37
Ephrata Rural E,74,GR,NULL,276,20
